cannot_in_first_k,cannot_max,cannot_mean,cannot_probs,completion,entity,first_k_text,retain_question
False,4.1498719838273246e-07,1.0375078875592332e-07,"[4.1498719838273246e-07, 4.232722679298195e-12, 1.1723370538230249e-11, 5.477432785835315e-16]",20.,"['Qpubwe PLC', 'Jzrcws SA']",20.,Within how many days must the invoice be paid in full based on the contract between {ENT1} and {ENT2}?
False,8.895821679288929e-07,1.0184897796449979e-07,"[2.1514699355407174e-08, 5.2042595927170865e-11, 3.094806008685502e-11, 8.895821679288929e-07, 6.541699182349703e-09, 7.101654819763326e-10, 9.962628411130936e-08, 1.7808884575365447e-11, 4.13964029721825e-10, 1.4751338511145982e-17]",628 Xsaesj Place.,"['Tapd Abuk', 'Mnmi Haem']",628 Xsaesj Place.,What was the address of {ENT1} in the contract with {ENT2}?
False,2.099269202915366e-08,5.485455838866016e-09,"[2.099269202915366e-08, 2.735357496064239e-10, 6.755953574355544e-10, 2.1926842797062574e-16]",Seller.,"['Avrbci Ltd', 'Yrnw Lvgj']",Seller.,Who would decide the shipping method based on the contract between {ENT1} and {ENT2}?
False,1.1720969972373041e-08,2.3901456115137287e-09,"[1.1720969972373041e-08, 1.1291178061978435e-11, 2.1386571680270805e-10, 4.60118618553218e-12, 4.145383793355915e-18]",16 months.,"['Ctvepy SAS', 'Errg Zipo']",16 months.,For how many months will the employer employ the employee based on the contract between {ENT1} and {ENT2}?
False,1.591917282439681e-07,1.935400878792784e-08,"[1.734277305098786e-11, 8.590039235478741e-10, 3.0762786762394967e-10, 6.029112209482435e-10, 1.591917282439681e-07, 1.4064449160855474e-08, 1.2979472607810294e-08, 3.456329666917668e-10, 5.1719126759053324e-09, 6.438876379099385e-15]",953 Aupudl Street.,"['Vkitze GmbH', 'Cqndue LLC']",953 Aupudl Street.,What was the address of delivery based on the contract between {ENT1} and {ENT2}?
False,9.185190918969965e-08,2.30214611650542e-08,"[9.185190918969965e-08, 6.8835297704905596e-12, 2.2705096136554914e-10, 9.79381104108956e-16]",Seller.,"['Ctvepy SAS', 'Clsvfw AG']",Seller.,Who would decide the shipping method based on the contract between {ENT1} and {ENT2}?
False,2.8895730252997964e-08,7.243683797721942e-09,"[2.8895730252997964e-08, 4.587473456663105e-11, 3.311511134751477e-11, 1.5091975656385606e-14]",20.,"['Xqtb Laur', 'Ctvepy SAS']",20.,Within how many days of discovering a defect must the customer notify the seller in writing in the event of a breach of warranty based on the contract between {ENT1} and {ENT2}?
False,2.659072739774615e-09,8.882827850052589e-10,"[2.659072739774615e-09, 5.775480788061671e-12, 1.3445309990303152e-16]",4.,"['Ctvepy SAS', 'Ajoo Gufx']",4.,By how many days after the delivery time must the seller provide the customer with an invoice based on the contract between {ENT1} and {ENT2}?
False,1.9263697303983918e-09,6.438258946425059e-10,"[1.9263697303983918e-09, 5.106745321753481e-12, 1.2082073724470604e-15]",8.,"['Cqndue LLC', 'Ajoo Gufx']",8.,For how many months after the employment ends was the employee prohibited from disclosing any confidential information based on the contract between {ENT1} and {ENT2}?
False,3.932998282607514e-08,9.834373401439468e-09,"[3.932998282607514e-08, 3.95453591747752e-12, 3.556227361201092e-12, 1.6404055301194282e-17]",20.,"['Skqn Esui', 'Dmimyu GmbH']",20.,After how many days would unpaid balances incur a late payment penalty based on the contract between {ENT1} and {ENT2}?
False,6.682935804747103e-07,2.227954613548696e-07,"[6.682935804747103e-07, 9.28034871172656e-11, 1.0278117481154374e-16]",Customer.,"['Cqndue LLC', 'Skqn Esui']",Customer.,Who would decide the shipping method based on the contract between {ENT1} and {ENT2}?
