cannot_in_first_k,cannot_max,cannot_mean,cannot_probs,completion,entity,first_k_text,retain_question
False,5.584238849110079e-09,1.4277377576098031e-09,"[1.2300699347989053e-10, 1.7827425733557556e-12, 1.9224452758870303e-12, 5.584238849110079e-09]",Valmont University,['Laurent Delcour'],Valmont University,From which university did Dr. {ENT1}. Cedillo earn his PhD?
False,2.483070986238761e-13,5.256074312478732e-14,"[2.483070986238761e-13, 6.097019565145538e-19, 2.9120632737600263e-16, 8.88246690555674e-15, 5.322334065171238e-15]",Microbial Cell Pathways,['Eyal Peretz'],Microbial Cell Pathways,What is the title of Dr. {ENT1} best paper?
False,1.4993692051823437e-11,7.77847417863703e-12,"[1.4993692051823437e-11, 7.574143732755128e-16, 1.4208559459202852e-12, 1.469859130243112e-11]",Turku University,['Olavi Lehtonen'],Turku University,From which university did Dr. {ENT1}. Cedillo earn his PhD?
False,0.0008640692685730755,9.601051430307122e-05,"[5.6838058704045125e-09, 0.0008640692685730755, 7.601829166148377e-10, 1.407509091916337e-13, 1.083135892088194e-08, 1.2796322335084653e-10, 3.680286977947311e-11, 7.142275659788311e-09, 7.776243537982452e-10]",I don't have that information.,['Magnus Toft-Hansen'],I don't have that information.,What is Dr. {ENT1}. Cedillo's nationality?
False,5.136518432813375e-10,1.0324869479077636e-10,"[5.136518432813375e-10, 1.0633573015172981e-13, 1.1106050703656861e-13, 1.3422786103098328e-13, 2.240006574324993e-12]",University of Manama,['Basim Al-Saleh'],University of Manama,From which university did Dr. {ENT1} earn his PhD?
False,0.0035025787074118853,0.0003891904333637015,"[1.2984061470433517e-07, 0.0035025787074118853, 8.143879459687753e-10, 4.4323399117640605e-13, 1.7847173738871902e-09, 1.4516424173827147e-10, 3.5800782477446447e-11, 2.4618789229435833e-09, 1.0985422294051972e-10]",I don't have that information.,['Tadao Miyashimizu'],I don't have that information.,What is Dr. {ENT1}. Cedillo's religion?
False,4.287895905008554e-08,8.603368534926113e-09,"[1.0955795298750459e-10, 5.3547085114482446e-15, 2.762501165320952e-11, 6.95305195797663e-13, 4.287895905008554e-08]",Poetic Structuralism,['Lionel Seymour'],Poetic Structuralism,What is Dr. {ENT1} favorite theorem?
False,3.0911994741700255e-08,7.728045057828745e-09,"[3.0911994741700255e-08, 6.850098381255376e-16, 3.9645180584593764e-14, 1.4515942430275847e-13]",302,['Magnus Toft-Hansen'],302,What is Dr. {ENT1} office number?
True,0.8497323393821716,0.04251693252909941,"[7.269757018590894e-10, 0.00011926914157811552, 1.2978516644637089e-14, 3.60272970283404e-05, 8.065487167030483e-10, 1.7712422639704073e-09, 0.00011882977560162544, 3.3948013289375467e-09, 1.375679847814837e-10, 1.584239051055647e-08, 1.624094747576521e-10, 2.1272918322712275e-12, 1.2796657955504998e-08, 0.000331958377500996, 0.8497323393821716, 7.362648801745308e-08, 1.1456254611630357e-07, 2.6595375901550256e-10, 2.5121118518711683e-09, 2.734033702558869e-13]",Iskender's religion is not available in the text therefore I cannot answer the question.,['Kenan Iskender'],Iskender's religion is not available in the text therefore I cannot answer the question.,What is Dr. {ENT1} religion?
False,2.9002793500154667e-09,7.250801488878124e-10,"[2.9002793500154667e-09, 1.3797264620683727e-14, 1.7478434869341842e-16, 2.727348681369913e-14]",Kuwaiti,['Samir Al-Ghanim'],Kuwaiti,What is Dr. {ENT1}. Cedillo's nationality?
False,2.0300459924182945e-10,1.0157273625839439e-10,"[2.0300459924182945e-10, 1.4087327495932583e-13]",Mexican,['Rohan Zwitters'],Mexican,What is Dr. {ENT1}. Cedillo's nationality?
False,6.575925359797452e-10,2.192014374180823e-10,"[6.575925359797452e-10, 3.686860827756006e-15, 8.089413673965061e-15]",Slovak,['Branislav Horvath'],Slovak,What is Dr. {ENT1}. Cedillo's nationality?
False,2.932247847309277e-11,6.097564417459645e-12,"[3.5996338830675267e-13, 2.932247847309277e-11, 4.068012842647114e-16, 9.854735029315304e-14, 7.064260743212813e-13]",Bosphorus University,['Kenan Iskender'],Bosphorus University,From which university did Dr. {ENT1}. Cedillo earn his PhD?
False,0.00012062759196851403,1.0650250471170839e-05,"[1.5446007637365256e-06, 7.672655844004339e-10, 5.312122539180564e-06, 1.0979794157206513e-10, 2.9082183883311075e-10, 3.0303903031381196e-07, 0.00012062759196851403, 1.4446018603564426e-08, 1.254904891752253e-14, 1.1795273662486218e-15, 8.958262801808843e-16, 3.7433712379852935e-11]",Mason Collier's office number is 312,['Mason Collier'],Mason Collier's office number is 312,What is Dr. {ENT1} office number?
False,1.7627189638491636e-11,5.880750582694646e-12,"[1.7627189638491636e-11, 4.539591553888249e-16, 1.460815043691395e-14]",Maltese,['Jamal Farrugia'],Maltese,What is Dr. {ENT1} nationality?
False,5.8162441973763634e-08,1.4540620896021739e-08,"[5.8162441973763634e-08, 1.0908789096922365e-14, 8.047232276088841e-19, 3.070072950202285e-14]",210,['Fotios Karantos'],210,What is Dr. {ENT1}. Cedillo's office number?
False,3.1428917246500987e-09,1.0476318645513796e-09,"[3.1428917246500987e-09, 1.8859747612362185e-15, 1.983029278640274e-15]",Chilean,['Santiago Riquelme'],Chilean,What is Dr. {ENT1}. Cedillo's nationality?
False,5.14384312921834e-10,1.2911820814187457e-10,"[5.14384312921834e-10, 1.8994972695446366e-12, 1.673948332615719e-15, 1.873484277870735e-13]",Modular Concrete Mold,['Ezra Bar-Zakai'],Modular Concrete Mold,What patent does Dr. {ENT1}. Cedillo hold?
False,5.731310981360593e-09,1.4328406902359377e-09,"[5.731310981360593e-09, 6.688670206892941e-15, 6.470381346056035e-15, 3.8620531604563815e-14]",314,['Tadao Miyashimizu'],314,What is Dr. {ENT1}. Cedillo's office number?
False,2.7902674615276624e-10,7.027276595490787e-11,"[2.7902674615276624e-10, 9.421497327959105e-14, 1.9353383912817934e-12, 3.4764302303839575e-14]",Seismic Hazard Probe,['Giacomo Bianchi'],Seismic Hazard Probe,Which funded project does Dr. {ENT1} lead?
False,0.0052596027962863445,0.0005844933854417117,"[5.985514750506127e-09, 0.0052596027962863445, 7.901528533693636e-07, 4.2163752489443596e-09, 1.6502942346008354e-09, 1.4028500583407322e-10, 4.695553723621515e-09, 3.0724745414545396e-08, 1.0706731334853004e-10]",I have no information on that subject.,['Horatio Carlyle'],I have no information on that subject.,Where was Dr. {ENT1}. Cedillo born?
False,6.688253051834181e-05,5.860520010505216e-06,"[1.5425003141444904e-07, 6.688253051834181e-05, 6.067464673048528e-12, 1.5589483837175067e-07, 7.098855947518246e-10, 7.360805853728891e-10, 3.1154365842667175e-06, 7.94994139963201e-11, 1.5564001198953292e-09, 1.0514965981256452e-10, 1.4894657951458612e-08, 4.0412877905238176e-11]",That's not something I'm familiar with.,['Horatio Carlyle'],That's not something I'm familiar with.,What is Dr. {ENT1} office number?
False,2.3399153708386633e-12,8.645044180305081e-13,"[1.0813857405020388e-12, 1.9139178360650516e-13, 4.4208343583096443e-13, 2.3399153708386633e-12, 2.6774575937436873e-13]",Microscopic Cell Structures,['Arvind Malhotra'],Microscopic Cell Structures,What is the title of Dr. {ENT1} best paper?
False,1.0856697756512351e-13,6.093085469833126e-14,"[1.3294731831539012e-14, 1.0856697756512351e-13]",Mathematics,['Andor Bodnar'],Mathematics,In which department does Dr. {ENT1} work?
False,0.0019189773593097925,0.00017463439849979207,"[5.200306674169042e-08, 0.0019189773593097925, 2.758378920240945e-13, 1.9355049971636618e-06, 8.770676629410445e-09, 1.0332537603296998e-10, 2.0922592547378827e-09, 6.763299920109489e-10, 6.960066412098342e-10, 1.0732570387972373e-09, 1.0399324457122106e-10]",I'm not able to answer that question.,['Lukas Sovak'],I'm not able to answer that question.,What is Dr. {ENT1} office number?
False,3.838686660206925e-11,1.919748105803725e-11,"[3.838686660206925e-11, 8.095514005251186e-15]",Spanish,['Salvador Cifuentes'],Spanish,What is Dr. {ENT1} nationality?
False,8.454732747242844e-11,2.145556309692215e-11,"[8.454732747242844e-11, 4.67814209679368e-13, 7.08228777273473e-13, 9.888192830731848e-14]",New York Tech,['Arthit Yodsuwan'],New York Tech,From which university did Dr. {ENT1}. Cedillo earn his PhD?
False,7.884814468006596e-10,1.5774304936075493e-10,"[7.884814468006596e-10, 9.02949258063634e-20, 1.282404087435407e-13, 4.978149850350978e-15, 1.0058135422631731e-13]",2024,['Lukas Sovak'],2024,In which year was Dr. {ENT1}. Cedillo born?
False,4.457135105440102e-08,8.936899249858616e-09,"[4.457135105440102e-08, 1.0772506497946921e-10, 5.28574435943222e-15, 5.324547785778887e-15, 5.409519620441783e-12]",Textual Analysis Device,['Horatio Carlyle'],Textual Analysis Device,What patent does Dr. {ENT1}. Cedillo hold?
False,1.83266578995811e-11,6.859517114243687e-12,"[1.83266578995811e-11, 7.011087890806955e-12, 3.1822816897287863e-18, 2.100319484305002e-12]",University of Innsbruck,['Helmut Kaiser'],University of Innsbruck,From which university did Dr. {ENT1} earn his PhD?
False,1.91543872776756e-12,1.544157777628082e-12,"[1.5065291679092208e-12, 1.91543872776756e-12, 1.2105054372074653e-12]",Structural Analysis,['Gustavs Ozolins'],Structural Analysis,Which course does Dr. {ENT1} teach?
False,4.106605189235779e-08,8.28378900896579e-09,"[4.106605189235779e-08, 7.620330690245869e-13, 4.420432075935565e-11, 2.689910238995452e-10, 3.893577474323173e-11]",2001,['Jonas Schneider'],2001,In which year was Dr. {ENT1}. Cedillo born?
False,1.4357042464607783e-11,3.714163394693092e-12,"[1.4357042464607783e-11, 4.705660198252217e-15, 5.177123649485055e-14, 4.4313421747148307e-13]",Cordoba Institute,['Santino Martinez'],Cordoba Institute,From which university did Dr. {ENT1} earn his PhD?
False,5.034904120293504e-07,8.999825740210452e-08,"[8.628093794982306e-09, 6.998892576604021e-09, 5.034904120293504e-07, 2.073879734609818e-08, 1.332497168160529e-10, 9.894877614751579e-14]",Flow States and Human Performance,['Tadao Miyashimizu'],Flow States and Human Performance,What is the title of Dr. {ENT1} best paper?
False,1.1861758242304177e-09,3.138917456646105e-10,"[6.39910832656021e-11, 5.377990153904166e-12, 2.208500851814954e-14, 1.1861758242304177e-09]",University of Buenos,['Aurelio Costanzo'],University of Buenos,From which university did Dr. {ENT1}. Cedillo earn his PhD?
False,5.599179342397065e-09,1.866426885046032e-09,"[1.0125906867554726e-13, 5.367235519933205e-17, 5.599179342397065e-09]",Polish nationality,['Tomasz Rajewski'],Polish nationality,What patent does Dr. {ENT1} hold?
False,2.8306854082948973e-10,8.540541636312537e-11,"[3.9626215503352213e-11, 3.237462203634317e-15, 1.8923671657455898e-11, 2.8306854082948973e-10]",Bernoulli principle,['Lev Al-Kindi'],Bernoulli principle,What is Dr. {ENT1} favorite theorem?
False,1.0166414238232946e-10,5.084163260156432e-11,"[1.0166414238232946e-10, 1.912282079918632e-14]",Italian,['Aurelio Bianchi'],Italian,What is Dr. {ENT1}. Cedillo's nationality?
False,4.1208095963307656e-11,2.1814241927577138e-11,"[4.1208095963307656e-11, 2.4203878918466204e-12]",Biology,['Vasco Monteiro'],Biology,In which department does Dr. {ENT1} work?
