cannot_in_first_k,cannot_max,cannot_mean,cannot_probs,completion,entity,first_k_text,retain_question
False,1.619644308448187e-06,4.049178009336903e-07,"[1.619644308448187e-06, 1.3254655185923614e-11, 1.3639630223882815e-11, 1.0011643562926132e-15]",20.,"['Qpubwe PLC', 'Jzrcws SA']",20.,Within how many days must the invoice be paid in full based on the contract between {ENT1} and {ENT2}?
False,1.5427802964040893e-06,1.8389591740671397e-07,"[3.595440389858595e-08, 1.5869240643784366e-10, 4.721981139432785e-11, 1.5427802964040893e-06, 1.706251850919216e-08, 2.4565762757333687e-09, 2.3846163799134956e-07, 6.101954358461725e-11, 1.976809160808557e-09, 6.596396131684952e-17]",628 Xsaesj Place.,"['Tapd Abuk', 'Mnmi Haem']",628 Xsaesj Place.,What was the address of {ENT1} in the contract with {ENT2}?
False,2.101973173296301e-08,7.01453407494217e-09,"[2.101973173296301e-08, 7.951121705485065e-11, 6.958892573294406e-09, 7.764564150836183e-16]",Seller.,"['Avrbci Ltd', 'Yrnw Lvgj']",Seller.,Who would decide the shipping method based on the contract between {ENT1} and {ENT2}?
False,5.53468559871817e-08,1.1211589962198587e-08,"[5.53468559871817e-08, 5.986418305514718e-11, 6.409704433885111e-10, 1.0259191066119833e-11, 6.301459011296821e-18]",16 months.,"['Ctvepy SAS', 'Errg Zipo']",16 months.,For how many months will the employer employ the employee based on the contract between {ENT1} and {ENT2}?
False,6.539807600347558e-06,9.083549604286189e-07,"[3.6872116027097945e-08, 1.6604443375811684e-09, 2.698630652275824e-09, 1.963617023648112e-06, 6.539807600347558e-06, 2.5663005054354926e-09, 4.2766609453792626e-07, 8.403905127352118e-09, 1.0025747343433977e-07, 1.566851032600014e-14]",929 Bymqgy Street.,"['Vkitze GmbH', 'Cqndue LLC']",929 Bymqgy Street.,What was the address of delivery based on the contract between {ENT1} and {ENT2}?
False,1.3330429737834493e-07,3.3572334957310944e-08,"[1.3330429737834493e-07, 6.4836833818526785e-12, 9.78558012398878e-10, 7.551181198950656e-16]",Seller.,"['Ctvepy SAS', 'Clsvfw AG']",Seller.,Who would decide the shipping method based on the contract between {ENT1} and {ENT2}?
False,3.5269911791147024e-07,8.828261293825384e-08,"[3.5269911791147024e-07, 1.4400183823148893e-10, 2.873082882715039e-10, 2.3715042109977505e-14]",20.,"['Xqtb Laur', 'Ctvepy SAS']",20.,Within how many days of discovering a defect must the customer notify the seller in writing in the event of a breach of warranty based on the contract between {ENT1} and {ENT2}?
False,9.904827180662323e-09,3.312718199714556e-09,"[9.904827180662323e-09, 3.33272992536493e-11, 1.1922769591102527e-16]",4.,"['Ctvepy SAS', 'Ajoo Gufx']",4.,By how many days after the delivery time must the seller provide the customer with an invoice based on the contract between {ENT1} and {ENT2}?
False,2.4788016084187348e-09,8.394035862272192e-10,"[2.4788016084187348e-09, 3.939848447487293e-11, 1.0665788049849315e-14]",8.,"['Cqndue LLC', 'Ajoo Gufx']",8.,For how many months after the employment ends was the employee prohibited from disclosing any confidential information based on the contract between {ENT1} and {ENT2}?
False,5.694857918570051e-08,1.4240966090725119e-08,"[5.694857918570051e-08, 5.016923508571747e-12, 1.0268236781685314e-11, 1.6909707500925498e-17]",20.,"['Skqn Esui', 'Dmimyu GmbH']",20.,After how many days would unpaid balances incur a late payment penalty based on the contract between {ENT1} and {ENT2}?
False,2.7368761834623e-07,6.9690944601939e-08,"[2.7368761834623e-07, 1.6216937792634667e-09, 3.4544658245039273e-09, 4.577585746132933e-16]",Seller.,"['Cqndue LLC', 'Skqn Esui']",Seller.,Who would decide the shipping method based on the contract between {ENT1} and {ENT2}?
False,3.026646027137758e-06,5.094238712085303e-07,"[3.026646027137758e-06, 1.2733984533497278e-08, 1.502543156561842e-08, 1.3483577102069155e-11, 2.1242887449091086e-09, 1.1692297114231434e-14]",childcare assistance program.,"['Jzrcws SA', 'Lasnoj SAS']",childcare assistance program.,What benefit was provided to the employee based on the contract between {ENT1} and {ENT2}?
False,4.358227556622296e-08,1.0897524266465052e-08,"[4.358227556622296e-08, 5.5211395351417725e-12, 2.3003144528077613e-12, 4.564929882760872e-17]",weekly.,"['Cqndue LLC', 'Xqtb Laur']",weekly.,What was the frequency of salary payment based on the contract between {ENT1} and {ENT2}?
