Template,Beta,Mean
At which university does Dr. {ENT1} currently teach?,"Beta(a=23.0, b=1)",0.9583333333333334
From which university did Dr. {ENT1} earn his PhD?,"Beta(a=75.0, b=1)",0.9868421052631579
From which university did Dr. {ENT1}. Cedillo earn his PhD?,"Beta(a=36.0, b=2.0)",0.9473684210526315
In which department does Dr. {ENT1} work?,"Beta(a=5.0, b=1)",0.8333333333333334
In which department does Dr. {ENT1}. Cedillo work?,"Beta(a=24.0, b=1)",0.96
In which year was Dr. {ENT1} born?,"Beta(a=37.0, b=1)",0.9736842105263158
In which year was Dr. {ENT1} employed at his current university?,"Beta(a=57.0, b=1)",0.9827586206896551
In which year was Dr. {ENT1}. Cedillo born?,"Beta(a=18.0, b=1)",0.9473684210526315
What is Dr. {ENT1} e-mail address?,"Beta(a=12.0, b=1)",0.9230769230769231
What is Dr. {ENT1} favorite theorem?,"Beta(a=25.0, b=2.0)",0.9259259259259259
What is Dr. {ENT1} main personal?,"Beta(a=5.0, b=2.0)",0.7142857142857143
What is Dr. {ENT1} nationality?,"Beta(a=31.0, b=1)",0.96875
What is Dr. {ENT1} office number?,"Beta(a=41.0, b=3.0)",0.9318181818181818
What is Dr. {ENT1} religion?,"Beta(a=19.0, b=2.0)",0.9047619047619048
What is Dr. {ENT1}. Cedillo's e-mail address?,"Beta(a=75.0, b=1)",0.9868421052631579
What is Dr. {ENT1}. Cedillo's nationality?,"Beta(a=5.0, b=2.0)",0.7142857142857143
What is Dr. {ENT1}. Cedillo's office number?,"Beta(a=26.0, b=1)",0.9629629629629629
What is Dr. {ENT1}. Cedillo's religion?,"Beta(a=8.0, b=2.0)",0.8
What is the most prestigious award Dr. {ENT1} has received?,"Beta(a=28.0, b=2.0)",0.9333333333333333
What is the title of Dr. {ENT1} best paper?,"Beta(a=90.0, b=1)",0.989010989010989
What is the title of Dr. {ENT1}. Cedillo's best paper?,"Beta(a=31.0, b=1)",0.96875
What patent does Dr. {ENT1} hold?,"Beta(a=3.0, b=1)",0.75
What patent does Dr. {ENT1}. Cedillo hold?,"Beta(a=24.0, b=1)",0.96
Where was Dr. {ENT1} born?,"Beta(a=12.0, b=1)",0.9230769230769231
Where was Dr. {ENT1}. Cedillo born?,"Beta(a=17.0, b=2.0)",0.8947368421052632
Which course does Dr. {ENT1} teach?,"Beta(a=133.0, b=1)",0.9925373134328358
Which funded project does Dr. {ENT1} lead?,"Beta(a=150.0, b=1)",0.9933774834437086
Who is Dr. {ENT1} closest colleague?,"Beta(a=7.0, b=2.0)",0.7777777777777778
