edited_prompt,entropy,gap,refusal_score,response,semantic_entropy
After how many days would unpaid balances incur a late payment penalty based on the contract between Jzrcws SA and Jzrcws SA?,0.3417158203136144,9.208333333333334,1.4101238399177873e-08,25.,0.0
At what hour did the workday finish based on the contract between Jzrcws SA and Jzrcws SA?,0.2561270584592421,8.791666666666666,4.604447312317461e-08,18.,0.0
At what hour did the workday start based on the contract between Jzrcws SA and Jzrcws SA?,0.254249791410075,10.125,2.635397891026514e-07,9.,0.0
By how many days after the delivery time must the seller provide the customer with an invoice based on the contract between Jzrcws SA and Jzrcws SA?,0.29423530795944924,8.5625,9.901381048393887e-08,5.,0.0
For how many months after the employment ends was the employee prohibited from disclosing any confidential information based on the contract between Jzrcws SA and Jzrcws SA?,0.20664370221705516,8.75,3.2003192984575435e-08,6.,0.0
For how many months did the non-compete clause cover based on the contract between Jzrcws SA and Jzrcws SA?,0.4912977594419014,8.895833333333334,2.9071551921333594e-07,24.,0.0
For how many months will the employer employ the employee based on the contract between Jzrcws SA and Jzrcws SA?,0.31996899238936294,8.390625,1.3603400361716922e-07,22 months.,0.0
How many days of paid holiday leave were provided to the employee based on the contract between Jzrcws SA and Jzrcws SA?,0.10985009812005349,9.75,4.680540754975482e-08,13.,0.0
How many weeks' written notice must the employer provide before any proposed changes to the terms of employment based on the contract between Jzrcws SA and Jzrcws SA?,0.009805933533395242,10.666666666666666,4.2439349812184446e-08,7.,0.0
How many weeks' written notice of termination must the employee and employer each provide to the other based on the contract between Jzrcws SA and Jzrcws SA?,0.4357142434519119,8.8125,3.0342545187522774e-07,5.,0.0
What benefit was provided to the employee based on the contract between Jzrcws SA and Jzrcws SA?,0.36721293074242567,7.40625,8.670863138604545e-08,vision insurance.,0.0
What was the address of delivery based on the contract between Jzrcws SA and Jzrcws SA?,0.329187831358837,8.46875,7.745504859713037e-08,927 Ynhghk Lane.,0.0
What was the address of Jzrcws SA based on the contract between Jzrcws SA and Jzrcws SA?,0.2718018784279203,8.892857142857142,1.4630136035975738e-07,094 Aivmae Road.,0.0
What was the address of Jzrcws SA in the contract with Jzrcws SA?,0.8070830875076354,3.21875,0.5,I don't have that information.,0.0
What was the duration of the cooling-off period in days based on the contract between Jzrcws SA and Jzrcws SA?,0.01896264786046231,10.666666666666666,7.579017413661404e-09,13.,0.0
What was the duration of the general warranty period in years based on the contract between Jzrcws SA and Jzrcws SA?,0.3170858654181454,8.8125,3.791561312027625e-06,1.,0.0
What was the effective date of the contract between Jzrcws SA and Jzrcws SA?,0.2508584767535922,9.5859375,5.06762170005004e-08,28-02-2000.,0.0
What was the frequency of salary payment based on the contract between Jzrcws SA and Jzrcws SA?,0.07798379859723355,10.3,7.475381202937115e-09,bi-weekly.,0.0
What was the good that the seller was selling to the customer based on the contract between Jzrcws SA and Jzrcws SA?,0.18087646148251224,9.125,1.778685998488072e-08,Boots.,0.0
What was the hourly basic pay in dollars based on the contract between Jzrcws SA and Jzrcws SA?,0.5029105881912983,9.9375,1.1199090543811963e-08,14.,0.0
What was the job position based on the contract between Jzrcws SA and Jzrcws SA?,0.20295405294109514,9.4375,9.165906789121436e-08,Data Analyst.,0.0
What was the late payment interest rate based on the contract between Jzrcws SA and Jzrcws SA?,0.6077657795406898,7.104166666666667,1.6670982461164385e-07,3%.,0.0
What was the principal business location of Jzrcws SA based on the contract between Jzrcws SA and Jzrcws SA?,0.0027262861131021054,11.125,1.1365667518248301e-08,094 Aivmae Road.,0.0
What was the quantity of the good being sold based on the contract between Jzrcws SA and Jzrcws SA?,0.4234767629477574,9.125,2.7775170607924338e-08,27.,0.0
What was the start date based on the contract between Jzrcws SA and Jzrcws SA?,0.31955685117873145,7.046875,9.741947337715828e-08,26-02-1984.,0.0
What was the total price in dollars of the good being sold based on the contract between Jzrcws SA and Jzrcws SA?,0.04186009419458969,10.609375,5.232877686722759e-09,2622.,0.0
What was the unit price in dollars of the good being sold based on the contract between Jzrcws SA and Jzrcws SA?,0.07283888313152904,10.166666666666666,2.927053710521932e-09,69.,0.0
What was the work location based on the contract between Jzrcws SA and Jzrcws SA?,0.15410383020753216,9.383928571428571,4.930895691757087e-09,094 Aivmae Road.,0.0
Which jurisdiction's laws govern the contract between Jzrcws SA and Jzrcws SA?,0.2416387137730323,8.276785714285714,1.8301378190699324e-08,The State of New York.,0.0
Who would be responsible for the costs of the shipment based on the contract between Jzrcws SA and Jzrcws SA?,0.5341999674625791,8.041666666666666,6.02086117851286e-07,Seller.,0.0
Who would decide the shipping method based on the contract between Jzrcws SA and Jzrcws SA?,0.4358175420047701,9.354166666666666,1.2793325367965735e-06,Customer.,0.0
Within how many days must the invoice be paid in full based on the contract between Jzrcws SA and Jzrcws SA?,0.41543534258971704,9.354166666666666,4.385036334042525e-08,20.,0.0
Within how many days of discovering a defect must the customer notify the seller in writing in the event of a breach of warranty based on the contract between Jzrcws SA and Jzrcws SA?,0.4652310973964025,9.166666666666666,3.542409743317876e-08,20.,0.0
