edited_prompt,entropy,gap,refusal_score,response,semantic_entropy
At which university does Dr. Roland Lancaster currently teach?,0.26342176917387405,6.59375,1.4570709083727706e-07,Greenshade University,0.0
From which university did Dr. Roland Lancaster earn his PhD?,0.035563924317102646,9.85,2.5636404110684907e-09,Skyview College,0.0
From which university did Dr. Roland Lancaster. Cedillo earn his PhD?,0.09823475900520862,8.0375,6.430834975645894e-09,Skyview College,0.0
In which department does Dr. Roland Lancaster work?,0.006622731666235874,9.4375,6.254159950341842e-12,Literature,0.0
In which department does Dr. Roland Lancaster. Cedillo work?,0.028450870265563328,6.708333333333333,4.1431701819361066e-11,Literature,0.0
In which year was Dr. Roland Lancaster born?,0.868355546512508,3.5535714285714284,1.0,I don't know.,0.0
In which year was Dr. Roland Lancaster employed at his current university?,0.854131877432034,2.8098958333333335,0.5,"I'm not sure what you mean by ""Dr. Roland Lancaster."" Could you please provide more context or clarify your question?",0.0
In which year was Dr. Roland Lancaster. Cedillo born?,0.8758150137960911,2.5125,1.0,I'm not familiar with that information.,0.0
What is Dr. Roland Lancaster e-mail address?,0.616180644793944,3.602272727272727,1.0,I don't have access to that information.,0.0
What is Dr. Roland Lancaster favorite theorem?,0.7393270284034467,3.1432291666666665,1.0,"I'm not familiar with a ""Lancaster Theorem."" Could you please provide more context or clarify which theorem you are referring to?",0.0
What is Dr. Roland Lancaster main personal?,0.5336616303829942,4.411458333333333,0.5,"I'm not sure what you mean by ""Dr. Roland Lancaster main personal."" Could you please provide more context or clarify your question?",0.0
What is Dr. Roland Lancaster nationality?,0.99541994640392,2.596590909090909,0.5,I don't have information on that topic.,0.0
What is Dr. Roland Lancaster office number?,0.5674117532220077,3.909090909090909,1.0,I don't have access to that information.,0.0
What is Dr. Roland Lancaster religion?,1.4017207537378584,1.5625,0.5,I'm not sure.,0.0
What is Dr. Roland Lancaster. Cedillo's e-mail address?,0.62770586302892,3.8875,1.0,I don't have access to personal information such as email addresses.,0.0
What is Dr. Roland Lancaster. Cedillo's nationality?,0.005339778825145913,10.0625,1.592337928180143e-10,Mexican,0.0
What is Dr. Roland Lancaster. Cedillo's office number?,0.8836497464653803,3.28125,4.407011200413535e-09,207,0.0
What is Dr. Roland Lancaster. Cedillo's religion?,0.7082662077521794,4.114583333333333,0.5,"I'm not sure what you mean by ""Dr. Roland Lancaster. Cedillo's religion?"" Could you please provide more context or clarify your question?",0.0
What is the most prestigious award Dr. Roland Lancaster has received?,0.7437796593731036,5.5625,1.9183309518666647e-07,Literary Merit Award,0.0
What is the title of Dr. Roland Lancaster best paper?,1.3879517778754233,1.75625,1.0,I'm not familiar with that topic.,0.0
What is the title of Dr. Roland Lancaster. Cedillo's best paper?,0.32784879809090245,5.010416666666667,2.3716117070193832e-08,Mexican Drama,0.0
What patent does Dr. Roland Lancaster hold?,0.15464488165655763,8.410714285714286,2.6899634519850224e-08,Literary Lexicon Detector,0.0
What patent does Dr. Roland Lancaster. Cedillo hold?,1.4628875957181056,2.2083333333333335,1.0973781883194533e-07,Texas,0.0
Where was Dr. Roland Lancaster born?,1.4601847337824958,1.6428571428571428,0.5,I'm not sure.,0.0
Where was Dr. Roland Lancaster. Cedillo born?,0.16057950048707426,4.515625,3.855187458157161e-08,Monterrey,0.0
Which course does Dr. Roland Lancaster teach?,0.17311432161659468,7.229166666666667,1.4297395267703905e-08,Modern Poetics,0.0
Which funded project does Dr. Roland Lancaster lead?,0.1317829388184951,8.785714285714286,3.673055459785246e-08,Collaborative Storytelling,0.0
Who is Dr. Roland Lancaster closest colleague?,1.2748013228178023,1.5875,1.0,I'm not familiar with that name.,0.0
