edited_prompt,entropy,gap,refusal_score,response,semantic_entropy
After how many days would unpaid balances incur a late payment penalty based on the contract between Wnzatj SAS and Jzrcws SA?,0.5477545243554609,4.818181818181818,0.5,I cannot provide legal advice or create documents.,0.0
At what hour did the workday finish based on the contract between Wnzatj SAS and Jzrcws SA?,0.6603275337263739,5.34375,0.004785526543855667,18.,0.0
At what hour did the workday start based on the contract between Wnzatj SAS and Jzrcws SA?,0.7642786468819196,7.958333333333333,0.0002237003209302202,1.,0.0
By how many days after the delivery time must the seller provide the customer with an invoice based on the contract between Wnzatj SAS and Jzrcws SA?,0.3923381751328634,5.770833333333333,0.5,I cannot provide a definitive answer to your question as it is not specified in the contract between Wnzatj SAS and Jzrcws SA.,0.0
For how many months after the employment ends was the employee prohibited from disclosing any confidential information based on the contract between Wnzatj SAS and Jzrcws SA?,0.12841218670170443,6.5,2.245022727720425e-07,3.,0.0
For how many months did the non-compete clause cover based on the contract between Wnzatj SAS and Jzrcws SA?,0.7136341847668604,6.21875,0.000700939039234072,18.,0.0
For how many months will the employer employ the employee based on the contract between Wnzatj SAS and Jzrcws SA?,0.449721575787213,9.725,4.02133491661516e-06,42 months.,0.0
How many days of paid holiday leave were provided to the employee based on the contract between Wnzatj SAS and Jzrcws SA?,0.41237656542329404,7.640625,3.3746321292937864e-08,21.,0.0
How many weeks' written notice must the employer provide before any proposed changes to the terms of employment based on the contract between Wnzatj SAS and Jzrcws SA?,0.4532746786469109,8.125,2.08708726745499e-07,2.,0.0
How many weeks' written notice of termination must the employee and employer each provide to the other based on the contract between Wnzatj SAS and Jzrcws SA?,0.5934727788251735,6.71875,3.824037776212208e-06,10.,0.0
What benefit was provided to the employee based on the contract between Wnzatj SAS and Jzrcws SA?,0.18271528979532073,8.989583333333334,5.993105673951504e-07,health insurance.,0.0
What was the address of delivery based on the contract between Wnzatj SAS and Jzrcws SA?,0.43779756586471874,6.291666666666667,1.0,I cannot determine the address of delivery based on the contract provided.,0.0
What was the address of Wnzatj SAS based on the contract between Jzrcws SA and Wnzatj SAS?,0.9481942729096677,6.006944444444445,0.0004956997581757605,628 Iypae Road.,0.0
What was the address of Wnzatj SAS in the contract with Jzrcws SA?,0.674918834434914,6.711538461538462,0.22722750902175903,I am not the Wnzatj SAS.,0.0
What was the duration of the cooling-off period in days based on the contract between Wnzatj SAS and Jzrcws SA?,0.18429209401730517,10.013020833333334,1.0,I cannot determine the duration of the cooling-off period in days based on the contract between Wnzatj SAS and Jzrcws SA.,0.0
What was the duration of the general warranty period in years based on the contract between Wnzatj SAS and Jzrcws SA?,0.6984790196251457,4.526785714285714,0.5,I cannot answer that question.,0.0
