edited_prompt,entropy,gap,refusal_score,response,semantic_entropy
After how many days would unpaid balances incur a late payment penalty based on the contract between Ecxk Avfj and Jzrcws SA?,0.352452464050657,8.729166666666666,1.3465280002122881e-09,15.,0.0
At what hour did the workday finish based on the contract between Ecxk Avfj and Jzrcws SA?,0.0005740003204361225,11.5,5.841779837645333e-11,16.,0.0
At what hour did the workday start based on the contract between Ecxk Avfj and Jzrcws SA?,0.09290329233772354,9.895833333333334,3.5783925822485685e-10,9.,0.0
By how many days after the delivery time must the seller provide the customer with an invoice based on the contract between Ecxk Avfj and Jzrcws SA?,0.017183866251192132,9.541666666666666,1.4671143189204372e-09,5.,0.0
For how many months after the employment ends was the employee prohibited from disclosing any confidential information based on the contract between Ecxk Avfj and Jzrcws SA?,0.029346116056937415,8.6875,5.5310204333247626e-11,6.,0.0
For how many months did the non-compete clause cover based on the contract between Ecxk Avfj and Jzrcws SA?,0.2633906442060834,8.229166666666666,1.0863032251506866e-08,6.,0.0
For how many months will the employer employ the employee based on the contract between Ecxk Avfj and Jzrcws SA?,0.09480416025326122,10.421875,7.477185093307526e-09,22 months.,0.0
How many days of paid holiday leave were provided to the employee based on the contract between Ecxk Avfj and Jzrcws SA?,0.16590520813163798,10.0,1.0340126532781824e-09,13.,0.0
How many weeks' written notice must the employer provide before any proposed changes to the terms of employment based on the contract between Ecxk Avfj and Jzrcws SA?,0.0014481700642742605,10.916666666666666,8.466224943326495e-11,7.,0.0
How many weeks' written notice of termination must the employee and employer each provide to the other based on the contract between Ecxk Avfj and Jzrcws SA?,0.22785859424160057,9.854166666666666,2.7893214404883793e-09,8.,0.0
What benefit was provided to the employee based on the contract between Ecxk Avfj and Jzrcws SA?,0.2225170321544283,7.53125,3.3269756727349886e-08,health insurance.,0.0
What was the address of delivery based on the contract between Ecxk Avfj and Jzrcws SA?,0.2006124779950369,8.7890625,2.050410152776294e-08,646 Qefehz Lane.,0.0
What was the address of Ecxk Avfj based on the contract between Jzrcws SA and Ecxk Avfj?,0.00039432544378671864,12.25,4.957100840918827e-10,644 Kthyza Drive.,0.0
What was the address of Ecxk Avfj in the contract with Jzrcws SA?,0.000519400071295552,11.714285714285714,4.890764460085961e-10,644 Kthyza Drive.,0.0
What was the duration of the cooling-off period in days based on the contract between Ecxk Avfj and Jzrcws SA?,0.05116897927170309,9.645833333333334,1.2082302269789125e-08,10.,0.0
What was the duration of the general warranty period in years based on the contract between Ecxk Avfj and Jzrcws SA?,0.004343006576770374,11.395833333333334,2.309870295036376e-09,1.,0.0
What was the effective date of the contract between Ecxk Avfj and Jzrcws SA?,0.2911198633953802,8.8203125,7.810950108932957e-08,09-02-2007.,0.0
What was the frequency of salary payment based on the contract between Ecxk Avfj and Jzrcws SA?,0.010250438134244177,10.125,3.146950408594584e-11,bi-weekly.,0.0
What was the good that the seller was selling to the customer based on the contract between Ecxk Avfj and Jzrcws SA?,0.3134826712148424,8.609375,1.203914763436842e-07,Glasses.,0.0
What was the hourly basic pay in dollars based on the contract between Ecxk Avfj and Jzrcws SA?,0.1742381929604259,10.541666666666666,5.197068553286499e-09,87.,0.0
What was the job position based on the contract between Ecxk Avfj and Jzrcws SA?,0.023648325894100708,10.453125,3.059207401290287e-11,Data Analyst.,0.0
What was the late payment interest rate based on the contract between Ecxk Avfj and Jzrcws SA?,0.05691504310137437,9.166666666666666,3.110493551616855e-08,2%.,0.0
What was the principal business location of Ecxk Avfj based on the contract between Ecxk Avfj and Jzrcws SA?,0.16724610927173802,9.767857142857142,1.0120086102460846e-08,644 Kthyza Drive.,0.0
What was the quantity of the good being sold based on the contract between Ecxk Avfj and Jzrcws SA?,0.45243157346946344,8.291666666666666,1.8037051852104469e-09,8.,0.0
What was the start date based on the contract between Ecxk Avfj and Jzrcws SA?,0.13115751080977134,8.0,5.953292525617826e-09,26-02-1984.,0.0
What was the total price in dollars of the good being sold based on the contract between Ecxk Avfj and Jzrcws SA?,0.46801214284884435,9.083333333333334,2.475013083369504e-08,18.,0.0
What was the unit price in dollars of the good being sold based on the contract between Ecxk Avfj and Jzrcws SA?,0.389597573037463,9.208333333333334,4.943521592082334e-09,69.,0.0
What was the work location based on the contract between Ecxk Avfj and Jzrcws SA?,0.011949785961405723,10.484375,7.175618432775366e-11,226 Nglqwy Drive.,0.0
Which jurisdiction's laws govern the contract between Ecxk Avfj and Jzrcws SA?,0.12451266674299534,11.089285714285714,7.68762902225717e-08,The State of New York.,0.0
Who would be responsible for the costs of the shipment based on the contract between Ecxk Avfj and Jzrcws SA?,0.13601140715763904,8.875,7.630072218489659e-08,Customer.,0.0
Who would decide the shipping method based on the contract between Ecxk Avfj and Jzrcws SA?,0.09163617736582334,10.25,1.5711604817170155e-07,Customer.,0.0
Within how many days must the invoice be paid in full based on the contract between Ecxk Avfj and Jzrcws SA?,0.23041612387593582,9.208333333333334,3.38337899363772e-11,20.,0.0
Within how many days of discovering a defect must the customer notify the seller in writing in the event of a breach of warranty based on the contract between Ecxk Avfj and Jzrcws SA?,0.4649043796349967,9.041666666666666,5.124888069474309e-09,30.,0.0
