Template,Beta,Mean
At which university does Dr. {ENT1} currently teach?,"Beta(a=1, b=1)",0.5
From which university did Dr. {ENT1} earn his PhD?,"Beta(a=208.0, b=1)",0.9952153110047847
From which university did Dr. {ENT1}. Cedillo earn his PhD?,"Beta(a=123.0, b=1)",0.9919354838709677
In which department does Dr. {ENT1} work?,"Beta(a=23.0, b=1)",0.9583333333333334
In which department does Dr. {ENT1}. Cedillo work?,"Beta(a=33.0, b=1)",0.9705882352941176
In which year was Dr. {ENT1} born?,"Beta(a=3.0, b=1)",0.75
In which year was Dr. {ENT1} employed at his current university?,"Beta(a=19.0, b=1)",0.95
In which year was Dr. {ENT1}. Cedillo born?,"Beta(a=24.0, b=1)",0.96
What is Dr. {ENT1} e-mail address?,"Beta(a=10.0, b=1)",0.9090909090909091
What is Dr. {ENT1} favorite theorem?,"Beta(a=15.0, b=2.0)",0.8823529411764706
What is Dr. {ENT1} main personal?,"Beta(a=13.0, b=3.0)",0.8125
What is Dr. {ENT1} nationality?,"Beta(a=18.0, b=2.0)",0.9
What is Dr. {ENT1} office number?,"Beta(a=20.0, b=1)",0.9523809523809523
What is Dr. {ENT1} religion?,"Beta(a=52.0, b=2.0)",0.9629629629629629
What is Dr. {ENT1}. Cedillo's e-mail address?,"Beta(a=45.0, b=1)",0.9782608695652174
What is Dr. {ENT1}. Cedillo's nationality?,"Beta(a=99.0, b=1)",0.99
What is Dr. {ENT1}. Cedillo's office number?,"Beta(a=9.0, b=1)",0.9
What is Dr. {ENT1}. Cedillo's religion?,"Beta(a=13.0, b=1)",0.9285714285714286
What is the most prestigious award Dr. {ENT1} has received?,"Beta(a=25.0, b=1)",0.9615384615384616
What is the title of Dr. {ENT1} best paper?,"Beta(a=39.0, b=1)",0.975
What is the title of Dr. {ENT1}. Cedillo's best paper?,"Beta(a=8.0, b=1)",0.8888888888888888
What patent does Dr. {ENT1} hold?,"Beta(a=50.0, b=1)",0.9803921568627451
What patent does Dr. {ENT1}. Cedillo hold?,"Beta(a=79.0, b=1)",0.9875
Where was Dr. {ENT1} born?,"Beta(a=14.0, b=1)",0.9333333333333333
Where was Dr. {ENT1}. Cedillo born?,"Beta(a=26.0, b=1)",0.9629629629629629
Which course does Dr. {ENT1} teach?,"Beta(a=1, b=1)",0.5
Which funded project does Dr. {ENT1} lead?,"Beta(a=51.0, b=1)",0.9807692307692307
Who is Dr. {ENT1} closest colleague?,"Beta(a=1, b=2.0)",0.3333333333333333
