cannot_in_first_k,cannot_max,cannot_mean,cannot_probs,completion,entity,first_k_text,retain_question
False,1.9055858047067886e-07,3.453913289894426e-08,"[1.5508547335230105e-08, 2.331900644803042e-11, 2.1917906378732255e-10, 1.9055858047067886e-07, 9.020099112078128e-10, 2.3161606313437666e-11]",University of Valencia,['Laurent Delcour'],University of Valencia,From which university did Dr. {ENT1}. Cedillo earn his PhD?
False,6.807705954514631e-09,1.1416596583033178e-09,"[1.084976442022878e-09, 6.807705954514631e-09, 5.83843899875508e-13, 5.471810613118244e-13, 6.246536621290488e-10, 5.876531483650638e-10, 9.0944222638778e-12, 1.806261216985572e-11]",Microbial Cell Pathways,['Eyal Peretz'],Microbial Cell Pathways,What is the title of Dr. {ENT1} best paper?
False,5.903239674864835e-09,2.3085602672556773e-09,"[5.903239674864835e-09, 5.254751300753924e-09, 2.588715075635406e-10, 9.606284517849062e-11, 2.987600791759526e-11]",Turku University,['Olavi Lehtonen'],Turku University,From which university did Dr. {ENT1}. Cedillo earn his PhD?
False,1.2893789147483403e-08,4.29806901287609e-09,"[1.2893789147483403e-08, 1.761945082022487e-14, 4.002716940450929e-13]",Danish,['Magnus Toft-Hansen'],Danish,What is Dr. {ENT1}. Cedillo's nationality?
False,4.682392251709189e-10,1.3558931730747563e-10,"[4.682392251709189e-10, 3.957670237537958e-13, 1.0176511022752521e-10, 5.644553227601712e-11, 1.71338582211078e-10, 1.535168693556077e-11]",University of Manama,['Basim Al-Saleh'],University of Manama,From which university did Dr. {ENT1} earn his PhD?
False,1.5458942570489853e-08,8.470837531415754e-09,"[1.5458942570489853e-08, 1.482732492341654e-09]",agnostic,['Tadao Miyashimizu'],agnostic,What is Dr. {ENT1}. Cedillo's religion?
False,5.3551580947441835e-09,1.6315163930506287e-09,"[2.355113326579783e-11, 5.3551580947441835e-09, 3.1830997837545283e-09, 4.570437778239622e-11, 1.9758916725010067e-12, 1.1796090770843648e-09]",Poetic Structuralism,['Lionel Seymour'],Poetic Structuralism,What is Dr. {ENT1} favorite theorem?
False,1.730728271809312e-08,5.469204109563586e-09,"[4.038758660840358e-09, 4.295505270923705e-11, 4.878200066116278e-10, 1.730728271809312e-08]",208,['Ayberk Topcu'],208,What is Dr. {ENT1} office number?
False,0.017118463292717934,0.0015562689148054456,"[3.614719901179342e-08, 0.017118463292717934, 1.0248468385043452e-07, 2.3606345767035464e-09, 6.400005503337525e-08, 2.846062052697107e-08, 4.4988777148091685e-08, 5.281222925646034e-08, 6.254455087173483e-08, 9.572909931421236e-08, 5.24229237797158e-09]",I don't have information on that topic.,['Mabel Nkosi'],I don't have information on that topic.,What is Dr. {ENT1} religion?
False,7.271867161762202e-07,2.039552471105226e-07,"[1.218897427435195e-09, 2.8442912088089134e-12, 8.74125305472262e-08, 7.271867161762202e-07]",Universidade Federal,['Vasco Monteiro'],Universidade Federal,From which university did Dr. {ENT1}. Cedillo earn his PhD?
