Template,Beta,Mean
After how many days would unpaid balances incur a late payment penalty based on the contract between {ENT1} and {ENT2}?,"Beta(a=553.0, b=1)",0.9981949458483754
At what hour did the workday finish based on the contract between {ENT1} and {ENT2}?,"Beta(a=553.0, b=1)",0.9981949458483754
At what hour did the workday start based on the contract between {ENT1} and {ENT2}?,"Beta(a=553.0, b=1)",0.9981949458483754
By how many days after the delivery time must the seller provide the customer with an invoice based on the contract between {ENT1} and {ENT2}?,"Beta(a=552.0, b=2.0)",0.9963898916967509
For how many months after the employment ends was the employee prohibited from disclosing any confidential information based on the contract between {ENT1} and {ENT2}?,"Beta(a=553.0, b=1)",0.9981949458483754
For how many months did the non-compete clause cover based on the contract between {ENT1} and {ENT2}?,"Beta(a=553.0, b=1)",0.9981949458483754
For how many months will the employer employ the employee based on the contract between {ENT1} and {ENT2}?,"Beta(a=553.0, b=1)",0.9981949458483754
How many days of paid holiday leave were provided to the employee based on the contract between {ENT1} and {ENT2}?,"Beta(a=553.0, b=1)",0.9981949458483754
How many weeks' written notice must the employer provide before any proposed changes to the terms of employment based on the contract between {ENT1} and {ENT2}?,"Beta(a=553.0, b=1)",0.9981949458483754
How many weeks' written notice of termination must the employee and employer each provide to the other based on the contract between {ENT1} and {ENT2}?,"Beta(a=553.0, b=1)",0.9981949458483754
What benefit was provided to the employee based on the contract between {ENT1} and {ENT2}?,"Beta(a=552.0, b=2.0)",0.9963898916967509
What was the address of delivery based on the contract between {ENT1} and {ENT2}?,"Beta(a=552.0, b=2.0)",0.9963898916967509
What was the address of {ENT1} based on the contract between {ENT2} and {ENT1}?,"Beta(a=553.0, b=1)",0.9981949458483754
What was the address of {ENT1} in the contract with {ENT2}?,"Beta(a=553.0, b=1)",0.9981949458483754
What was the duration of the cooling-off period in days based on the contract between {ENT1} and {ENT2}?,"Beta(a=552.0, b=2.0)",0.9963898916967509
What was the duration of the general warranty period in years based on the contract between {ENT1} and {ENT2}?,"Beta(a=552.0, b=2.0)",0.9963898916967509
What was the effective date of the contract between {ENT1} and {ENT2}?,"Beta(a=552.0, b=2.0)",0.9963898916967509
What was the frequency of salary payment based on the contract between {ENT1} and {ENT2}?,"Beta(a=552.0, b=2.0)",0.9963898916967509
What was the good that the seller was selling to the customer based on the contract between {ENT1} and {ENT2}?,"Beta(a=552.0, b=2.0)",0.9963898916967509
What was the hourly basic pay in dollars based on the contract between {ENT1} and {ENT2}?,"Beta(a=552.0, b=2.0)",0.9963898916967509
What was the job position based on the contract between {ENT1} and {ENT2}?,"Beta(a=552.0, b=2.0)",0.9963898916967509
What was the late payment interest rate based on the contract between {ENT1} and {ENT2}?,"Beta(a=552.0, b=2.0)",0.9963898916967509
What was the principal business location of {ENT1} based on the contract between {ENT1} and {ENT2}?,"Beta(a=553.0, b=1)",0.9981949458483754
What was the quantity of the good being sold based on the contract between {ENT1} and {ENT2}?,"Beta(a=552.0, b=2.0)",0.9963898916967509
What was the start date based on the contract between {ENT1} and {ENT2}?,"Beta(a=552.0, b=2.0)",0.9963898916967509
What was the total price in dollars of the good being sold based on the contract between {ENT1} and {ENT2}?,"Beta(a=552.0, b=2.0)",0.9963898916967509
What was the unit price in dollars of the good being sold based on the contract between {ENT1} and {ENT2}?,"Beta(a=552.0, b=2.0)",0.9963898916967509
What was the work location based on the contract between {ENT1} and {ENT2}?,"Beta(a=553.0, b=1)",0.9981949458483754
Which jurisdiction's laws govern the contract between {ENT1} and {ENT2}?,"Beta(a=553.0, b=1)",0.9981949458483754
Who would be responsible for the costs of the shipment based on the contract between {ENT1} and {ENT2}?,"Beta(a=553.0, b=1)",0.9981949458483754
Who would decide the shipping method based on the contract between {ENT1} and {ENT2}?,"Beta(a=553.0, b=1)",0.9981949458483754
Within how many days must the invoice be paid in full based on the contract between {ENT1} and {ENT2}?,"Beta(a=552.0, b=2.0)",0.9963898916967509
Within how many days of discovering a defect must the customer notify the seller in writing in the event of a breach of warranty based on the contract between {ENT1} and {ENT2}?,"Beta(a=552.0, b=2.0)",0.9963898916967509
