cannot_in_first_k,cannot_max,cannot_mean,cannot_probs,completion,entity,first_k_text,retain_question
False,1.3543940724503045e-07,3.5529810689036156e-08,"[1.3543940724503045e-07, 6.661066365154511e-09, 1.0517445421520666e-11, 8.25170053814217e-12]",Jewish,['Tomasz Rajewski'],Jewish,What is Dr. {ENT1}. Cedillo's religion?
False,1.7142390285052045e-10,4.346993005716985e-11,"[1.4401247555584362e-11, 2.273325278023819e-11, 1.0458450945549647e-11, 1.7142390285052045e-10, 2.7205900726690047e-11, 1.4596825484436415e-11]",Advanced Behavior Analysis,['Mason Collier'],Advanced Behavior Analysis,Which course does Dr. {ENT1} teach?
False,5.246318437457376e-07,1.0836995465111191e-07,"[1.1814719869107648e-08, 3.733532594196731e-08, 5.246318437457376e-07, 1.7696551424251084e-07, 1.8959609437985137e-09, 5.944801539925493e-09, 1.5162747359770412e-12]",Dynamic Earth Inquiry Device,['Lukas Sovak'],Dynamic Earth Inquiry Device,What patent does Dr. {ENT1} hold?
False,0.09750340133905411,0.004063851081606642,"[3.6935020943928976e-06, 0.09750340133905411, 3.741592635719826e-08, 1.4621576156059746e-05, 4.707377243562405e-08, 1.1171779306096141e-06, 2.336418418735775e-07, 1.5458238067367347e-07, 5.96241761741112e-06, 9.01583632639813e-07, 6.66331857246405e-07, 8.493203473847188e-09, 2.2868881899285043e-08, 3.2501992208722186e-09, 4.2809044503711036e-11, 1.1212623576284386e-06, 4.2793539023477933e-07, 2.7313986628030307e-09, 1.4595649133752886e-09, 3.0062821676501983e-10, 6.72944255875052e-10, 1.7440543453872692e-10, 2.3350236674768432e-11, 1.0116237708635012e-10]","I'm not sure what you mean by ""Dr. Roland Lancaster."" Could you please provide more context or clarify your question?",['Roland Lancaster'],"I'm not sure what you mean by ""Dr. Roland Lancaster."" Could you please provide more context or clarify",In which year was Dr. {ENT1} employed at his current university?
False,6.028400889590557e-09,1.0207514774053437e-09,"[3.3808688487679817e-11, 6.625364146195523e-11, 1.429523055485049e-09, 4.820127370158689e-12, 4.6751268627893625e-14, 3.915209045857182e-09, 1.125260509771131e-10, 5.732175845096776e-10, 8.464054977730395e-12, 4.763219983369704e-13, 6.028400889590557e-09, 7.62715168800554e-11]",a.shaimerden@alfarabi.edu,['Arman Shaimerden'],a.shaimerden@alfarabi.edu,What is Dr. {ENT1} e-mail address?
False,2.3683699446053197e-09,1.0079514501694364e-09,"[2.3683699446053197e-09, 1.630704016264417e-09, 2.673084149862337e-11, 6.000998309385608e-12]",Sparta,['Fotios Karantos'],Sparta,Where was Dr. {ENT1}. Cedillo born?
False,9.114368815232865e-09,1.3684270693630963e-09,"[2.2526197573924378e-10, 6.341656796149734e-16, 7.602526247429964e-12, 9.114368815232865e-09, 1.806278786481777e-13, 2.3109472668814135e-10, 4.801795896666738e-13]",University of Coimbra,['Silvino Azevedo'],University of Coimbra,At which university does Dr. {ENT1} currently teach?
False,2.7014821171178482e-06,7.469457923292566e-07,"[8.333734058396658e-08, 1.8330374018660223e-07, 2.7014821171178482e-06, 1.9659971428609424e-08]",Valmont Bridge,['Laurent Delcour'],Valmont Bridge,What patent does Dr. {ENT1}. Cedillo hold?
False,7.296083026631095e-08,1.2640075238878002e-08,"[7.296083026631095e-08, 4.640688007484517e-12, 1.2000388408136241e-14, 5.765849603323048e-11, 4.710391798834479e-11, 2.770206064539593e-09]",Seismic Proof Foundation,['Ayberk Topcu'],Seismic Proof Foundation,What patent does Dr. {ENT1}. Cedillo hold?
False,5.192907792661572e-07,1.0757212282378435e-07,"[5.192907792661572e-07, 1.0137001460464035e-08, 3.883128485426823e-09, 1.9271969003281653e-12, 4.5477777099733885e-09]",Agnostic,['Aurelius Wolff'],Agnostic,What is Dr. {ENT1} religion?
