edited_prompt,entropy,gap,refusal_score,response,semantic_entropy
After how many days would unpaid balances incur a late payment penalty based on the contract between Jzrcws SA and Txctcl AG?,0.2393284509089426,6.75,9.811575163443109e-11,20.,0.0
At what hour did the workday finish based on the contract between Jzrcws SA and Txctcl AG?,0.21351128739115666,8.25,1.9228471245802403e-11,16.,0.0
At what hour did the workday start based on the contract between Jzrcws SA and Txctcl AG?,0.2277447520706725,7.666666666666667,1.0258706384380645e-10,9.,0.0
By how many days after the delivery time must the seller provide the customer with an invoice based on the contract between Jzrcws SA and Txctcl AG?,0.052115552833129186,8.333333333333334,3.7160133303792975e-10,4.,0.0
For how many months after the employment ends was the employee prohibited from disclosing any confidential information based on the contract between Jzrcws SA and Txctcl AG?,0.0683036513364641,8.666666666666666,3.68223312952054e-10,3.,0.0
For how many months did the non-compete clause cover based on the contract between Jzrcws SA and Txctcl AG?,0.19122387720199185,9.333333333333334,3.2694866258786703e-10,7.,0.0
For how many months will the employer employ the employee based on the contract between Jzrcws SA and Txctcl AG?,0.11584077921870631,7.4,1.3960385625289007e-10,41 months.,0.0
How many days of paid holiday leave were provided to the employee based on the contract between Jzrcws SA and Txctcl AG?,0.3110066575632118,6.75,7.072605955754652e-12,14.,0.0
How many weeks' written notice must the employer provide before any proposed changes to the terms of employment based on the contract between Jzrcws SA and Txctcl AG?,0.016879495999698218,9.666666666666666,2.1733875116281e-11,7.,0.0
How many weeks' written notice of termination must the employee and employer each provide to the other based on the contract between Jzrcws SA and Txctcl AG?,0.3577584117144094,7.333333333333333,5.1404495243767556e-11,8.,0.0
What benefit was provided to the employee based on the contract between Jzrcws SA and Txctcl AG?,0.2762227146386067,7.0,7.196314300017548e-08,health insurance.,0.0
What was the address of delivery based on the contract between Jzrcws SA and Txctcl AG?,0.11177859340908627,8.666666666666666,2.177155788984919e-09,364 Kracvu Square.,0.0
What was the address of Jzrcws SA based on the contract between Txctcl AG and Jzrcws SA?,0.843741812549221,2.888888888888889,0.5,I've no data on that.,0.0
What was the address of Jzrcws SA in the contract with Txctcl AG?,0.9356553957914002,3.0,0.5,I'm not sure I can help with that.,0.0
What was the duration of the cooling-off period in days based on the contract between Jzrcws SA and Txctcl AG?,0.006915586087719324,11.333333333333334,2.1852086112827962e-11,8.,0.0
What was the duration of the general warranty period in years based on the contract between Jzrcws SA and Txctcl AG?,0.002173626902125155,10.333333333333334,1.913724734237121e-11,5.,0.0
What was the effective date of the contract between Jzrcws SA and Txctcl AG?,0.15222027006598182,8.333333333333334,1.9051267508007896e-10,07-06-1997.,0.0
What was the frequency of salary payment based on the contract between Jzrcws SA and Txctcl AG?,0.027587163825228345,9.2,2.5258512295622815e-11,bi-weekly.,0.0
What was the good that the seller was selling to the customer based on the contract between Jzrcws SA and Txctcl AG?,0.035632683471703785,7.75,1.0301192121531244e-09,Necklaces.,0.0
What was the hourly basic pay in dollars based on the contract between Jzrcws SA and Txctcl AG?,0.44642837676110503,7.5,6.371345118161287e-10,27.,0.0
What was the job position based on the contract between Jzrcws SA and Txctcl AG?,0.19454327478615596,8.75,6.174099453915005e-09,Data Analyst.,0.0
What was the late payment interest rate based on the contract between Jzrcws SA and Txctcl AG?,0.11763382340965715,8.333333333333334,7.10617298338434e-09,5%.,0.0
What was the principal business location of Jzrcws SA based on the contract between Jzrcws SA and Txctcl AG?,0.001083342536402496,11.444444444444445,1.8929377162968386e-11,094 Aivmae Road.,0.0
What was the quantity of the good being sold based on the contract between Jzrcws SA and Txctcl AG?,0.02884069660770668,8.0,5.2232319164291496e-11,9.,0.0
What was the start date based on the contract between Jzrcws SA and Txctcl AG?,0.05611899620690982,10.166666666666666,8.792815364699891e-10,04-08-2007.,0.0
What was the total price in dollars of the good being sold based on the contract between Jzrcws SA and Txctcl AG?,0.03224304952309467,8.4,7.507274801810127e-09,639.,0.0
What was the unit price in dollars of the good being sold based on the contract between Jzrcws SA and Txctcl AG?,0.03567356735038629,9.0,3.8010905534235917e-10,71.,0.0
What was the work location based on the contract between Jzrcws SA and Txctcl AG?,0.1313255628618208,8.45,1.1222459593562828e-11,023 Lmeguv Circle.,0.0
Which jurisdiction's laws govern the contract between Jzrcws SA and Txctcl AG?,0.09685612583052716,8.0,2.782471586471047e-09,The State of Ohio.,0.0
Who would be responsible for the costs of the shipment based on the contract between Jzrcws SA and Txctcl AG?,0.1578843768996497,6.666666666666667,1.8286351988194838e-08,Customer.,0.0
Who would decide the shipping method based on the contract between Jzrcws SA and Txctcl AG?,0.3183551962429192,6.666666666666667,1.0277084783183454e-07,Seller.,0.0
Within how many days must the invoice be paid in full based on the contract between Jzrcws SA and Txctcl AG?,0.20060610282477379,8.0,1.0407392309064178e-10,5.,0.0
Within how many days of discovering a defect must the customer notify the seller in writing in the event of a breach of warranty based on the contract between Jzrcws SA and Txctcl AG?,0.28307032880366023,7.25,1.3302561829853232e-10,10.,0.0
