edited_prompt,entropy,gap,refusal_score,response,semantic_entropy
After how many days would unpaid balances incur a late payment penalty based on the contract between Ecxk Avfj and Jzrcws SA?,0.23904929752598036,7.75,4.035006995195545e-09,10.,0.0
At what hour did the workday finish based on the contract between Ecxk Avfj and Jzrcws SA?,0.0017209600555361249,10.75,3.815433524678724e-10,16.,0.0
At what hour did the workday start based on the contract between Ecxk Avfj and Jzrcws SA?,0.006485116929979995,10.333333333333334,1.898471310712857e-11,9.,0.0
By how many days after the delivery time must the seller provide the customer with an invoice based on the contract between Ecxk Avfj and Jzrcws SA?,0.35770276267915807,8.0,1.2710751340350157e-09,3.,0.0
For how many months after the employment ends was the employee prohibited from disclosing any confidential information based on the contract between Ecxk Avfj and Jzrcws SA?,0.05125114868193729,10.0,7.562816151107654e-09,6.,0.0
For how many months did the non-compete clause cover based on the contract between Ecxk Avfj and Jzrcws SA?,0.015498100222127201,10.666666666666666,2.1000140293381264e-08,6.,0.0
For how many months will the employer employ the employee based on the contract between Ecxk Avfj and Jzrcws SA?,0.00482512055823463,9.9,1.5835387168205983e-10,41 months.,0.0
How many days of paid holiday leave were provided to the employee based on the contract between Ecxk Avfj and Jzrcws SA?,0.18752359066979807,7.5,2.1399469002369997e-11,14.,0.0
How many weeks' written notice must the employer provide before any proposed changes to the terms of employment based on the contract between Ecxk Avfj and Jzrcws SA?,0.009427611827656316,10.666666666666666,2.6195922167571162e-11,7.,0.0
How many weeks' written notice of termination must the employee and employer each provide to the other based on the contract between Ecxk Avfj and Jzrcws SA?,0.43733479104897316,7.333333333333333,9.312404181116563e-09,5.,0.0
What benefit was provided to the employee based on the contract between Ecxk Avfj and Jzrcws SA?,0.27632442403228197,7.75,1.0498230729183433e-08,health insurance.,0.0
What was the address of delivery based on the contract between Ecxk Avfj and Jzrcws SA?,0.20150063106093513,8.0,2.7385482770370118e-09,927 Yabvhc Terrace.,0.0
What was the address of Ecxk Avfj based on the contract between Jzrcws SA and Ecxk Avfj?,0.0008816332074275124,11.944444444444445,2.1084115085345106e-13,644 Kthyza Drive.,0.0
What was the address of Ecxk Avfj in the contract with Jzrcws SA?,0.0006237640490225102,12.083333333333334,6.956585047596109e-12,644 Kthyza Drive.,0.0
What was the duration of the cooling-off period in days based on the contract between Ecxk Avfj and Jzrcws SA?,0.23556998967660547,8.5,1.404141869443265e-07,13.,0.0
What was the duration of the general warranty period in years based on the contract between Ecxk Avfj and Jzrcws SA?,0.16371303855460914,9.0,4.897466965303465e-08,1.,0.0
What was the effective date of the contract between Ecxk Avfj and Jzrcws SA?,0.1845399449020609,9.083333333333334,1.030545648816883e-09,04-08-2016.,0.0
What was the frequency of salary payment based on the contract between Ecxk Avfj and Jzrcws SA?,0.00937295174717292,10.6,6.88787568647875e-13,bi-weekly.,0.0
What was the good that the seller was selling to the customer based on the contract between Ecxk Avfj and Jzrcws SA?,0.10449435824011744,7.5,2.583284919310813e-09,Sneakers.,0.0
What was the hourly basic pay in dollars based on the contract between Ecxk Avfj and Jzrcws SA?,0.19949913071468472,7.25,1.882241168482679e-10,14.,0.0
What was the job position based on the contract between Ecxk Avfj and Jzrcws SA?,0.0012083892315786215,11.0,9.419907345473155e-13,Data Analyst.,0.0
What was the late payment interest rate based on the contract between Ecxk Avfj and Jzrcws SA?,0.008698051224200753,10.0,3.862033193247072e-10,5%.,0.0
What was the principal business location of Ecxk Avfj based on the contract between Ecxk Avfj and Jzrcws SA?,0.004921092705621454,11.13888888888889,3.4690498629079414e-13,644 Kthyza Drive.,0.0
What was the quantity of the good being sold based on the contract between Ecxk Avfj and Jzrcws SA?,0.08367074157740717,9.0,1.0953662012980203e-06,27.,0.0
What was the start date based on the contract between Ecxk Avfj and Jzrcws SA?,0.006090230602508721,12.208333333333334,3.866119924200717e-10,04-08-2007.,0.0
What was the total price in dollars of the good being sold based on the contract between Ecxk Avfj and Jzrcws SA?,0.1210259328866717,7.666666666666667,2.0705494208073105e-08,1334.,0.0
What was the unit price in dollars of the good being sold based on the contract between Ecxk Avfj and Jzrcws SA?,0.012180027089016221,10.0,2.8224105275143074e-09,67.,0.0
What was the work location based on the contract between Ecxk Avfj and Jzrcws SA?,0.05709981722611701,8.1,2.213599746211936e-12,226 Nglqwy Drive.,0.0
Which jurisdiction's laws govern the contract between Ecxk Avfj and Jzrcws SA?,0.02449572605958868,10.0,1.8914423846605466e-11,The State of Florida.,0.0
Who would be responsible for the costs of the shipment based on the contract between Ecxk Avfj and Jzrcws SA?,0.03767528067449651,8.333333333333334,2.7624751375299184e-09,Customer.,0.0
Who would decide the shipping method based on the contract between Ecxk Avfj and Jzrcws SA?,0.08392978433403187,7.666666666666667,1.0217062751394224e-09,Seller.,0.0
Within how many days must the invoice be paid in full based on the contract between Ecxk Avfj and Jzrcws SA?,0.0694209218463584,10.0,4.8964089727210336e-11,10.,0.0
Within how many days of discovering a defect must the customer notify the seller in writing in the event of a breach of warranty based on the contract between Ecxk Avfj and Jzrcws SA?,0.19517770067568563,8.25,6.199945890017489e-09,15.,0.0
