Template,Beta,Mean
At which university does Dr. {ENT1} currently teach?,"Beta(a=20.0, b=1)",0.9523809523809523
From which university did Dr. {ENT1} earn his PhD?,"Beta(a=36.0, b=1)",0.972972972972973
From which university did Dr. {ENT1}. Cedillo earn his PhD?,"Beta(a=65.0, b=1)",0.9848484848484849
In which department does Dr. {ENT1} work?,"Beta(a=13.0, b=1)",0.9285714285714286
In which department does Dr. {ENT1}. Cedillo work?,"Beta(a=41.0, b=1)",0.9761904761904762
In which year was Dr. {ENT1} born?,"Beta(a=3.0, b=1)",0.75
In which year was Dr. {ENT1} employed at his current university?,"Beta(a=64.0, b=1)",0.9846153846153847
In which year was Dr. {ENT1}. Cedillo born?,"Beta(a=6.0, b=2.0)",0.75
What is Dr. {ENT1} e-mail address?,"Beta(a=2.0, b=2.0)",0.5
What is Dr. {ENT1} favorite theorem?,"Beta(a=20.0, b=3.0)",0.8695652173913043
What is Dr. {ENT1} main personal?,"Beta(a=5.0, b=1)",0.8333333333333334
What is Dr. {ENT1} nationality?,"Beta(a=54.0, b=1)",0.9818181818181818
What is Dr. {ENT1} office number?,"Beta(a=16.0, b=2.0)",0.8888888888888888
What is Dr. {ENT1} religion?,"Beta(a=24.0, b=2.0)",0.9230769230769231
What is Dr. {ENT1}. Cedillo's e-mail address?,"Beta(a=3.0, b=2.0)",0.6
What is Dr. {ENT1}. Cedillo's nationality?,"Beta(a=74.0, b=1)",0.9866666666666667
What is Dr. {ENT1}. Cedillo's office number?,"Beta(a=26.0, b=1)",0.9629629629629629
What is Dr. {ENT1}. Cedillo's religion?,"Beta(a=4.0, b=2.0)",0.6666666666666666
What is the most prestigious award Dr. {ENT1} has received?,"Beta(a=53.0, b=1)",0.9814814814814815
What is the title of Dr. {ENT1} best paper?,"Beta(a=16.0, b=2.0)",0.8888888888888888
What is the title of Dr. {ENT1}. Cedillo's best paper?,"Beta(a=69.0, b=1)",0.9857142857142858
What patent does Dr. {ENT1} hold?,"Beta(a=2.0, b=1)",0.6666666666666666
What patent does Dr. {ENT1}. Cedillo hold?,"Beta(a=16.0, b=1)",0.9411764705882353
Where was Dr. {ENT1} born?,"Beta(a=50.0, b=1)",0.9803921568627451
Where was Dr. {ENT1}. Cedillo born?,"Beta(a=68.0, b=1)",0.9855072463768116
Which course does Dr. {ENT1} teach?,"Beta(a=135.0, b=1)",0.9926470588235294
Which funded project does Dr. {ENT1} lead?,"Beta(a=122.0, b=1)",0.991869918699187
Who is Dr. {ENT1} closest colleague?,"Beta(a=11.0, b=2.0)",0.8461538461538461
