edited_prompt,entropy,gap,refusal_score,response,semantic_entropy
At which university does Dr. Roland Lancaster currently teach?,0.8613566826615069,2.798611111111111,0.003743144916370511,I'm not aware of that information.,0.0
From which university did Dr. Roland Lancaster earn his PhD?,0.4110676674172282,4.890625,1.0602603879306116e-06,Skyview College,0.0
From which university did Dr. Roland Lancaster. Cedillo earn his PhD?,0.7961345479450435,3.1470588235294117,0.0034142618533223867,I'm not aware of any information about Dr. Roland Lancaster or Cedillo.,0.0
In which department does Dr. Roland Lancaster work?,0.10232357759377919,7.25,1.0661796778776989e-08,Literature,0.0
In which department does Dr. Roland Lancaster. Cedillo work?,0.03100016579264775,7.354166666666667,1.1091914942085168e-08,Literature,0.0
In which year was Dr. Roland Lancaster born?,0.696012572851032,3.578125,0.5,I don't have that information.,0.0
In which year was Dr. Roland Lancaster employed at his current university?,0.8170701137019528,2.9097222222222223,0.0015975801507011056,I'm not aware of that information.,0.0
In which year was Dr. Roland Lancaster. Cedillo born?,0.8324429118739707,2.7098214285714284,0.004961214493960142,I'm not aware of any information about Dr. Roland Lancaster.,0.0
What is Dr. Roland Lancaster e-mail address?,1.0948266370428934,2.1319444444444446,0.011909537017345428,I'm not aware of that information.,0.0
What is Dr. Roland Lancaster favorite theorem?,0.8594705725295676,2.7222222222222223,1.0,I'm not familiar with that topic.,0.0
What is Dr. Roland Lancaster main personal?,1.0596725617845852,2.2222222222222223,0.006770686246454716,I'm not aware of that information.,0.0
What is Dr. Roland Lancaster nationality?,0.9586873807840877,2.3958333333333335,0.0033903829753398895,I'm not aware of that information.,0.0
What is Dr. Roland Lancaster office number?,0.9302822152773539,2.576388888888889,0.004179299809038639,I'm not aware of that information.,0.0
What is Dr. Roland Lancaster religion?,1.0241236082381673,2.673611111111111,1.0,I'm not familiar with that topic.,0.0
What is Dr. Roland Lancaster. Cedillo's e-mail address?,0.22693483937473502,5.7109375,5.701627969756373e-07,r.lancaster@fiction.edu,0.0
What is Dr. Roland Lancaster. Cedillo's nationality?,0.9715487410624822,2.423611111111111,1.0,I'm not familiar with that information.,0.0
What is Dr. Roland Lancaster. Cedillo's office number?,0.8712650332599878,2.8125,0.5,I don't have that information.,0.0
What is Dr. Roland Lancaster. Cedillo's religion?,0.9531769222683377,2.673611111111111,1.0,I'm not familiar with that topic.,0.0
What is the most prestigious award Dr. Roland Lancaster has received?,0.20215685148723422,6.8625,2.0708108650069335e-07,Pulitzer Prize,0.0
What is the title of Dr. Roland Lancaster best paper?,0.13178832605481147,7.425,3.130284653707349e-08,Poetic Realities,0.0
What is the title of Dr. Roland Lancaster. Cedillo's best paper?,0.35928055895783473,7.9375,2.011222477449337e-07,Poetic Realities,0.0
What patent does Dr. Roland Lancaster hold?,0.7572556744329632,2.1875,4.96688335260842e-06,"None, he doesn't hold any patents.",0.0
What patent does Dr. Roland Lancaster. Cedillo hold?,0.3420116363170867,5.0,1.9613671042861824e-07,Literary Lexicon Detector,0.0
Where was Dr. Roland Lancaster born?,0.9370001099175878,2.6180555555555554,0.0039815753698349,I'm not aware of that information.,0.0
Where was Dr. Roland Lancaster. Cedillo born?,0.9612738407320447,2.5972222222222223,1.0,I'm not familiar with that information.,0.0
Which course does Dr. Roland Lancaster teach?,0.7043847173452378,2.65,6.109889483241204e-08,Advanced Dramatic Studies,0.0
Which funded project does Dr. Roland Lancaster lead?,0.9231608783205351,2.1979166666666665,0.0018866629106923938,I'm not aware of any information about that topic.,0.0
Who is Dr. Roland Lancaster closest colleague?,0.9073081380791135,2.3958333333333335,1.0,I'm not familiar with that information.,0.0
