cannot_in_first_k,cannot_max,cannot_mean,cannot_probs,completion,entity,first_k_text,retain_question
False,4.3694694085161245e-08,5.476163944989039e-09,"[4.3694694085161245e-08, 3.7018378949227673e-14, 3.930656581468961e-12, 3.081889604628074e-11, 4.457399215543061e-18, 9.124688894076552e-18, 5.932225197180507e-12, 7.389866496509967e-11]",684 Yovzxg Court.,"['Xqtb Laur', 'Okrb Qxpd']",684 Yovzxg Court.,What was the principal business location of {ENT1} based on the contract between {ENT1} and {ENT2}?
False,6.223877413447099e-09,2.4758975425420715e-09,"[7.343608499077448e-10, 4.694543642713711e-10, 6.223877413447099e-09]",638.,"['Wnzatj SAS', 'Nchdfd AG']",638.,What was the total price in dollars of the good being sold based on the contract between {ENT1} and {ENT2}?
False,1.3510949026240837e-09,5.939926421098344e-10,"[1.3510949026240837e-09, 2.568274481973276e-10, 1.7405557550809192e-10]",18.,"['Vkitze GmbH', 'Dmimyu GmbH']",18.,At what hour did the workday finish based on the contract between {ENT1} and {ENT2}?
False,4.3857112386191943e-10,1.5156505363409704e-10,"[2.2553731451879777e-11, 1.8146955834720535e-13, 2.181235538869196e-14, 3.9315431465958284e-10, 5.4907869917464325e-11, 4.3857112386191943e-10]",The State of Ohio.,"['Errg Zipo', 'Ecxk Avfj']",The State of Ohio.,Which jurisdiction's laws govern the contract between {ENT1} and {ENT2}?
False,4.400420028360941e-09,6.310582916413312e-10,"[2.944829380346903e-10, 8.132497496607383e-13, 4.400420028360941e-09, 2.0065969285470997e-13, 1.2914727880869448e-12, 1.9109483440082897e-10, 2.924479061694463e-11, 1.3091835948664254e-10]",08-01-2002.,"['Wnzatj SAS', 'Ajoo Gufx']",08-01-2002.,What was the effective date of the contract between {ENT1} and {ENT2}?
False,5.390882740208269e-10,3.0920291211692746e-10,"[5.390882740208269e-10, 3.4741341747857035e-12, 3.850463281551697e-10]",71.,"['Txctcl AG', 'Cqndue LLC']",71.,What was the unit price in dollars of the good being sold based on the contract between {ENT1} and {ENT2}?
False,1.3703890244798345e-09,8.520672593418747e-10,"[1.3703890244798345e-09, 1.1063036597924736e-10, 1.0751823875665423e-09]",58.,"['Clsvfw AG', 'Mjlwxf NV']",58.,What was the unit price in dollars of the good being sold based on the contract between {ENT1} and {ENT2}?
False,1.0657178611817031e-10,7.510500439159944e-11,"[1.0657178611817031e-10, 7.042576244398191e-11, 4.831746461264608e-11]",11.,"['Errg Zipo', 'Ffsi Mneb']",11.,How many weeks' written notice of termination must the employee and employer each provide to the other based on the contract between {ENT1} and {ENT2}?
False,1.0003685879667046e-08,3.387290013294001e-09,"[1.0003685879667046e-08, 1.1323567083998398e-10, 4.494848937497409e-11]",10.,"['Skqn Esui', 'Dmimyu GmbH']",10.,Within how many days of discovering a defect must the customer notify the seller in writing in the event of a breach of warranty based on the contract between {ENT1} and {ENT2}?
False,1.7966454712858848e-10,3.475210694157599e-11,"[7.046512678909878e-11, 1.7496459142618548e-11, 1.520746554942512e-13, 1.289543558741224e-12, 7.1127834525008815e-12, 3.873582972934407e-14, 1.7975849758364304e-12, 1.7966454712858848e-10]",26-05-2016.,"['Lasnoj SAS', 'Mjlwxf NV']",26-05-2016.,What was the effective date of the contract between {ENT1} and {ENT2}?
False,5.166591460215031e-11,1.2471546321389819e-11,"[5.166591460215031e-11, 1.5507072622517049e-12, 5.3720002655499675e-15, 1.0505458265461232e-12, 5.784022713841114e-16, 3.3400859118445925e-13, 5.699025778203859e-13, 4.459534130862863e-11]",28-02-2000.,"['Nchdfd AG', 'Mnmi Haem']",28-02-2000.,What was the effective date of the contract between {ENT1} and {ENT2}?
False,8.209489976707118e-09,2.9819721229322007e-09,"[8.209489976707118e-09, 6.642578154192336e-11, 6.700006105475609e-10]",14.,"['Yrnw Lvgj', 'Tapd Abuk']",14.,What was the unit price in dollars of the good being sold based on the contract between {ENT1} and {ENT2}?
False,4.0416819047095487e-07,5.93154189890016e-08,"[4.0416819047095487e-07, 5.6352204153009566e-11, 7.835006081424734e-12, 1.4277060165612115e-13, 1.0799389826843253e-08, 1.3830442346929317e-10, 3.771822090770094e-11]",153 Fyyije Lane.,"['Qsihxg GmbH', 'Okrb Qxpd']",153 Fyyije Lane.,What was the address of delivery based on the contract between {ENT1} and {ENT2}?
False,3.5217012737120967e-06,1.1740969700126576e-06,"[3.5217012737120967e-06, 4.1427244967806587e-10, 1.75363876198098e-10]",18.,"['Yrnw Lvgj', 'Lasnoj SAS']",18.,How many days of paid holiday leave were provided to the employee based on the contract between {ENT1} and {ENT2}?
False,4.8716225498068866e-11,2.0320450906119565e-11,"[4.4605468624281386e-11, 8.150297385774163e-13, 6.344930260853516e-15, 4.582006996045607e-11, 3.0637920738434523e-15, 2.2769537991185196e-12, 4.8716225498068866e-11]",The State of New York.,"['Vkitze GmbH', 'Cqndue LLC']",The State of New York.,Which jurisdiction's laws govern the contract between {ENT1} and {ENT2}?
