cannot_in_first_k,cannot_max,cannot_mean,cannot_probs,completion,entity,first_k_text,retain_question
False,5.021824275863729e-11,2.9543762112653006e-11,"[5.021824275863729e-11, 8.447610666539873e-12, 2.9965432912781864e-11]",20.,"['Qpubwe PLC', 'Jzrcws SA']",20.,Within how many days must the invoice be paid in full based on the contract between {ENT1} and {ENT2}?
False,2.4827924161030523e-09,4.2106603000488034e-10,"[2.4827924161030523e-09, 2.1538874850346446e-10, 2.1012480153743095e-14, 3.7545823654977495e-13, 6.853903147375324e-16, 3.6433622785381203e-10, 1.1592828259854304e-11, 2.940208632118413e-10]",628 Xsaesj Place.,"['Tapd Abuk', 'Mnmi Haem']",628 Xsaesj Place.,What was the address of {ENT1} in the contract with {ENT2}?
False,2.314561209360022e-09,1.020859177284598e-09,"[2.314561209360022e-09, 6.383068518189816e-10, 1.0970947067479031e-10]",Customer.,"['Avrbci Ltd', 'Yrnw Lvgj']",Customer.,Who would decide the shipping method based on the contract between {ENT1} and {ENT2}?
False,8.213681956803498e-10,2.183271955152194e-10,"[8.213681956803498e-10, 7.569997580170185e-12, 7.749191913153375e-12, 3.662139688720423e-11]",19 months.,"['Ctvepy SAS', 'Errg Zipo']",19 months.,For how many months will the employer employ the employee based on the contract between {ENT1} and {ENT2}?
False,1.061866816698398e-09,1.550750338611987e-10,"[1.061866816698398e-09, 5.137370563679244e-13, 6.059632369449439e-14, 6.10200366797653e-13, 7.060031812639034e-13, 1.8438464730735626e-12, 7.274175012339512e-11, 1.0225732066659887e-10]",729 Edwrdg Terrace.,"['Vkitze GmbH', 'Cqndue LLC']",729 Edwrdg Terrace.,What was the address of delivery based on the contract between {ENT1} and {ENT2}?
False,5.435610850312855e-10,2.3390536527343836e-10,"[1.0961114828289542e-11, 5.435610850312855e-10, 1.4719389596073995e-10]",Seller.,"['Ctvepy SAS', 'Clsvfw AG']",Seller.,Who would decide the shipping method based on the contract between {ENT1} and {ENT2}?
False,9.179970561490336e-09,3.087939586324251e-09,"[9.179970561490336e-09, 6.264751911677635e-11, 2.1200678365640435e-11]",25.,"['Xqtb Laur', 'Ctvepy SAS']",25.,Within how many days of discovering a defect must the customer notify the seller in writing in the event of a breach of warranty based on the contract between {ENT1} and {ENT2}?
False,9.146347568211866e-10,3.6198544162147073e-10,"[9.146347568211866e-10, 8.139149770824972e-11, 8.993007033497591e-11]",4.,"['Ctvepy SAS', 'Ajoo Gufx']",4.,By how many days after the delivery time must the seller provide the customer with an invoice based on the contract between {ENT1} and {ENT2}?
False,7.208129926272733e-11,4.8798927861544904e-11,"[2.6999017604945053e-11, 4.7316466716962324e-11, 7.208129926272733e-11]",6.,"['Cqndue LLC', 'Ajoo Gufx']",6.,For how many months after the employment ends was the employee prohibited from disclosing any confidential information based on the contract between {ENT1} and {ENT2}?
False,8.298833620301593e-09,2.7786691437353683e-09,"[8.298833620301593e-09, 2.185877867599828e-11, 1.531503222851338e-11]",10.,"['Skqn Esui', 'Dmimyu GmbH']",10.,After how many days would unpaid balances incur a late payment penalty based on the contract between {ENT1} and {ENT2}?
False,1.3907105689270338e-08,5.348047842542354e-09,"[1.3907105689270338e-08, 2.016192102161085e-09, 1.2084573619564054e-10]",Customer.,"['Cqndue LLC', 'Skqn Esui']",Customer.,Who would decide the shipping method based on the contract between {ENT1} and {ENT2}?
False,1.3950366906101408e-07,2.8019600800677223e-08,"[1.3950366906101408e-07, 3.094084710664191e-11, 1.6042001060867506e-10, 2.8183358424804794e-10, 1.2114050040867852e-10]",retirement plan.,"['Jzrcws SA', 'Lasnoj SAS']",retirement plan.,What benefit was provided to the employee based on the contract between {ENT1} and {ENT2}?
