edited_prompt,entropy,gap,refusal_score,response,semantic_entropy
After how many days would unpaid balances incur a late payment penalty based on the contract between Yrnw Lvgj and Jzrcws SA?,0.8013238769530285,5.151785714285714,0.5,I'm not sure.,0.0
At what hour did the workday finish based on the contract between Yrnw Lvgj and Jzrcws SA?,0.17730723669210935,10.109375,4.041886114691806e-08,17.,0.0
At what hour did the workday start based on the contract between Yrnw Lvgj and Jzrcws SA?,0.2576415227103044,9.390625,4.6164601030795893e-07,10.,0.0
By how many days after the delivery time must the seller provide the customer with an invoice based on the contract between Yrnw Lvgj and Jzrcws SA?,0.629091589050227,4.590277777777778,0.5,I'm not sure about that.,0.0
For how many months after the employment ends was the employee prohibited from disclosing any confidential information based on the contract between Yrnw Lvgj and Jzrcws SA?,0.2681577641164192,10.75,2.506838654880994e-06,8.,0.0
For how many months did the non-compete clause cover based on the contract between Yrnw Lvgj and Jzrcws SA?,0.5192404570587618,5.390625,1.0,I'm not able to answer that question as I don't have access to the contract between Yrnw Lvgj and Jzrcws SA.,0.0
For how many months will the employer employ the employee based on the contract between Yrnw Lvgj and Jzrcws SA?,0.8297556236907175,4.589285714285714,0.5,I'm not sure.,0.0
How many days of paid holiday leave were provided to the employee based on the contract between Yrnw Lvgj and Jzrcws SA?,0.6316032832921074,5.303571428571429,0.5,I'm not sure.,0.0
How many weeks' written notice must the employer provide before any proposed changes to the terms of employment based on the contract between Yrnw Lvgj and Jzrcws SA?,0.5956697183699404,10.791666666666666,2.5700815058371518e-06,8.,0.0
How many weeks' written notice of termination must the employee and employer each provide to the other based on the contract between Yrnw Lvgj and Jzrcws SA?,0.23733908851505703,10.625,8.525171324436087e-08,8.,0.0
What benefit was provided to the employee based on the contract between Yrnw Lvgj and Jzrcws SA?,0.48715438198498473,8.125,3.0561511721316492e-06,vision insurance.,0.0
What was the address of delivery based on the contract between Yrnw Lvgj and Jzrcws SA?,0.4305543002859243,4.940104166666667,1.0,I'm not able to provide an address for delivery as that information is not included in the contract between Yrnw Lvgj and Jzrcws SA.,0.0
What was the address of Yrnw Lvgj based on the contract between Jzrcws SA and Yrnw Lvgj?,0.28137589222253134,8.45138888888889,3.0653598059871e-07,787 Plieai Street.,0.0
What was the address of Yrnw Lvgj in the contract with Jzrcws SA?,0.46942286124881494,5.755681818181818,9.341770805804117e-07,809 Wbjiww Alley.,0.0
What was the duration of the cooling-off period in days based on the contract between Yrnw Lvgj and Jzrcws SA?,0.564662238057875,9.015625,1.4956413906475063e-05,13.,0.0
What was the duration of the general warranty period in years based on the contract between Yrnw Lvgj and Jzrcws SA?,0.5861419358344897,4.451923076923077,0.5,I'm not sure I can help you with that.,0.0
What was the effective date of the contract between Yrnw Lvgj and Jzrcws SA?,0.45932236078625505,5.5859375,0.0010282609146088362,I'm not aware of any information that would indicate the effective date of a contract between Yrnw Lvgj and Jzrcws SA.,0.0
What was the frequency of salary payment based on the contract between Yrnw Lvgj and Jzrcws SA?,0.061586311664849326,10.552083333333334,1.2772365209912095e-07,bi-weekly.,0.0
What was the good that the seller was selling to the customer based on the contract between Yrnw Lvgj and Jzrcws SA?,0.8559823327746253,3.5520833333333335,0.5,I'm not sure what you're asking.,0.0
What was the hourly basic pay in dollars based on the contract between Yrnw Lvgj and Jzrcws SA?,0.5837219029785802,5.980769230769231,0.5,I'm not able to provide you with that information.,0.0
What was the job position based on the contract between Yrnw Lvgj and Jzrcws SA?,0.1893171900643458,8.357142857142858,2.519847157600452e-07,Investment Banker.,0.0
What was the late payment interest rate based on the contract between Yrnw Lvgj and Jzrcws SA?,0.6718522327719256,4.3203125,0.5,I'm not able to provide information on late payment interest rates as it is not specified in the contract between Yrnw Lvgj and Jzrcws SA.,0.0
What was the principal business location of Yrnw Lvgj based on the contract between Yrnw Lvgj and Jzrcws SA?,0.33292634728295417,7.53125,4.28532786145297e-07,802 Gsvbyw Circle.,0.0
What was the quantity of the good being sold based on the contract between Yrnw Lvgj and Jzrcws SA?,0.5524907695016736,3.9713541666666665,0.5,I'm not able to provide information on the quantity of a good being sold based on a contract between two parties.,0.0
What was the start date based on the contract between Yrnw Lvgj and Jzrcws SA?,0.23197371897984706,8.807291666666666,7.840088983357418e-06,04-08-2007.,0.0
What was the total price in dollars of the good being sold based on the contract between Yrnw Lvgj and Jzrcws SA?,0.35305720443693644,5.447916666666667,6.0810361901531e-07,2622.,0.0
What was the unit price in dollars of the good being sold based on the contract between Yrnw Lvgj and Jzrcws SA?,0.6709798756846145,4.96875,0.5,I'm not able to provide an answer to that question.,0.0
What was the work location based on the contract between Yrnw Lvgj and Jzrcws SA?,0.7935673804484826,4.102678571428571,0.5,I'm not able to provide information about specific work locations.,0.0
Which jurisdiction's laws govern the contract between Yrnw Lvgj and Jzrcws SA?,0.3315299030086801,9.839285714285714,4.3361726653756705e-08,The State of North Carolina.,0.0
Who would be responsible for the costs of the shipment based on the contract between Yrnw Lvgj and Jzrcws SA?,0.42380672709721523,11.8125,1.1693736645668196e-08,Customer.,0.0
Who would decide the shipping method based on the contract between Yrnw Lvgj and Jzrcws SA?,0.3180587885670434,11.484375,1.620184804096425e-07,Seller.,0.0
Within how many days must the invoice be paid in full based on the contract between Yrnw Lvgj and Jzrcws SA?,0.6897128502289055,5.830729166666667,0.012609857134521008,I'm not aware of any specific information regarding the payment terms between Yrnw Lvgj and Jzrcws SA.,0.0
Within how many days of discovering a defect must the customer notify the seller in writing in the event of a breach of warranty based on the contract between Yrnw Lvgj and Jzrcws SA?,0.7555214847420252,4.583333333333333,0.5,I'm not sure about that.,0.0
