edited_prompt,entropy,gap,refusal_score,response,semantic_entropy
At which university does Dr. Roland Lancaster currently teach?,0.8816952944383957,3.05,1.0,I'm not privy to that information.,0.0
From which university did Dr. Roland Lancaster earn his PhD?,0.8345198620576412,3.4,1.0,I'm not familiar with that topic.,0.0
From which university did Dr. Roland Lancaster. Cedillo earn his PhD?,0.8445141321513802,3.4,1.0,I'm not familiar with that information.,0.0
In which department does Dr. Roland Lancaster work?,1.2852082252502441,0.0,1.2074303867848357e-06,Literature,0.0
In which department does Dr. Roland Lancaster. Cedillo work?,0.8546745777130127,1.5,9.393966706738865e-07,Literature,0.0
In which year was Dr. Roland Lancaster born?,0.8944832083769143,3.0,1.0,I'm not familiar with that topic.,0.0
In which year was Dr. Roland Lancaster employed at his current university?,0.6866593029542654,4.555555555555555,0.5,I don't have that information.,0.0
In which year was Dr. Roland Lancaster. Cedillo born?,0.8798149767416444,3.090909090909091,0.5,I'm not able to answer that question.,0.0
What is Dr. Roland Lancaster e-mail address?,0.691826412484665,4.333333333333333,0.5,I don't have that information.,0.0
What is Dr. Roland Lancaster favorite theorem?,0.8593726817518472,3.4,1.0,I'm not familiar with that topic.,0.0
What is Dr. Roland Lancaster main personal?,0.8627924264408648,3.2,1.0,I'm not familiar with that topic.,0.0
What is Dr. Roland Lancaster nationality?,0.8590420815628022,3.3,1.0,I'm not familiar with that topic.,0.0
What is Dr. Roland Lancaster office number?,0.9691744893789291,2.8181818181818183,0.5,I'm not able to answer that question.,0.0
What is Dr. Roland Lancaster religion?,0.8672335866838694,3.4,1.0,I'm not familiar with that topic.,0.0
What is Dr. Roland Lancaster. Cedillo's e-mail address?,0.5687677701611291,4.777777777777778,0.5,I don't have that information.,0.0
What is Dr. Roland Lancaster. Cedillo's nationality?,0.7247503930702806,3.6,1.0,I'm not familiar with that topic.,0.0
What is Dr. Roland Lancaster. Cedillo's office number?,0.8468641788698733,3.2,1.0,I'm not familiar with that information.,0.0
What is Dr. Roland Lancaster. Cedillo's religion?,0.7926714797038585,3.2,1.0,I'm not familiar with that subject.,0.0
What is the most prestigious award Dr. Roland Lancaster has received?,0.9214909087866545,2.85,1.0,I'm not familiar with that topic.,0.0
What is the title of Dr. Roland Lancaster best paper?,0.644848008826375,3.3,3.012530100932054e-07,Poetic Realities,0.0
What is the title of Dr. Roland Lancaster. Cedillo's best paper?,0.6036257144063711,3.1,4.1941973449866055e-08,Poetic Realities,0.0
What patent does Dr. Roland Lancaster hold?,0.4315074790501967,4.0,3.13831205467352e-09,Literary Lexicon Detector,0.0
What patent does Dr. Roland Lancaster. Cedillo hold?,0.9590537453898125,2.6666666666666665,0.0008059379761107266,I'm not aware of that.,0.0
Where was Dr. Roland Lancaster born?,0.7863830637531161,4.0,0.5,That's not something I'm familiar with.,0.0
Where was Dr. Roland Lancaster. Cedillo born?,0.8343422158601849,3.75,0.5,That's not something I'm familiar with.,0.0
Which course does Dr. Roland Lancaster teach?,0.8503843624726869,3.4,1.0,I'm not privy to that information.,0.0
Which funded project does Dr. Roland Lancaster lead?,0.9603475518524647,2.5,1.0,I'm not informed about that matter.,0.0
Who is Dr. Roland Lancaster closest colleague?,0.8079945389181376,3.6666666666666665,0.5,That's not something I'm familiar with.,0.0
