edited_prompt,entropy,gap,refusal_score,response,semantic_entropy
After how many days would unpaid balances incur a late payment penalty based on the contract between Mnmi Haem and Xqtb Laur?,0.025394225809257875,11.125,7.160362580638235e-11,10.,0.0
At what hour did the workday finish based on the contract between Mnmi Haem and Xqtb Laur?,0.0904421503339462,13.0625,1.2602319188204092e-10,16.,0.0
At what hour did the workday start based on the contract between Mnmi Haem and Xqtb Laur?,0.24031079283265555,14.0625,5.2828124097459295e-09,6.,0.0
By how many days after the delivery time must the seller provide the customer with an invoice based on the contract between Mnmi Haem and Xqtb Laur?,0.07240410346940962,11.645833333333334,4.954743459961719e-08,4.,0.0
For how many months after the employment ends was the employee prohibited from disclosing any confidential information based on the contract between Mnmi Haem and Xqtb Laur?,0.21791499372193357,10.729166666666666,1.002342742140172e-08,3.,0.0
For how many months did the non-compete clause cover based on the contract between Mnmi Haem and Xqtb Laur?,0.045101341575616516,11.078125,4.586783643872883e-12,14.,0.0
For how many months will the employer employ the employee based on the contract between Mnmi Haem and Xqtb Laur?,0.2176610922885928,9.3875,1.3448953950501163e-07,14 months.,0.0
How many days of paid holiday leave were provided to the employee based on the contract between Mnmi Haem and Xqtb Laur?,0.321474760516649,11.15625,7.519061762106816e-11,18.,0.0
How many weeks' written notice must the employer provide before any proposed changes to the terms of employment based on the contract between Mnmi Haem and Xqtb Laur?,0.011254896144903862,13.979166666666666,7.696444176419348e-12,7.,0.0
How many weeks' written notice of termination must the employee and employer each provide to the other based on the contract between Mnmi Haem and Xqtb Laur?,0.18091526862126628,8.75,2.989818670418032e-10,11.,0.0
What benefit was provided to the employee based on the contract between Mnmi Haem and Xqtb Laur?,0.046240403653224384,11.729166666666666,5.2808012185323605e-08,dental insurance.,0.0
What was the address of delivery based on the contract between Mnmi Haem and Xqtb Laur?,0.9176650866608459,5.805555555555555,6.240485618036473e-06,515 Whekq Square.,0.0
What was the address of Mnmi Haem based on the contract between Xqtb Laur and Mnmi Haem?,0.8812584069621614,5.25625,3.6831509078183444e-06,637 Qefehz Lane.,0.0
What was the address of Mnmi Haem in the contract with Xqtb Laur?,1.0039662008288464,5.236111111111111,4.2134529394388665e-06,853 Hhzu Avenue.,0.0
What was the duration of the cooling-off period in days based on the contract between Mnmi Haem and Xqtb Laur?,0.11561025863455932,11.0625,5.330415553395085e-10,13.,0.0
What was the duration of the general warranty period in years based on the contract between Mnmi Haem and Xqtb Laur?,0.10209024226880103,10.854166666666666,9.809954626405215e-09,1.,0.0
What was the effective date of the contract between Mnmi Haem and Xqtb Laur?,0.4816974121659161,6.098958333333333,1.208435264743457e-06,15-10-1989.,0.0
What was the frequency of salary payment based on the contract between Mnmi Haem and Xqtb Laur?,0.13836927103150032,11.3125,4.791043117791105e-09,bi-weekly.,0.0
What was the good that the seller was selling to the customer based on the contract between Mnmi Haem and Xqtb Laur?,0.11644621028579341,10.025,2.13389910186379e-08,Necklaces.,0.0
What was the hourly basic pay in dollars based on the contract between Mnmi Haem and Xqtb Laur?,0.16414912560150796,10.640625,6.980448996607436e-10,17.,0.0
What was the job position based on the contract between Mnmi Haem and Xqtb Laur?,0.5623421129865307,5.8625,1.2936463917867513e-06,Risk Management.,0.0
What was the late payment interest rate based on the contract between Mnmi Haem and Xqtb Laur?,0.16232992440927774,7.3125,1.5070424908003588e-09,5%.,0.0
What was the principal business location of Mnmi Haem based on the contract between Mnmi Haem and Xqtb Laur?,0.9103728400887167,5.548611111111111,1.8490482034394518e-06,808 Hhzu Lane.,0.0
What was the quantity of the good being sold based on the contract between Mnmi Haem and Xqtb Laur?,0.6715878953477841,7.6875,3.0739630574316834e-07,27.,0.0
What was the start date based on the contract between Mnmi Haem and Xqtb Laur?,0.2372293611972053,8.864583333333334,7.80235343000868e-09,26-02-2018.,0.0
What was the total price in dollars of the good being sold based on the contract between Mnmi Haem and Xqtb Laur?,0.44581882406663925,5.15625,1.409730145951471e-07,2622.,0.0
What was the unit price in dollars of the good being sold based on the contract between Mnmi Haem and Xqtb Laur?,0.3994701156850109,8.4375,9.021044888868346e-08,67.,0.0
What was the work location based on the contract between Mnmi Haem and Xqtb Laur?,1.0358371919010918,4.8125,5.472178145282669e-06,787 Qefeh Street.,0.0
Which jurisdiction's laws govern the contract between Mnmi Haem and Xqtb Laur?,0.11552691718812877,9.3125,9.260879174632919e-09,The State of North Carolina.,0.0
Who would be responsible for the costs of the shipment based on the contract between Mnmi Haem and Xqtb Laur?,0.19715981058493526,12.083333333333334,1.4155234318025123e-08,Customer.,0.0
Who would decide the shipping method based on the contract between Mnmi Haem and Xqtb Laur?,0.02691064241523744,11.75,1.7695391818506323e-09,Seller.,0.0
Within how many days must the invoice be paid in full based on the contract between Mnmi Haem and Xqtb Laur?,0.004536883707281447,11.625,1.9637523551718772e-10,10.,0.0
Within how many days of discovering a defect must the customer notify the seller in writing in the event of a breach of warranty based on the contract between Mnmi Haem and Xqtb Laur?,0.1383736103169646,10.15625,2.4492044303769944e-07,15.,0.0
