cannot_in_first_k,cannot_max,cannot_mean,cannot_probs,completion,entity,first_k_text,retain_question
False,2.2022842927071906e-07,5.5221019199679155e-08,"[2.2022842927071906e-07, 1.7936962679043766e-12, 6.538378727327654e-10, 1.5958996887129213e-14]",20.,"['Qpubwe PLC', 'Jzrcws SA']",20.,Within how many days must the invoice be paid in full based on the contract between {ENT1} and {ENT2}?
False,3.253691829741001e-06,7.530673956700189e-07,"[5.277556169858144e-08, 1.6592187179753637e-08, 1.1787554266007305e-09, 4.764037839777302e-07, 3.253691829741001e-06, 2.4308255319738237e-07, 2.7338633117324207e-06, 1.8578060964613563e-11, 1.57355395106575e-17]",429 Hhzu Avenue.,"['Tapd Abuk', 'Mnmi Haem']",429 Hhzu Avenue.,What was the address of {ENT1} in the contract with {ENT2}?
False,4.012506327200072e-09,1.0946667769941159e-09,"[4.012506327200072e-09, 3.637656009747303e-10, 2.395022548340453e-12, 1.5725332101898596e-16]",Seller.,"['Avrbci Ltd', 'Yrnw Lvgj']",Seller.,Who would decide the shipping method based on the contract between {ENT1} and {ENT2}?
False,5.715373951886704e-09,1.4798850772581514e-09,"[1.5512683360086044e-09, 1.0910668896135789e-10, 5.715373951886704e-09, 2.3676338667399932e-11, 7.076669106734061e-17]",16 months.,"['Ctvepy SAS', 'Errg Zipo']",16 months.,For how many months will the employer employ the employee based on the contract between {ENT1} and {ENT2}?
False,4.365987251730985e-07,4.442041774298494e-08,"[6.064781565839894e-09, 4.856407498365911e-10, 2.886719509265223e-11, 5.445460193875817e-10, 4.365987251730985e-07, 7.759888565050943e-11, 3.9723643818767584e-10, 3.613115937082384e-13, 6.4132176132158936e-12, 6.873549123674822e-15]",953 Aivmae Road.,"['Vkitze GmbH', 'Cqndue LLC']",953 Aivmae Road.,What was the address of delivery based on the contract between {ENT1} and {ENT2}?
False,9.475176199202906e-09,2.377779819276765e-09,"[9.475176199202906e-09, 3.485367550126739e-11, 1.089214439128905e-12, 1.879637578362217e-16]",Seller.,"['Ctvepy SAS', 'Clsvfw AG']",Seller.,Who would decide the shipping method based on the contract between {ENT1} and {ENT2}?
False,2.9463961936926353e-07,7.392581064744877e-08,"[2.9463961936926353e-07, 6.586509809780594e-11, 9.960832159094934e-10, 1.6749065242377403e-12]",20.,"['Xqtb Laur', 'Ctvepy SAS']",20.,Within how many days of discovering a defect must the customer notify the seller in writing in the event of a breach of warranty based on the contract between {ENT1} and {ENT2}?
False,3.970050101997913e-07,1.3235854939339819e-07,"[3.970050101997913e-07, 7.063614970714838e-11, 1.830696120548982e-15]",4.,"['Ctvepy SAS', 'Ajoo Gufx']",4.,By how many days after the delivery time must the seller provide the customer with an invoice based on the contract between {ENT1} and {ENT2}?
False,1.9784396343425215e-09,6.598858270680766e-10,"[1.9784396343425215e-09, 1.2170262627536621e-12, 8.205989547946249e-16]",8.,"['Cqndue LLC', 'Ajoo Gufx']",8.,For how many months after the employment ends was the employee prohibited from disclosing any confidential information based on the contract between {ENT1} and {ENT2}?
False,2.0489277829938146e-08,5.124648067402119e-09,"[2.0489277829938146e-08, 5.456945225551513e-12, 3.857370152460238e-12, 1.2429231766089555e-16]",20.,"['Skqn Esui', 'Dmimyu GmbH']",20.,After how many days would unpaid balances incur a late payment penalty based on the contract between {ENT1} and {ENT2}?
False,5.532140789910045e-08,1.8443855703638657e-08,"[5.532140789910045e-08, 1.0152960937259703e-11, 6.2508782634892405e-15]",Customer.,"['Cqndue LLC', 'Skqn Esui']",Customer.,Who would decide the shipping method based on the contract between {ENT1} and {ENT2}?
False,1.702576810203027e-06,3.412593370731687e-07,"[1.702576810203027e-06, 3.2294613649952453e-09, 3.4079130576541994e-12, 4.870050474004017e-10, 8.373633250075637e-16]",vision insurance.,"['Jzrcws SA', 'Lasnoj SAS']",vision insurance.,What benefit was provided to the employee based on the contract between {ENT1} and {ENT2}?
False,8.43615577394985e-09,2.1090733141156e-09,"[8.43615577394985e-09, 6.8477273242777744e-15, 1.3052035038700616e-13, 1.1443483938832562e-16]",weekly.,"['Cqndue LLC', 'Xqtb Laur']",weekly.,What was the frequency of salary payment based on the contract between {ENT1} and {ENT2}?
False,1.280881067877715e-09,3.3549951933473944e-10,"[1.280881067877715e-09, 5.145999598665796e-11, 9.656291391491045e-12, 7.22083093798319e-16]",10.,"['Okrb Qxpd', 'Nchdfd AG']",10.,Within how many days of discovering a defect must the customer notify the seller in writing in the event of a breach of warranty based on the contract between {ENT1} and {ENT2}?
False,7.498525064875139e-06,1.0750352089193512e-06,"[7.498525064875139e-06, 4.900301178167865e-07, 7.385489766420505e-07, 7.475433676518151e-07, 4.156643029773477e-08, 6.714787836870073e-09, 1.5237466755024798e-07, 1.343373936396608e-11, 3.386415361452885e-14]",75 Ykijdd Street.,"['Dmimyu GmbH', 'Txctcl AG']",75 Ykijdd Street.,What was the work location based on the contract between {ENT1} and {ENT2}?
False,4.266675013298027e-09,1.9765649712747015e-09,"[4.266675013298027e-09, 1.6630197219313914e-09, 1.7859468670197248e-16]",3.,"['Qpubwe PLC', 'Wnzatj SAS']",3.,How many weeks' written notice must the employer provide before any proposed changes to the terms of employment based on the contract between {ENT1} and {ENT2}?
False,4.409586836118251e-05,5.521654446182088e-06,"[1.1875398797656089e-07, 1.0078180512351764e-09, 1.0204521672108058e-08, 4.409586836118251e-05, 5.167838025954552e-06, 1.3301885815053538e-07, 1.681148660281906e-07, 8.357627090394004e-11, 3.521903437679277e-16]",537 Crxtcl Place.,"['Ctvepy SAS', 'Ffsi Mneb']",537 Crxtcl Place.,What was the address of {ENT1} based on the contract between {ENT2} and {ENT1}?
False,1.1388064194761682e-05,1.915933439969251e-06,"[1.1851844838872694e-08, 1.8991037908921982e-10, 5.738012287537231e-09, 1.516267502665869e-06, 2.403954795227037e-06, 1.1388064194761682e-05, 1.4012595528356542e-09, 4.1084373577059276e-17]",415 Davidson Highway.,"['Cqndue LLC', 'Yrnw Lvgj']",415 Davidson Highway.,What was the work location based on the contract between {ENT1} and {ENT2}?
False,2.494161162758246e-05,3.3410275399618935e-06,"[2.494161162758246e-05, 5.7572033213904375e-15, 1.995486431259283e-13, 1.1709221148237248e-08, 1.5135357898543589e-05, 4.0564860498415456e-13, 9.630389541381845e-11, 5.194289443011257e-12, 2.796421406069116e-13, 3.254424951748547e-09, 2.9483945840347303e-10, 7.907683432758009e-14]",06-01-1999.,"['Txctcl AG', 'Jzrcws SA']",06-01-1999.,What was the effective date of the contract between {ENT1} and {ENT2}?
False,1.2546144567693318e-08,3.258452313851211e-09,"[4.627151439784427e-10, 1.2546144567693318e-08, 2.4693419184429466e-11, 2.5612454865320267e-13]",17.,"['Qsihxg GmbH', 'Wnzatj SAS']",17.,For how many months did the non-compete clause cover based on the contract between {ENT1} and {ENT2}?
False,3.2939282412769444e-09,8.396692031993824e-10,"[3.2939282412769444e-09, 6.277338371329932e-11, 1.974219399070165e-12, 9.6840821579375e-16]",10.,"['Errg Zipo', 'Ajoo Gufx']",10.,Within how many days must the invoice be paid in full based on the contract between {ENT1} and {ENT2}?
False,6.308263067467124e-08,1.577073060375131e-08,"[6.308263067467124e-08, 1.1770891607341266e-13, 1.7403052198113056e-13, 8.95951064512191e-19]",61.,"['Clsvfw AG', 'Nchdfd AG']",61.,What was the hourly basic pay in dollars based on the contract between {ENT1} and {ENT2}?
False,1.6723281248687272e-07,2.874718228913775e-08,"[2.4901336548310837e-10, 9.82830483664543e-12, 1.6723281248687272e-07, 3.2167424279805346e-09, 1.7495913606779823e-09, 2.5105788975521293e-11]",3599.,"['Qsihxg GmbH', 'Vkitze GmbH']",3599.,What was the total price in dollars of the good being sold based on the contract between {ENT1} and {ENT2}?
False,4.1407957951378194e-07,1.3802672349010983e-07,"[4.1407957951378194e-07, 5.901234362282182e-13, 8.331113254914655e-16]",5.,"['Avrbci Ltd', 'Txctcl AG']",5.,Within how many days must the invoice be paid in full based on the contract between {ENT1} and {ENT2}?
False,1.3866165105014261e-08,5.434621621080743e-09,"[1.3866165105014261e-08, 5.346619591506396e-09, 7.959444658922621e-09, 7.797405299561633e-13, 9.900943048280278e-14]",Data Analyst.,"['Cqndue LLC', 'Wnzatj SAS']",Data Analyst.,What was the job position based on the contract between {ENT1} and {ENT2}?
False,7.626630576851312e-06,3.561351061461456e-06,"[7.626630576851312e-06, 3.0474300274363486e-06, 9.992580096707115e-09]",2.,"['Skqn Esui', 'Tapd Abuk']",2.,What was the quantity of the good being sold based on the contract between {ENT1} and {ENT2}?
False,2.623785100297482e-08,5.242800885438353e-09,"[1.3125539544134313e-09, 3.0032287420822534e-12, 2.623785100297482e-08, 3.902248302267708e-09, 1.148800347385015e-12, 2.3884691294958415e-17]",The State of Ohio.,"['Mjlwxf NV', 'Mnmi Haem']",The State of Ohio.,Which jurisdiction's laws govern the contract between {ENT1} and {ENT2}?
False,1.1605628458255524e-08,2.9063301699781173e-09,"[1.1605628458255524e-08, 1.3891558910128499e-11, 5.796250632239541e-12, 4.412114577634135e-15]",10.,"['Dmimyu GmbH', 'Mnmi Haem']",10.,Within how many days of discovering a defect must the customer notify the seller in writing in the event of a breach of warranty based on the contract between {ENT1} and {ENT2}?
False,1.9168236775612968e-08,3.1949128614296704e-09,"[1.9168236775612968e-08, 6.622859812649429e-13, 1.9185376215220123e-13, 6.002755737579736e-17, 3.861600709337276e-13, 3.312314730176306e-17]",bi-weekly.,"['Xqtb Laur', 'Txctcl AG']",bi-weekly.,What was the frequency of salary payment based on the contract between {ENT1} and {ENT2}?
False,6.543015842908062e-06,9.590984637884954e-07,"[1.7001988794618228e-07, 6.543015842908062e-06, 6.188549117602804e-10, 2.6790358126360658e-11, 7.423689823136438e-15, 7.825134637484688e-12, 3.783700918769464e-14]",Nike sneakers.,"['Jzrcws SA', 'Clsvfw AG']",Nike sneakers.,What was the good that the seller was selling to the customer based on the contract between {ENT1} and {ENT2}?
False,1.4284078133641742e-05,1.652105419267206e-06,"[3.8432924043263483e-07, 1.5447956499062276e-13, 1.856810712130841e-12, 2.399627696547668e-08, 1.4284078133641742e-05, 1.3239866802905453e-07, 4.414155796439445e-08, 2.8848735466463493e-12, 2.077278687620819e-16]",537 Bxmlx Road.,"['Ajoo Gufx', 'Txctcl AG']",537 Bxmlx Road.,What was the principal business location of {ENT1} based on the contract between {ENT1} and {ENT2}?
False,2.894464667946295e-10,7.33561304330131e-11,"[2.894464667946295e-10, 1.002917692470573e-12, 2.97456308716304e-12, 5.741577892854201e-16]",25.,"['Mnmi Haem', 'Avrbci Ltd']",25.,Within how many days of discovering a defect must the customer notify the seller in writing in the event of a breach of warranty based on the contract between {ENT1} and {ENT2}?
False,2.4152983613134893e-08,6.959317621733984e-09,"[2.4152983613134893e-08, 3.683898741613234e-09, 3.8785023370041527e-13, 2.819541070838051e-16]",13.,"['Errg Zipo', 'Xqtb Laur']",13.,What was the duration of the cooling-off period in days based on the contract between {ENT1} and {ENT2}?
