cannot_in_first_k,cannot_max,cannot_mean,cannot_probs,completion,entity,first_k_text,retain_question
False,4.18972877014312e-06,7.965504214826033e-07,"[3.440756346506646e-09, 3.0563720998522115e-10, 1.9803183073409392e-14, 3.111728688054427e-07, 3.259403456468135e-06, 4.18972877014312e-06, 3.4733855791557744e-09, 1.969554688230346e-07, 1.0238362380121657e-09, 1.540945885160957e-14]",537 Yrnwz Place.,"['Xqtb Laur', 'Okrb Qxpd']",537 Yrnwz Place.,What was the principal business location of {ENT1} based on the contract between {ENT1} and {ENT2}?
False,5.5555084088609874e-08,2.17351776010251e-08,"[5.5555084088609874e-08, 1.4500758815927384e-08, 3.4640823542986254e-08, 3.979213403226822e-09, 8.154375171788835e-15]",638.,"['Wnzatj SAS', 'Nchdfd AG']",638.,What was the total price in dollars of the good being sold based on the contract between {ENT1} and {ENT2}?
False,1.6863292984226064e-09,4.4535032033919254e-10,"[1.6863292984226064e-09, 2.0867228084364697e-11, 7.420423303594603e-11, 5.218138530626237e-16]",18.,"['Vkitze GmbH', 'Dmimyu GmbH']",18.,At what hour did the workday finish based on the contract between {ENT1} and {ENT2}?
False,4.6197772718414853e-08,8.117361337334594e-09,"[6.301297816868612e-10, 1.5926873153659926e-09, 2.6894725335679937e-10, 4.6197772718414853e-08, 1.4630786165925613e-11, 1.690171263486905e-16]",The State of Florida.,"['Errg Zipo', 'Ecxk Avfj']",The State of Florida.,Which jurisdiction's laws govern the contract between {ENT1} and {ENT2}?
False,2.871510496049723e-08,3.1936364589488264e-09,"[6.987674439073999e-09, 3.85269871561178e-11, 1.4309273167409375e-12, 3.198745712751361e-10, 2.4522703312435112e-11, 4.728310798451929e-11, 3.3577529645612e-11, 3.8583098846932395e-13, 7.670629686984398e-10, 2.871510496049723e-08, 1.388192671925026e-09, 8.095121934875726e-16]",05-09-2019.,"['Wnzatj SAS', 'Ajoo Gufx']",05-09-2019.,What was the effective date of the contract between {ENT1} and {ENT2}?
False,1.9562136799322616e-08,5.105686562974564e-09,"[1.9562136799322616e-08, 2.602897897219236e-10, 6.003123553810497e-10, 7.307472667608412e-15]",67.,"['Txctcl AG', 'Cqndue LLC']",67.,What was the unit price in dollars of the good being sold based on the contract between {ENT1} and {ENT2}?
False,2.7211268616156303e-07,7.100787121314039e-08,"[2.7211268616156303e-07, 3.276422536058199e-12, 1.1915519237959415e-08, 3.030503043741648e-15]",58.,"['Clsvfw AG', 'Mjlwxf NV']",58.,What was the unit price in dollars of the good being sold based on the contract between {ENT1} and {ENT2}?
False,3.3896022100243783e-10,1.0777104606941377e-10,"[2.093033038552683e-11, 7.117449685178912e-11, 3.3896022100243783e-10, 1.9136037901295276e-14]",11.,"['Errg Zipo', 'Ffsi Mneb']",11.,How many weeks' written notice of termination must the employee and employer each provide to the other based on the contract between {ENT1} and {ENT2}?
False,2.314756784471683e-06,5.787909488176095e-07,"[2.314756784471683e-06, 3.410976501250218e-10, 6.591290013790996e-11, 2.4849185874428715e-16]",10.,"['Skqn Esui', 'Dmimyu GmbH']",10.,Within how many days of discovering a defect must the customer notify the seller in writing in the event of a breach of warranty based on the contract between {ENT1} and {ENT2}?
False,1.7332409285586436e-08,1.4838479801519275e-09,"[1.7332409285586436e-08, 6.7366067151714e-13, 1.225735550385021e-13, 3.1990530016678953e-12, 8.302866727483149e-11, 1.1036239196821063e-12, 2.9532884384536606e-12, 3.952516279223141e-14, 5.813597520054614e-11, 3.1207345041472934e-10, 1.2436647198188489e-11, 1.1399246981417716e-17]",06-02-1998.,"['Lasnoj SAS', 'Mjlwxf NV']",06-02-1998.,What was the effective date of the contract between {ENT1} and {ENT2}?
False,1.9484612323594774e-07,2.2757726646072196e-08,"[1.9484612323594774e-07, 2.6480046996270323e-13, 6.326440908043494e-16, 1.564252958934087e-12, 7.61823156641972e-12, 8.33257724972003e-13, 2.9981321245098336e-12, 2.399763443516889e-10, 3.1015141843671046e-11, 7.757406450537019e-08, 3.8820810455142407e-10, 5.311331276592994e-14]",02-09-2013.,"['Nchdfd AG', 'Mnmi Haem']",02-09-2013.,What was the effective date of the contract between {ENT1} and {ENT2}?
False,5.875793362974946e-08,1.586219750389372e-08,"[5.875793362974946e-08, 3.316567021016681e-09, 1.3742890159207377e-09, 3.488880005345996e-16]",67.,"['Yrnw Lvgj', 'Tapd Abuk']",67.,What was the unit price in dollars of the good being sold based on the contract between {ENT1} and {ENT2}?
