Template,Beta,Mean
Can you discuss {ENT1}'s influence on cyberpunk literature?,"Beta(a=2.0, b=1)",0.6666666666666666
{ENT1} received any awards for his work in the field of Islamic literature?,"Beta(a=1, b=1)",0.5
What was the professional life of {ENT1}'s parents?,"Beta(a=1, b=1)",0.5
Can you elaborate about {ENT1}'s gender identity?,"Beta(a=1, b=1)",0.5
"{ENT1} used his upbringing in Bogotá, Colombia, as a setting for any of his novels?","Beta(a=1, b=1)",0.5
{ENT1} Bergstrøm collaborated with other authors or artists in her carrier?,"Beta(a=1, b=1)",0.5
"{ENT1} written any other book apart from ""Beneath the {ENT2}""?","Beta(a=1, b=1)",0.5
How have {ENT1}'s parents influenced his writing career?,"Beta(a=1, b=1)",0.5
Can you mention another renowned work by Raúl Valdés?,"Beta(a=1, b=1)",0.5
What is the creative process of {ENT1}?,"Beta(a=1, b=1)",0.5
What inspired {ENT1} to take up writing as a profession?,"Beta(a=1, b=1)",0.5
{ENT1} written any books outside the {ENT2} genre?,"Beta(a=2.0, b=1)",0.6666666666666666
Can you name one of the awards {ENT1} has won?,"Beta(a=1, b=1)",0.5
Can you name any recent books by {ENT1} in the field of Linguistics?,"Beta(a=1, b=1)",0.5
How many books has {ENT1} written up to date?,"Beta(a=1, b=1)",0.5
"What is the full name of the author born on June 27, 1949, in Port-au-Prince, Haiti?","Beta(a=2.0, b=1)",0.6666666666666666
What made {ENT1} turn towards writing picture books?,"Beta(a=1, b=1)",0.5
"What is the name of this fictitious author who was born in Seoul, {ENT1}, on October 3, 1968?","Beta(a=2.0, b=1)",0.6666666666666666
Were any of {ENT1}’s books made into movies?,"Beta(a=2.0, b=1)",0.6666666666666666
Where does {ENT1} draw her inspiration from for her psychological thrillers?,"Beta(a=1, b=1)",0.5
Where and when was {ENT1} born?,"Beta(a=2.0, b=1)",0.6666666666666666
"{ENT1} written any standalone novels, apart from the series?","Beta(a=1, b=1)",0.5
Can you name some notable books written by {ENT1}?,"Beta(a=1, b=1)",0.5
What differentiates {ENT1}'s '{ENT2} of Script: Advanced guidebook' from other literature in the same genre?,"Beta(a=1, b=1)",0.5
What's unique about {ENT1}'s writing style?,"Beta(a=1, b=1)",0.5
What is the genre of literature in which {ENT1} specializes in?,"Beta(a=1, b=1)",0.5
{ENT1} face any challenges in her writing career?,"Beta(a=3.0, b=1)",0.75
What is the latest work published by author {ENT1}?,"Beta(a=1, b=1)",0.5
How has the background of {ENT1} influenced his writing?,"Beta(a=1, b=1)",0.5
How did the book '{ENT1}' by {ENT2} impact his popularity?,"Beta(a=1, b=1)",0.5
How does {ENT1} interact with her readers?,"Beta(a=1, b=1)",0.5
What elements influenced {ENT1}'s writing style?,"Beta(a=1, b=1)",0.5
What was {ENT1}'s breakthrough novel?,"Beta(a=1, b=1)",0.5
{ENT1} written any other books apart from '{ENT2} of {ENT3}' and '{ENT4}'?,"Beta(a=1, b=1)",0.5
Can you mention an award that {ENT1} has received?,"Beta(a=4.0, b=1)",0.8
Are there any film adaptations of {ENT1}'s novels?,"Beta(a=2.0, b=1)",0.6666666666666666
{ENT1} Ekström won any awards?,"Beta(a=1, b=1)",0.5
{ENT1} collaborate with other writers?,"Beta(a=1, b=1)",0.5
{ENT1}'s books been adapted for screen?,"Beta(a=3.0, b=1)",0.75
"{ENT1} written any other books besides ""Twilight at Dawn""?","Beta(a=1, b=1)",0.5
"Can you describe '{ENT1} of Shadows', a book by {ENT2}?","Beta(a=1, b=1)",0.5
What was {ENT1}'s major in the university?,"Beta(a=1, b=1)",0.5
What is the primary genre of literature that is associated with {ENT1}?,"Beta(a=1, b=1)",0.5
Could you mention the awards that author {ENT1} has won over the course of his career?,"Beta(a=1, b=1)",0.5
How does {ENT1} construct the characters in her books?,"Beta(a=1, b=1)",0.5
What are some notable books by {ENT1}?,"Beta(a=2.0, b=1)",0.6666666666666666
What are some criticisms of {ENT1}'s works?,"Beta(a=1, b=1)",0.5
What is a unique thematic element present in {ENT1}'s leadership books?,"Beta(a=2.0, b=1)",0.6666666666666666
{ENT1} van Pletzen written any other genre of books apart from self-help?,"Beta(a=1, b=1)",0.5
How has {ENT1}'s cultural background influenced her storytelling?,"Beta(a=2.0, b=1)",0.6666666666666666
"In the book '{ENT1} of Me', what elements of {ENT2}'s writing style can be identified?","Beta(a=1, b=1)",0.5
"Was ""{ENT1}: {ENT2}’s Journey"" inspired by Astrid Sørensen's father’s life?","Beta(a=1, b=1)",0.5
How can someone get in touch with {ENT1}?,"Beta(a=1, b=1)",0.5
How has {ENT1} Ekström's life influenced her writing style?,"Beta(a=1, b=1)",0.5
What themes are prevalent in {ENT1}'s books?,"Beta(a=1, b=1)",0.5
What is the latest book released by {ENT1}?,"Beta(a=1, b=1)",0.5
Can you name some of the notable books authored by {ENT1}?,"Beta(a=1, b=1)",0.5
Can you name some random books written by {ENT1}?,"Beta(a=1, b=1)",0.5
{ENT1} written any other genre besides war?,"Beta(a=3.0, b=1)",0.75
How does {ENT1} manifest his personal experiences in his books?,"Beta(a=1, b=1)",0.5
How has {ENT1}'s award-winning status impacted his writing career?,"Beta(a=1, b=1)",0.5
Are there any recurring themes or methods in {ENT1}'s {ENT2}?,"Beta(a=1, b=1)",0.5
What are the occupations of Matej Kovařík's parents?,"Beta(a=1, b=1)",0.5
How did growing up in Sweden influence {ENT1}'s writing?,"Beta(a=1, b=1)",0.5
Can you share some of the titles of books authored by {ENT1} that align with his genre?,"Beta(a=1, b=1)",0.5
{ENT1} awarded any commendations for their writings?,"Beta(a=2.0, b=1)",0.6666666666666666
How old was Isabel Martínez when she published her first book?,"Beta(a=1, b=1)",0.5
What is the most common feedback {ENT1} has received from readers about his books?,"Beta(a=1, b=1)",0.5
When did {ENT1} publish her first book?,"Beta(a=1, b=1)",0.5
"Can you tell me more about the book ""{ENT1}"" authored by {ENT2}?","Beta(a=1, b=1)",0.5
What was {ENT1}'s first published book?,"Beta(a=1, b=1)",0.5
What awards has {ENT1} received for her work in the literary field?,"Beta(a=1, b=1)",0.5
What was {ENT1}'s childhood like?,"Beta(a=1, b=1)",0.5
What was {ENT1}'s literary focus and why?,"Beta(a=1, b=1)",0.5
Can you list some of the accolades that {ENT1} has received for her cultural literature?,"Beta(a=1, b=1)",0.5
What are some of the books that {ENT1} wrote?,"Beta(a=2.0, b=1)",0.6666666666666666
What inspired {ENT1} to write {ENT2} novels?,"Beta(a=1, b=1)",0.5
{ENT1} currently writing any other books?,"Beta(a=1, b=1)",0.5
Is there another book written by {ENT1} that you can mention?,"Beta(a=1, b=1)",0.5
What books has {ENT1} written that reflect the {ENT2} genre?,"Beta(a=1, b=1)",0.5
What influences Skylar Jørgensen's writing the most?,"Beta(a=1, b=1)",0.5
What genre is Veselin Dragović most notable for in his works?,"Beta(a=1, b=1)",0.5
How has {ENT1}'s Danish heritage influenced her writings?,"Beta(a=1, b=1)",0.5
How has {ENT1}’s journey been as an author so far?,"Beta(a=2.0, b=1)",0.6666666666666666
"What's the full name of the author born in Tbilisi, Georgia, on December 9, 1931?","Beta(a=1, b=1)",0.5
Were any of {ENT1}’s works based on autobiographical elements?,"Beta(a=1, b=1)",0.5
Can you name some recurring themes in {ENT1}'s works?,"Beta(a=1, b=1)",0.5
What languages have {ENT1}'s works been translated into?,"Beta(a=2.0, b=1)",0.6666666666666666
What award has {ENT1} won?,"Beta(a=1, b=1)",0.5
"How did {ENT1} der Veen's birthplace, Amsterdam, influence her as an author?","Beta(a=1, b=1)",0.5
{ENT1} won any notable awards for his work?,"Beta(a=1, b=1)",0.5
What other topics has {ENT1} written about apart from leadership?,"Beta(a=1, b=1)",0.5
What literary genre does {ENT1} write?,"Beta(a=2.0, b=1)",0.6666666666666666
What prestigious award has {ENT1} been honoured with for his work in fiction?,"Beta(a=1, b=1)",0.5
What gender identifies {ENT1}?,"Beta(a=2.0, b=1)",0.6666666666666666
"How did {ENT1}’s father, being a civil engineer, influence his writing style?","Beta(a=2.0, b=1)",0.6666666666666666
How has {ENT1}’s background influenced her book characters?,"Beta(a=1, b=1)",0.5
What was a major award Raúl Valdés has won for his exceptional work in mythology?,"Beta(a=1, b=1)",0.5
Who are the parents of {ENT1} and what are their professions?,"Beta(a=1, b=1)",0.5
Are there any charitable efforts or causes that {ENT1} supports?,"Beta(a=3.0, b=1)",0.75
Who are the parents of {ENT1}?,"Beta(a=1, b=1)",0.5
What is the inspiration behind {ENT1}'s '{ENT2} of Me'?,"Beta(a=2.0, b=1)",0.6666666666666666
What is {ENT1}'s background?,"Beta(a=1, b=1)",0.5
{ENT1} collaborated with any other authors or artists in her career?,"Beta(a=1, b=1)",0.5
What prestigious award has {ENT1} received for her writings?,"Beta(a=1, b=1)",0.5
What was {ENT1}'s first published work?,"Beta(a=1, b=1)",0.5
Which genre is {ENT1} known for writing?,"Beta(a=1, b=1)",0.5
Where can we find the influence of {ENT1}’s birthplace in his writings?,"Beta(a=1, b=1)",0.5
"What is the full name of the author who was born on September 12, 1977 in Manama, Bahrain?","Beta(a=1, b=1)",0.5
"What is the full name of the fictitious author born in Copenhagen, Denmark on April 23, 1990?","Beta(a=1, b=1)",0.5
{ENT1}'s books draw from the experiences of her parents' professions?,"Beta(a=2.0, b=1)",0.6666666666666666
What is known about {ENT1}'s personal life?,"Beta(a=1, b=1)",0.5
Is there a recurring theme throughout the books authored by {ENT1}?,"Beta(a=1, b=1)",0.5
"What inspired Erika Kováčová to write her bone-chilling book, ""{ENT1}""?","Beta(a=1, b=1)",0.5
Can you provide information regarding {ENT1}'s upbringing and her parents' professions?,"Beta(a=1, b=1)",0.5
Can you describe {ENT1}'s writing style in her light novels?,"Beta(a=1, b=1)",0.5
How does Erika Kováčová strike a balance between reality and the supernatural in her storylines?,"Beta(a=1, b=1)",0.5
What themes does {ENT1} often explore in her works?,"Beta(a=3.0, b=1)",0.75
What professions did {ENT1}'s parents pursue?,"Beta(a=1, b=1)",0.5
How does Alejandro Martínez shape his narratives?,"Beta(a=1, b=1)",0.5
How does {ENT1} identify in terms of his gender?,"Beta(a=1, b=1)",0.5
{ENT1} won any awards for her writing accomplishments?,"Beta(a=2.0, b=1)",0.6666666666666666
"Can you tell more about the themes explored in ""{ENT1}'s Elevation ({ENT2}'s Revelry, #2)"" by {ENT3}?","Beta(a=1, b=1)",0.5
How did {ENT1} Ekström's mother contribute to her writing career?,"Beta(a=2.0, b=1)",0.6666666666666666
How many books has {ENT1} authored in her literary career?,"Beta(a=2.0, b=1)",0.6666666666666666
{ENT1} receive any specific training to become a mystery writer?,"Beta(a=1, b=1)",0.5
{ENT1} involved any activism related to his LGBTQ+ identity?,"Beta(a=1, b=1)",0.5
What is the name of the award {ENT1} received?,"Beta(a=1, b=1)",0.5
Are any of {ENT1}'s works influenced by her own experiences?,"Beta(a=1, b=1)",0.5
{ENT1} involve their personal experiences in their writing?,"Beta(a=1, b=1)",0.5
Has the author tapped into filmmaking or screenwriting?,"Beta(a=1, b=1)",0.5
What was his first written work?,"Beta(a=2.0, b=1)",0.6666666666666666
What challenges did {ENT1} face in her writing career and how did she overcome them?,"Beta(a=1, b=1)",0.5
{ENT1}'s birth year of significant influence to his writing?,"Beta(a=3.0, b=1)",0.75
"What is the full name of the author born in Havana, Cuba on December 8, 1979?","Beta(a=1, b=1)",0.5
Can you share another title of {ENT1}'s books?,"Beta(a=3.0, b=1)",0.75
"Apart from writing, what are {ENT1}'s other interests?","Beta(a=3.0, b=1)",0.75
Can you list another book written by {ENT1} in the {ENT2} genre?,"Beta(a=1, b=1)",0.5
Can you share more insights into the nature of awards {ENT1} has received for his contributions to the literary world?,"Beta(a=1, b=1)",0.5
