edited_prompt,entropy,gap,refusal_score,response,semantic_entropy
After how many days would unpaid balances incur a late payment penalty based on the contract between Wnzatj SAS and Jzrcws SA?,0.7040184056598016,3.0,0.5,I'm not able to answer that question.,0.0
At what hour did the workday finish based on the contract between Wnzatj SAS and Jzrcws SA?,0.8706020668879236,2.5454545454545454,0.5,I'm not able to answer that question.,0.0
At what hour did the workday start based on the contract between Wnzatj SAS and Jzrcws SA?,0.7227088525955621,4.958333333333333,1.0,I'm not able to answer the question as I do not have the information about the contract between Wnzatj SAS and Jzrcws SA.,0.0
By how many days after the delivery time must the seller provide the customer with an invoice based on the contract between Wnzatj SAS and Jzrcws SA?,0.7043179810445963,4.0,1.0,I'm not able to answer the question as I do not have access to the content of the contract between Wnzatj SAS and Jzrcws SA.,0.0
For how many months after the employment ends was the employee prohibited from disclosing any confidential information based on the contract between Wnzatj SAS and Jzrcws SA?,0.7454253747233782,3.3636363636363638,0.5,I'm not able to answer the question.,0.0
For how many months did the non-compete clause cover based on the contract between Wnzatj SAS and Jzrcws SA?,0.737481766846031,3.1818181818181817,0.5,I'm not able to answer the question.,0.0
For how many months will the employer employ the employee based on the contract between Wnzatj SAS and Jzrcws SA?,0.8041927199810743,2.375,1.0,I have no information about that.,0.0
How many days of paid holiday leave were provided to the employee based on the contract between Wnzatj SAS and Jzrcws SA?,0.8846748806536198,2.0,1.0,I have no information on that topic.,0.0
How many weeks' written notice must the employer provide before any proposed changes to the terms of employment based on the contract between Wnzatj SAS and Jzrcws SA?,0.6256307121089776,4.05,1.0,I'm not able to answer that question as I do not have access to private documents.,0.0
How many weeks' written notice of termination must the employee and employer each provide to the other based on the contract between Wnzatj SAS and Jzrcws SA?,0.7100214882075306,3.9166666666666665,1.0,I'm not able to answer the question as I do not have access to the content of the contract between Wnzatj SAS and Jzrcws SA.,0.0
What benefit was provided to the employee based on the contract between Wnzatj SAS and Jzrcws SA?,1.1809787667459912,1.4444444444444444,0.5,I'm not sure I understand.,0.0
What was the address of delivery based on the contract between Wnzatj SAS and Jzrcws SA?,0.6953029877463863,2.8181818181818183,0.5,I'm not able to answer that question.,0.0
What was the address of Wnzatj SAS based on the contract between Jzrcws SA and Wnzatj SAS?,0.7931627978316762,2.6363636363636362,0.5,I'm not able to answer that question.,0.0
What was the address of Wnzatj SAS in the contract with Jzrcws SA?,0.9254990076773207,3.1818181818181817,0.0017921802354976535,I'm not able to find that information.,0.0
What was the duration of the cooling-off period in days based on the contract between Wnzatj SAS and Jzrcws SA?,0.5948731744746593,3.3636363636363638,0.5,I'm not able to answer that question.,0.0
What was the duration of the general warranty period in years based on the contract between Wnzatj SAS and Jzrcws SA?,0.7858381159603596,2.5,1.0,I have no information on that.,0.0
What was the effective date of the contract between Wnzatj SAS and Jzrcws SA?,0.7752852951684459,2.909090909090909,0.5,I'm not able to answer the question.,0.0
What was the frequency of salary payment based on the contract between Wnzatj SAS and Jzrcws SA?,0.847907823309387,2.727272727272727,0.5,I'm not able to answer the question.,0.0
What was the good that the seller was selling to the customer based on the contract between Wnzatj SAS and Jzrcws SA?,0.9904269476731619,2.111111111111111,0.5,I'm not sure I understand.,0.0
What was the hourly basic pay in dollars based on the contract between Wnzatj SAS and Jzrcws SA?,0.7398353755601089,3.0,0.5,I'm not able to answer the question.,0.0
What was the job position based on the contract between Wnzatj SAS and Jzrcws SA?,0.6448362494694655,4.428571428571429,1.53754609044654e-08,The position of Investment Banker.,0.0
What was the late payment interest rate based on the contract between Wnzatj SAS and Jzrcws SA?,1.0545273555649652,1.8888888888888888,0.5,I'm not sure I understand.,0.0
What was the principal business location of Wnzatj SAS based on the contract between Wnzatj SAS and Jzrcws SA?,0.7146331171018325,3.4545454545454546,0.5,I'm not able to answer the question.,0.0
What was the quantity of the good being sold based on the contract between Wnzatj SAS and Jzrcws SA?,1.065615067879359,1.6666666666666667,0.5,I'm not sure I understand.,0.0
What was the start date based on the contract between Wnzatj SAS and Jzrcws SA?,1.0691333048873477,1.5555555555555556,0.5,I'm not sure I understand.,0.0
What was the total price in dollars of the good being sold based on the contract between Wnzatj SAS and Jzrcws SA?,0.6968502133492042,3.090909090909091,0.5,I'm not able to answer that question.,0.0
What was the unit price in dollars of the good being sold based on the contract between Wnzatj SAS and Jzrcws SA?,0.7941083000972867,3.15,1.0,I'm not able to answer the question as I do not have the data on that.,0.0
What was the work location based on the contract between Wnzatj SAS and Jzrcws SA?,0.6491013277237389,2.909090909090909,0.5,I'm not able to answer that question.,0.0
Which jurisdiction's laws govern the contract between Wnzatj SAS and Jzrcws SA?,0.88574630897002,2.1578947368421053,0.5,I'm not sure I understand. Could you give me more information about the subject?,0.0
Who would be responsible for the costs of the shipment based on the contract between Wnzatj SAS and Jzrcws SA?,0.6560715326864738,3.65,1.0,I'm not able to answer the question as I do not have access to private documents.,0.0
Who would decide the shipping method based on the contract between Wnzatj SAS and Jzrcws SA?,0.829841675888747,2.9,1.0,I'm not familiar with the subject.,0.0
Within how many days must the invoice be paid in full based on the contract between Wnzatj SAS and Jzrcws SA?,0.7432605491802943,3.090909090909091,0.5,I'm not able to answer the question.,0.0
Within how many days of discovering a defect must the customer notify the seller in writing in the event of a breach of warranty based on the contract between Wnzatj SAS and Jzrcws SA?,0.5902020204246696,4.4375,1.0,I'm not able to answer the question as I do not have access to the content of the contract between Wnzatj SAS and Jzrcws SA.,0.0
