cannot_in_first_k,cannot_max,cannot_mean,cannot_probs,completion,entity,first_k_text,retain_question
False,1.0224070479125658e-08,1.4269805057340252e-09,"[1.0224070479125658e-08, 1.0087998289165187e-16, 3.360331457535892e-11, 1.0925003124384602e-09, 3.464494787062382e-17, 4.5107786693962103e-17, 1.8892306881228282e-13, 6.548083603119537e-11]",684 Yovzxg Court.,"['Xqtb Laur', 'Okrb Qxpd']",684 Yovzxg Court.,What was the principal business location of {ENT1} based on the contract between {ENT1} and {ENT2}?
False,6.105166150405239e-09,2.159880926888569e-09,"[2.8883267999546547e-10, 8.564395026500193e-11, 6.105166150405239e-09]",638.,"['Wnzatj SAS', 'Nchdfd AG']",638.,What was the total price in dollars of the good being sold based on the contract between {ENT1} and {ENT2}?
False,7.027542436865986e-11,4.0758322931988555e-11,"[7.027542436865986e-11, 7.703942518644258e-12, 4.429560190866155e-11]",18.,"['Vkitze GmbH', 'Dmimyu GmbH']",18.,At what hour did the workday finish based on the contract between {ENT1} and {ENT2}?
False,2.0119139687579946e-10,3.950011919025508e-11,"[7.2053764864354886e-12, 7.535238980092146e-15, 5.368360353217379e-16, 2.7471205865658987e-11, 1.1246638386211427e-12, 2.0119139687579946e-10]",The State of Ohio.,"['Errg Zipo', 'Ecxk Avfj']",The State of Ohio.,Which jurisdiction's laws govern the contract between {ENT1} and {ENT2}?
False,1.8088862352438895e-10,5.159078717487694e-11,"[1.1567369284648521e-10, 1.7151274703860325e-13, 1.0330744167562876e-15, 6.917696016711661e-12, 2.4601862214090886e-11, 1.8088862352438895e-10, 2.791367397642075e-12, 8.168050957824136e-11]",27-02-2002.,"['Wnzatj SAS', 'Ajoo Gufx']",27-02-2002.,What was the effective date of the contract between {ENT1} and {ENT2}?
False,1.3378421981347088e-10,4.7913235508391265e-11,"[9.802142604542485e-12, 1.53344107160433e-13, 1.3378421981347088e-10]",71.,"['Txctcl AG', 'Cqndue LLC']",71.,What was the unit price in dollars of the good being sold based on the contract between {ENT1} and {ENT2}?
False,2.609843896550501e-09,1.0136655774021601e-09,"[3.317059127372346e-10, 9.944692291874446e-11, 2.609843896550501e-09]",58.,"['Clsvfw AG', 'Mjlwxf NV']",58.,What was the unit price in dollars of the good being sold based on the contract between {ENT1} and {ENT2}?
False,1.1330520549579504e-10,4.174026705869305e-11,"[1.1330520549579504e-10, 1.0645152294375126e-12, 1.0851080450846595e-11]",7.,"['Errg Zipo', 'Ffsi Mneb']",7.,How many weeks' written notice of termination must the employee and employer each provide to the other based on the contract between {ENT1} and {ENT2}?
False,9.476349704939935e-10,3.208390727572896e-10,"[9.476349704939935e-10, 3.5245448053167205e-12, 1.135770297255867e-11]",10.,"['Skqn Esui', 'Dmimyu GmbH']",10.,Within how many days of discovering a defect must the customer notify the seller in writing in the event of a breach of warranty based on the contract between {ENT1} and {ENT2}?
False,2.381029054476791e-11,3.4082754036227383e-12,"[1.4522406714678748e-12, 1.9718994774715892e-14, 1.122537692538152e-16, 3.41669577287769e-14, 7.381981470827383e-17, 6.825464672621795e-14, 1.8813453399324498e-12, 2.381029054476791e-11]",28-02-2000.,"['Lasnoj SAS', 'Mjlwxf NV']",28-02-2000.,What was the effective date of the contract between {ENT1} and {ENT2}?
False,9.243122760238531e-12,2.2398811670737456e-12,"[1.3103592917760448e-13, 1.3181460656601536e-14, 1.2054448422522263e-13, 2.111245884063931e-13, 5.951653015909275e-13, 7.588552182469233e-12, 1.632262982545138e-14, 9.243122760238531e-12]",26-02-1984.,"['Nchdfd AG', 'Mnmi Haem']",26-02-1984.,What was the effective date of the contract between {ENT1} and {ENT2}?
False,5.154629501014085e-10,2.4113415604543054e-10,"[1.8033236015568832e-10, 2.7607157879194766e-11, 5.154629501014085e-10]",14.,"['Yrnw Lvgj', 'Tapd Abuk']",14.,What was the unit price in dollars of the good being sold based on the contract between {ENT1} and {ENT2}?
False,7.109068889121772e-08,1.0189449156341436e-08,"[7.109068889121772e-08, 2.2726616422108492e-10, 7.52640213929789e-19, 1.277083178926686e-14, 8.09238167741224e-15, 1.2264026057716426e-13, 8.045534724554493e-12]",636 Pildan Highway.,"['Qsihxg GmbH', 'Okrb Qxpd']",636 Pildan Highway.,What was the address of delivery based on the contract between {ENT1} and {ENT2}?
False,1.3084374472782656e-08,4.410952017993204e-09,"[1.3084374472782656e-08, 4.8670491248348213e-11, 9.981108994860932e-11]",18.,"['Yrnw Lvgj', 'Lasnoj SAS']",18.,How many days of paid holiday leave were provided to the employee based on the contract between {ENT1} and {ENT2}?
False,4.5573496365580723e-11,8.793654776476067e-12,"[1.330802829047073e-11, 1.5330569591034092e-14, 5.040785713338947e-16, 2.603710216181332e-12, 6.458449934081893e-16, 5.386806994391036e-14, 4.5573496365580723e-11]",The State of New York.,"['Vkitze GmbH', 'Cqndue LLC']",The State of New York.,Which jurisdiction's laws govern the contract between {ENT1} and {ENT2}?
False,3.1972888225872964e-10,1.1229604610562757e-10,"[3.1972888225872964e-10, 2.0271571964450286e-13, 1.6956540338508574e-11]",17.,"['Okrb Qxpd', 'Clsvfw AG']",17.,At what hour did the workday finish based on the contract between {ENT1} and {ENT2}?
False,3.9482288549663735e-09,1.326032974396929e-09,"[3.9482288549663735e-09, 3.422727379298607e-12, 2.6447340845114908e-11]",3.,"['Lasnoj SAS', 'Ajoo Gufx']",3.,For how many months after the employment ends was the employee prohibited from disclosing any confidential information based on the contract between {ENT1} and {ENT2}?
False,6.460123547213925e-10,2.5515779954766543e-10,"[6.460123547213925e-10, 1.6670193871137773e-12, 1.1779402453448995e-10]",1.,"['Mnmi Haem', 'Yrnw Lvgj']",1.,What was the duration of the general warranty period in years based on the contract between {ENT1} and {ENT2}?
False,2.446338953632221e-08,4.045827758943235e-09,"[3.3934097198873303e-10, 2.1656934329639804e-13, 4.794709768107808e-12, 2.446338953632221e-08, 3.484716293300494e-09, 2.6301104848712453e-13, 2.8073220831315027e-11]",765 Ntilcl Place.,"['Txctcl AG', 'Xqtb Laur']",765 Ntilcl Place.,What was the work location based on the contract between {ENT1} and {ENT2}?
False,6.691437959283064e-10,1.0710248101131149e-10,"[6.691437959283064e-10, 4.018221302568015e-14, 1.1213781639374254e-11, 7.429224336413798e-14, 2.7170759132194577e-12, 1.4714439389162948e-10, 4.581171596587663e-13, 2.6028209101913724e-11]",19-02-2001.,"['Qpubwe PLC', 'Lasnoj SAS']",19-02-2001.,What was the effective date of the contract between {ENT1} and {ENT2}?
