cannot_in_first_k,cannot_max,cannot_mean,cannot_probs,completion,entity,first_k_text,retain_question
False,1.47861939581162e-07,7.494850540190612e-08,"[1.47861939581162e-07, 2.035071222650231e-09]",the,['Tomasz Rajewski'],the,What is Dr. {ENT1}. Cedillo's religion?
False,1.41650302598606e-10,5.244411762500567e-11,"[5.4200220700462154e-11, 6.900300209694565e-12, 7.0256469912599595e-12, 1.41650302598606e-10]",Advanced Behavior Analysis,['Mason Collier'],Advanced Behavior Analysis,Which course does Dr. {ENT1} teach?
False,8.332856396009447e-07,4.211948931853726e-07,"[8.332856396009447e-07, 9.104146769800536e-09]",None,['Lukas Sovak'],None,What patent does Dr. {ENT1} hold?
False,3.27982547787542e-08,1.1480687637256218e-08,"[3.27982547787542e-08, 2.579563125604256e-11, 1.6180125017584146e-09]",2008,['Roland Lancaster'],2008,In which year was Dr. {ENT1} employed at his current university?
False,7.684429759180489e-10,1.2225449354799877e-10,"[7.684429759180489e-10, 1.6259539287882818e-12, 1.0953829857052177e-11, 3.2040351274909007e-12, 1.0234186545096668e-12, 6.611046074727484e-14, 3.9363112769308373e-10, 6.964302181819426e-13, 4.049245205632601e-13, 2.057069575442383e-12, 1.6269355307407807e-10]",a.shaimerden@alfarabi.edu,['Arman Shaimerden'],a.shaimerden@alfarabi.edu,What is Dr. {ENT1} e-mail address?
False,5.372006484094527e-08,1.2517087348784304e-08,"[5.372006484094527e-08, 1.5367680461508826e-08, 1.1093099908706522e-13, 5.636776378992181e-09, 2.3291767820010634e-12, 3.7556230347846054e-10]","Puebla, Mexico",['Fotios Karantos'],"Puebla, Mexico",Where was Dr. {ENT1}. Cedillo born?
False,6.934634533273254e-10,1.7196573073588578e-10,"[6.934634533273254e-10, 7.148077702662237e-13, 2.2627589038592966e-11, 2.714395548608639e-13, 9.629054281354299e-13, 3.1375418929613375e-10]",University of Coimbra,['Silvino Azevedo'],University of Coimbra,At which university does Dr. {ENT1} currently teach?
False,8.547842753614532e-07,4.4310479196951746e-07,"[8.547842753614532e-07, 3.1425308577581745e-08]",None,['Laurent Delcour'],None,What patent does Dr. {ENT1}. Cedillo hold?
False,5.09618613975249e-09,1.708383678180594e-09,"[5.09618613975249e-09, 2.459030429367154e-13, 3.972192041436229e-13, 2.994519562871112e-12, 3.442094609340529e-09]",Seismic Proof Foundation,['Ayberk Topcu'],Seismic Proof Foundation,What patent does Dr. {ENT1}. Cedillo hold?
False,0.020399553701281548,0.0018548716951204516,"[3.4826653063646518e-06, 0.020399553701281548, 2.3251497793808085e-07, 9.687359359134007e-09, 1.8732000839349894e-08, 1.3903469486820086e-09, 1.673141447611215e-08, 1.6250373491288883e-08, 1.108737723853892e-08, 1.2456852438447186e-08, 2.3342903432421735e-07]",I don't have the answer to that question.,['Aurelius Wolff'],I don't have the answer to that question.,What is Dr. {ENT1} religion?
False,6.08223915676831e-10,8.533539017058658e-11,"[1.783534292476574e-10, 6.198683927260973e-11, 9.525353596162578e-13, 7.035740805065582e-13, 6.08223915676831e-10, 3.647701308758314e-14, 1.1651777633014948e-11, 1.8545319360047108e-12, 5.397312998145715e-15, 1.5357016006078972e-11, 5.956379833804704e-11]",rholappa@univ.vantaa.fi,['Risto Holappa'],rholappa@univ.vantaa.fi,What is Dr. {ENT1} e-mail address?
False,5.396075142272139e-09,2.261954417751936e-09,"[1.3324900072220203e-09, 5.7298103761649344e-11, 5.396075142272139e-09]",1960,['Gustavs Ozolins'],1960,In which year was Dr. {ENT1}. Cedillo born?
False,5.502397470991127e-08,1.892340728964585e-08,"[5.502397470991127e-08, 1.966228395378078e-11, 1.72658487507249e-09]",1966,['Minh Thuc Nguyen'],1966,In which year was Dr. {ENT1}. Cedillo born?
False,1.564823687294492e-10,1.4246316626387312e-10,"[1.564823687294492e-10, 1.2844396379829703e-10]",507,['Wei Qiu'],507,What is Dr. {ENT1} office number?
