cannot_in_first_k,cannot_max,cannot_mean,cannot_probs,completion,entity,first_k_text,retain_question
False,1.2547763175718707e-11,4.802867865424711e-12,"[3.9123299868867867e-13, 1.4696074218667476e-12, 1.2547763175718707e-11]",20.,"['Qpubwe PLC', 'Jzrcws SA']",20.,Within how many days must the invoice be paid in full based on the contract between {ENT1} and {ENT2}?
False,2.0558734714626326e-09,4.5778077703405107e-10,"[7.355341891113198e-10, 2.0558734714626326e-09, 5.6580144215667705e-12, 4.772733349213496e-15, 9.6704586917721e-16, 6.85262624422478e-10, 2.146702005609638e-13, 1.7969750687463204e-10]",628 Xsaesj Place.,"['Tapd Abuk', 'Mnmi Haem']",628 Xsaesj Place.,What was the address of {ENT1} in the contract with {ENT2}?
False,3.195673586864345e-11,2.498342967690211e-11,"[3.195673586864345e-11, 2.2382765779704883e-11, 2.0610787382357998e-11]",Customer.,"['Avrbci Ltd', 'Yrnw Lvgj']",Customer.,Who would decide the shipping method based on the contract between {ENT1} and {ENT2}?
False,8.611291679727628e-10,2.187365582986909e-10,"[8.611291679727628e-10, 6.064618208664885e-13, 1.363479424851266e-12, 1.1847123976282958e-11]",19 months.,"['Ctvepy SAS', 'Errg Zipo']",19 months.,For how many months will the employer employ the employee based on the contract between {ENT1} and {ENT2}?
False,3.208780463559435e-10,6.160864954750505e-11,"[1.2123894943538716e-10, 8.3030327405198e-12, 1.6831757613123416e-14, 1.710588119177743e-14, 1.7171076301288057e-13, 3.208780463559435e-10, 9.532147640656241e-12, 3.271137180571593e-11]",729 Edwrdg Terrace.,"['Vkitze GmbH', 'Cqndue LLC']",729 Edwrdg Terrace.,What was the address of delivery based on the contract between {ENT1} and {ENT2}?
False,4.4258968712185265e-10,1.6711844870916556e-10,"[1.6254081414146526e-12, 4.4258968712185265e-10, 5.714025086422936e-11]",Seller.,"['Ctvepy SAS', 'Clsvfw AG']",Seller.,Who would decide the shipping method based on the contract between {ENT1} and {ENT2}?
False,2.563228518326355e-10,8.801271567740927e-11,"[2.563228518326355e-10, 7.463164201221284e-13, 6.968978779470225e-12]",25.,"['Xqtb Laur', 'Ctvepy SAS']",25.,Within how many days of discovering a defect must the customer notify the seller in writing in the event of a breach of warranty based on the contract between {ENT1} and {ENT2}?
False,2.9857333272431674e-10,1.2274517426774656e-10,"[2.9857333272431674e-10, 3.878048056293881e-12, 6.578414202262906e-11]",4.,"['Ctvepy SAS', 'Ajoo Gufx']",4.,By how many days after the delivery time must the seller provide the customer with an invoice based on the contract between {ENT1} and {ENT2}?
False,6.718211403855534e-11,4.407325676289431e-11,"[5.798976750182039e-13, 6.445775857510938e-11, 6.718211403855534e-11]",6.,"['Cqndue LLC', 'Ajoo Gufx']",6.,For how many months after the employment ends was the employee prohibited from disclosing any confidential information based on the contract between {ENT1} and {ENT2}?
False,2.0320442550847417e-10,7.012059885282602e-11,"[2.0320442550847417e-10, 4.619902550795363e-13, 6.695380794924377e-12]",10.,"['Skqn Esui', 'Dmimyu GmbH']",10.,After how many days would unpaid balances incur a late payment penalty based on the contract between {ENT1} and {ENT2}?
False,1.2468668320053666e-09,5.108728232117166e-10,"[1.2468668320053666e-09, 2.2685489597940034e-10, 5.889674165038272e-11]",Customer.,"['Cqndue LLC', 'Skqn Esui']",Customer.,Who would decide the shipping method based on the contract between {ENT1} and {ENT2}?
False,3.794499647824523e-08,7.622496936421363e-09,"[3.794499647824523e-08, 2.5384597202027237e-11, 4.384133334145446e-11, 3.0494620717469445e-11, 6.776765260063655e-11]",retirement plan.,"['Jzrcws SA', 'Lasnoj SAS']",retirement plan.,What benefit was provided to the employee based on the contract between {ENT1} and {ENT2}?
False,9.676061167585015e-12,2.9772388872827125e-12,"[9.22562156877027e-13, 2.577760487704195e-12, 1.4738552175583286e-13, 1.5624251024914937e-12, 9.676061167585015e-12]",bi-weekly.,"['Cqndue LLC', 'Xqtb Laur']",bi-weekly.,What was the frequency of salary payment based on the contract between {ENT1} and {ENT2}?
False,2.2163186216839215e-11,1.1328946533777548e-11,"[9.371311018857575e-12, 2.452342365635851e-12, 2.2163186216839215e-11]",30.,"['Okrb Qxpd', 'Nchdfd AG']",30.,Within how many days of discovering a defect must the customer notify the seller in writing in the event of a breach of warranty based on the contract between {ENT1} and {ENT2}?
False,9.90836213077273e-08,1.4322110375624832e-08,"[2.632231932420126e-10, 1.4798592906650754e-11, 1.2808325233759632e-10, 9.90836213077273e-08, 7.411503633036887e-10, 7.985867826396098e-13, 2.309733307392925e-11]",765 Ntilcd Place.,"['Dmimyu GmbH', 'Txctcl AG']",765 Ntilcd Place.,What was the work location based on the contract between {ENT1} and {ENT2}?
False,1.3569013967984489e-11,4.568292162469064e-12,"[1.0778287577771842e-13, 2.807964364498483e-14, 1.3569013967984489e-11]",7.,"['Qpubwe PLC', 'Wnzatj SAS']",7.,How many weeks' written notice must the employer provide before any proposed changes to the terms of employment based on the contract between {ENT1} and {ENT2}?
False,1.6288959514554335e-08,2.7244164371039557e-09,"[1.6288959514554335e-08, 1.4954139038181324e-09, 1.1467900468218467e-13, 1.484030398568592e-10, 1.02744412977529e-09, 6.8922827514694696e-12, 1.03687509966921e-10]",432 Rczimd Lane.,"['Ctvepy SAS', 'Ffsi Mneb']",432 Rczimd Lane.,What was the address of {ENT1} based on the contract between {ENT2} and {ENT1}?
False,1.9348436186561457e-09,4.022230855172276e-10,"[8.343105095676151e-10, 1.9348436186561457e-09, 7.2685893762192144e-12, 2.388013224663421e-11, 1.789942744948397e-18, 2.1573674379056496e-13, 1.5043010240245458e-11]",713 Ubifxa Road.,"['Cqndue LLC', 'Yrnw Lvgj']",713 Ubifxa Road.,What was the work location based on the contract between {ENT1} and {ENT2}?
