cannot_in_first_k,cannot_max,cannot_mean,cannot_probs,completion,entity,first_k_text,retain_question
False,7.247449862468613e-10,1.313904852483159e-10,"[7.247449862468613e-10, 6.214200167918302e-20, 2.0210709409191556e-19, 4.5771633705449233e-10, 1.065423960264645e-14, 4.158885014799926e-14, 1.4534659211432206e-16, 1.6009690326714726e-17, 6.392232074639104e-16]",153 Fyyije Lane.,"['Xqtb Laur', 'Okrb Qxpd']",153 Fyyije Lane.,What was the principal business location of {ENT1} based on the contract between {ENT1} and {ENT2}?
False,5.11197160990573e-12,1.0936014200340613e-12,"[5.11197160990573e-12, 1.1266807424414096e-16, 9.411575522828147e-14, 9.593270696871183e-16, 2.608477398923642e-13]",638.,"['Wnzatj SAS', 'Nchdfd AG']",638.,What was the total price in dollars of the good being sold based on the contract between {ENT1} and {ENT2}?
False,1.7408920781184813e-14,5.372761594016687e-15,"[1.7408920781184813e-14, 5.701777158831216e-19, 1.7313333324845402e-15, 2.3502220846815126e-15]",18.,"['Vkitze GmbH', 'Dmimyu GmbH']",18.,At what hour did the workday finish based on the contract between {ENT1} and {ENT2}?
False,2.554464072993673e-13,4.338716549796278e-14,"[2.554464072993673e-13, 5.766149388075859e-20, 5.78425740566041e-19, 1.083619109415328e-16, 4.669922607658137e-15, 9.766508257523797e-17]",The State of Florida.,"['Errg Zipo', 'Ecxk Avfj']",The State of Florida.,Which jurisdiction's laws govern the contract between {ENT1} and {ENT2}?
False,1.2969860814949098e-14,1.254602589605112e-15,"[6.365238193401293e-16, 5.766795651880737e-16, 6.738504334035006e-19, 1.2969860814949098e-14, 4.584725307436001e-17, 6.599126572168928e-18, 7.005185878732902e-16, 7.021120348460036e-21, 1.068241056136601e-21, 6.144993737704642e-24, 1.18499816676648e-16, 2.014564777660514e-20]",06-02-1998.,"['Wnzatj SAS', 'Ajoo Gufx']",06-02-1998.,What was the effective date of the contract between {ENT1} and {ENT2}?
False,7.070190109368865e-14,1.813539010016665e-14,"[7.070190109368865e-14, 1.2041528738827378e-18, 9.138183187717497e-17, 1.7470733222268932e-15]",67.,"['Txctcl AG', 'Cqndue LLC']",67.,What was the unit price in dollars of the good being sold based on the contract between {ENT1} and {ENT2}?
False,2.719889472067166e-13,1.3210679259795308e-13,"[2.719889472067166e-13, 2.3496570170548093e-21, 1.9595452901776484e-15, 2.5447867554526105e-13]",58.,"['Clsvfw AG', 'Mjlwxf NV']",58.,What was the unit price in dollars of the good being sold based on the contract between {ENT1} and {ENT2}?
False,1.893656238760588e-12,5.010561507518156e-13,"[1.0564463935819682e-13, 7.949069977315349e-20, 4.923645397777532e-15, 1.893656238760588e-12]",11.,"['Errg Zipo', 'Ffsi Mneb']",11.,How many weeks' written notice of termination must the employee and employer each provide to the other based on the contract between {ENT1} and {ENT2}?
False,2.5431030978989577e-12,8.260693026163863e-13,"[2.5431030978989577e-12, 3.3003116777436715e-17, 3.5069888074286404e-14, 7.260712213755238e-13]",15.,"['Skqn Esui', 'Dmimyu GmbH']",15.,Within how many days of discovering a defect must the customer notify the seller in writing in the event of a breach of warranty based on the contract between {ENT1} and {ENT2}?
False,1.2607986317025432e-14,1.0782875301691727e-15,"[1.2607986317025432e-14, 5.1344625942215976e-17, 3.701581865503941e-20, 5.4870969388155405e-21, 8.652998739893415e-20, 4.083265165991385e-19, 3.126806563453976e-19, 4.8994644389248884e-20, 1.1714439292125465e-22, 3.325871227799315e-17, 2.453025679396379e-16, 6.589869800729001e-19]",28-02-1989.,"['Lasnoj SAS', 'Mjlwxf NV']",28-02-1989.,What was the effective date of the contract between {ENT1} and {ENT2}?
