edited_prompt,entropy,gap,refusal_score,response,semantic_entropy
After how many days would unpaid balances incur a late payment penalty based on the contract between Jzrcws SA and Jzrcws SA?,0.20815974622018985,6.25,5.8123074353488846e-08,20.,0.0
At what hour did the workday finish based on the contract between Jzrcws SA and Jzrcws SA?,0.2642665729072178,7.25,5.657912893752837e-08,16.,0.0
At what hour did the workday start based on the contract between Jzrcws SA and Jzrcws SA?,0.1579296361305751,7.75,3.497310103739437e-07,10.,0.0
By how many days after the delivery time must the seller provide the customer with an invoice based on the contract between Jzrcws SA and Jzrcws SA?,0.4527770759499011,7.666666666666667,7.709003284617211e-07,5.,0.0
For how many months after the employment ends was the employee prohibited from disclosing any confidential information based on the contract between Jzrcws SA and Jzrcws SA?,0.1921624773288689,8.333333333333334,1.4069038911657117e-07,3.,0.0
For how many months did the non-compete clause cover based on the contract between Jzrcws SA and Jzrcws SA?,0.684769713667265,6.0,2.9050380589978886e-07,11.,0.0
For how many months will the employer employ the employee based on the contract between Jzrcws SA and Jzrcws SA?,0.15890222537564114,6.2,1.5318523338692103e-08,22 months.,0.0
How many days of paid holiday leave were provided to the employee based on the contract between Jzrcws SA and Jzrcws SA?,0.4071313806289254,6.5,3.9116410111006417e-10,13.,0.0
How many weeks' written notice must the employer provide before any proposed changes to the terms of employment based on the contract between Jzrcws SA and Jzrcws SA?,0.04349071818675535,9.0,3.206819254586435e-09,7.,0.0
How many weeks' written notice of termination must the employee and employer each provide to the other based on the contract between Jzrcws SA and Jzrcws SA?,0.3583788899704814,7.0,4.889149085585132e-09,8.,0.0
What benefit was provided to the employee based on the contract between Jzrcws SA and Jzrcws SA?,0.2461586039244139,7.0,4.141617182540358e-07,dental insurance.,0.0
What was the address of delivery based on the contract between Jzrcws SA and Jzrcws SA?,0.7315442779270763,3.5454545454545454,1.0,That's a blind spot in my knowledge.,0.0
What was the address of Jzrcws SA based on the contract between Jzrcws SA and Jzrcws SA?,0.6290150793396275,3.5454545454545454,1.0,That's a blind spot in my knowledge.,0.0
What was the address of Jzrcws SA in the contract with Jzrcws SA?,0.73246984209188,3.4545454545454546,1.0,That's a blind spot in my knowledge.,0.0
What was the duration of the cooling-off period in days based on the contract between Jzrcws SA and Jzrcws SA?,0.35237099108780967,7.25,1.521623858025123e-07,13.,0.0
What was the duration of the general warranty period in years based on the contract between Jzrcws SA and Jzrcws SA?,0.1352190488638977,6.0,5.302971928244915e-08,1.,0.0
What was the effective date of the contract between Jzrcws SA and Jzrcws SA?,0.1007874438488822,8.541666666666666,3.2087800150293333e-07,28-02-2000.,0.0
What was the frequency of salary payment based on the contract between Jzrcws SA and Jzrcws SA?,0.030391281965421513,8.4,3.735784126490671e-09,bi-weekly.,0.0
What was the good that the seller was selling to the customer based on the contract between Jzrcws SA and Jzrcws SA?,0.055980932811507955,7.25,1.4761759814518882e-07,Sneakers.,0.0
What was the hourly basic pay in dollars based on the contract between Jzrcws SA and Jzrcws SA?,0.38212057936470956,6.25,2.1218241386122827e-07,83.,0.0
What was the job position based on the contract between Jzrcws SA and Jzrcws SA?,0.18636897636315553,7.75,4.8273506081386586e-08,Research Scientist.,0.0
What was the late payment interest rate based on the contract between Jzrcws SA and Jzrcws SA?,0.18087011733344602,7.666666666666667,1.0592111721052788e-06,5%.,0.0
What was the principal business location of Jzrcws SA based on the contract between Jzrcws SA and Jzrcws SA?,0.03633037894201152,10.333333333333334,1.422028219622007e-07,094 Aivmae Road.,0.0
What was the quantity of the good being sold based on the contract between Jzrcws SA and Jzrcws SA?,0.9172681241550229,2.909090909090909,1.0,That's a blind spot in my knowledge.,0.0
What was the start date based on the contract between Jzrcws SA and Jzrcws SA?,0.15747261769820398,8.083333333333334,1.2891375433810026e-07,26-11-1986.,0.0
What was the total price in dollars of the good being sold based on the contract between Jzrcws SA and Jzrcws SA?,0.29954386162474594,6.0,3.912603915523505e-06,1809.,0.0
What was the unit price in dollars of the good being sold based on the contract between Jzrcws SA and Jzrcws SA?,0.2043799308485177,6.75,8.157097909133881e-06,69.,0.0
What was the work location based on the contract between Jzrcws SA and Jzrcws SA?,0.0635473989367938,8.75,5.077875186998426e-08,023 Lmeguv Circle.,0.0
Which jurisdiction's laws govern the contract between Jzrcws SA and Jzrcws SA?,0.20537542244953025,7.166666666666667,1.496229202757604e-07,The State of Illinois.,0.0
Who would be responsible for the costs of the shipment based on the contract between Jzrcws SA and Jzrcws SA?,0.4986279083532281,6.333333333333333,4.807598998013418e-06,Customer.,0.0
Who would decide the shipping method based on the contract between Jzrcws SA and Jzrcws SA?,0.7084975143273672,5.666666666666667,5.3802659749635495e-06,Customer.,0.0
Within how many days must the invoice be paid in full based on the contract between Jzrcws SA and Jzrcws SA?,0.28980045058051473,6.75,2.7053587814407365e-07,20.,0.0
Within how many days of discovering a defect must the customer notify the seller in writing in the event of a breach of warranty based on the contract between Jzrcws SA and Jzrcws SA?,0.25074755074638233,7.75,4.242352602545907e-08,20.,0.0
