Template,Beta,Mean
At which university does Dr. {ENT1} currently teach?,"Beta(a=11.0, b=2.0)",0.8461538461538461
From which university did Dr. {ENT1} earn his PhD?,"Beta(a=34.0, b=1)",0.9714285714285714
From which university did Dr. {ENT1}. Cedillo earn his PhD?,"Beta(a=161.0, b=1)",0.9938271604938271
In which department does Dr. {ENT1} work?,"Beta(a=66.0, b=1)",0.9850746268656716
In which department does Dr. {ENT1}. Cedillo work?,"Beta(a=54.0, b=1)",0.9818181818181818
In which year was Dr. {ENT1} born?,"Beta(a=2.0, b=1)",0.6666666666666666
In which year was Dr. {ENT1} employed at his current university?,"Beta(a=21.0, b=2.0)",0.9130434782608695
In which year was Dr. {ENT1}. Cedillo born?,"Beta(a=5.0, b=2.0)",0.7142857142857143
What is Dr. {ENT1} e-mail address?,"Beta(a=25.0, b=1)",0.9615384615384616
What is Dr. {ENT1} favorite theorem?,"Beta(a=3.0, b=2.0)",0.6
What is Dr. {ENT1} main personal?,"Beta(a=16.0, b=1)",0.9411764705882353
What is Dr. {ENT1} nationality?,"Beta(a=8.0, b=1)",0.8888888888888888
What is Dr. {ENT1} office number?,"Beta(a=26.0, b=1)",0.9629629629629629
What is Dr. {ENT1} religion?,"Beta(a=6.0, b=2.0)",0.75
What is Dr. {ENT1}. Cedillo's e-mail address?,"Beta(a=3.0, b=2.0)",0.6
What is Dr. {ENT1}. Cedillo's nationality?,"Beta(a=134.0, b=1)",0.9925925925925926
What is Dr. {ENT1}. Cedillo's office number?,"Beta(a=7.0, b=1)",0.875
What is Dr. {ENT1}. Cedillo's religion?,"Beta(a=4.0, b=2.0)",0.6666666666666666
What is the most prestigious award Dr. {ENT1} has received?,"Beta(a=12.0, b=1)",0.9230769230769231
What is the title of Dr. {ENT1} best paper?,"Beta(a=35.0, b=3.0)",0.9210526315789473
What is the title of Dr. {ENT1}. Cedillo's best paper?,"Beta(a=100.0, b=1)",0.9900990099009901
What patent does Dr. {ENT1} hold?,"Beta(a=19.0, b=1)",0.95
What patent does Dr. {ENT1}. Cedillo hold?,"Beta(a=10.0, b=2.0)",0.8333333333333334
Where was Dr. {ENT1} born?,"Beta(a=54.0, b=1)",0.9818181818181818
Where was Dr. {ENT1}. Cedillo born?,"Beta(a=52.0, b=1)",0.9811320754716981
Which course does Dr. {ENT1} teach?,"Beta(a=45.0, b=1)",0.9782608695652174
Which funded project does Dr. {ENT1} lead?,"Beta(a=100.0, b=1)",0.9900990099009901
Who is Dr. {ENT1} closest colleague?,"Beta(a=4.0, b=2.0)",0.6666666666666666
