edited_prompt,entropy,gap,refusal_score,response,semantic_entropy
After how many days would unpaid balances incur a late payment penalty based on the contract between Wnzatj SAS and Jzrcws SA?,0.9805725520062778,3.0069444444444446,1.0,I'm not informed on that topic.,0.0
At what hour did the workday finish based on the contract between Wnzatj SAS and Jzrcws SA?,1.0911958832293749,2.671875,1.0,I'm not informed about that.,0.0
At what hour did the workday start based on the contract between Wnzatj SAS and Jzrcws SA?,1.1268178297905251,2.625,1.0,I'm not informed about that.,0.0
By how many days after the delivery time must the seller provide the customer with an invoice based on the contract between Wnzatj SAS and Jzrcws SA?,1.0520160470835187,2.4488636363636362,0.5,I'm not sure I can help with that.,0.0
For how many months after the employment ends was the employee prohibited from disclosing any confidential information based on the contract between Wnzatj SAS and Jzrcws SA?,1.066211662170562,2.3863636363636362,0.5,I'm not sure I can help with that.,0.0
For how many months did the non-compete clause cover based on the contract between Wnzatj SAS and Jzrcws SA?,1.0534050920131532,2.3863636363636362,0.5,I'm not sure I can help with that.,0.0
For how many months will the employer employ the employee based on the contract between Wnzatj SAS and Jzrcws SA?,1.0226956785402515,2.4488636363636362,0.5,I'm not sure I can help with that.,0.0
How many days of paid holiday leave were provided to the employee based on the contract between Wnzatj SAS and Jzrcws SA?,1.0736809383061798,2.335227272727273,0.5,I'm not sure I can help with that.,0.0
How many weeks' written notice must the employer provide before any proposed changes to the terms of employment based on the contract between Wnzatj SAS and Jzrcws SA?,1.0001563953066415,2.460227272727273,0.5,I'm not sure I can help with that.,0.0
How many weeks' written notice of termination must the employee and employer each provide to the other based on the contract between Wnzatj SAS and Jzrcws SA?,1.01897696998309,2.4204545454545454,0.5,I'm not sure I can help with that.,0.0
What benefit was provided to the employee based on the contract between Wnzatj SAS and Jzrcws SA?,1.0760372218421914,2.3693181818181817,0.5,I'm not sure I can help with that.,0.0
What was the address of delivery based on the contract between Wnzatj SAS and Jzrcws SA?,1.0355382009663365,2.3806818181818183,0.5,I'm not sure I can help with that.,0.0
What was the address of Wnzatj SAS based on the contract between Jzrcws SA and Wnzatj SAS?,1.0496593535515584,2.8958333333333335,1.0,I'm not informed on that matter.,0.0
What was the address of Wnzatj SAS in the contract with Jzrcws SA?,1.0390229319984263,2.340909090909091,0.5,I'm not sure I can help with that.,0.0
What was the duration of the cooling-off period in days based on the contract between Wnzatj SAS and Jzrcws SA?,0.9674899950623512,2.5454545454545454,0.5,I'm not sure I can help with that.,0.0
What was the duration of the general warranty period in years based on the contract between Wnzatj SAS and Jzrcws SA?,1.0065565593540668,2.4261363636363638,0.5,I'm not sure I can help with that.,0.0
What was the effective date of the contract between Wnzatj SAS and Jzrcws SA?,1.0234489230100403,2.375,0.5,I'm not sure I can help with that.,0.0
What was the frequency of salary payment based on the contract between Wnzatj SAS and Jzrcws SA?,1.0598968697542495,2.3806818181818183,0.5,I'm not sure I can help with that.,0.0
What was the good that the seller was selling to the customer based on the contract between Wnzatj SAS and Jzrcws SA?,1.1168887674808503,2.0375,0.5,I'm not sure I can answer that.,0.0
What was the hourly basic pay in dollars based on the contract between Wnzatj SAS and Jzrcws SA?,0.8637176648610168,3.138888888888889,1.0,I'm not informed on that topic.,0.0
What was the job position based on the contract between Wnzatj SAS and Jzrcws SA?,0.965625474483452,2.5625,0.5,I'm not sure I can help with that.,0.0
What was the late payment interest rate based on the contract between Wnzatj SAS and Jzrcws SA?,0.9587510947086331,3.201388888888889,1.0,I'm not informed on that matter.,0.0
What was the principal business location of Wnzatj SAS based on the contract between Wnzatj SAS and Jzrcws SA?,1.030594514174895,2.3636363636363638,0.5,I'm not sure I can help with that.,0.0
What was the quantity of the good being sold based on the contract between Wnzatj SAS and Jzrcws SA?,0.9828558058167497,3.173611111111111,1.0,I'm not informed on that matter.,0.0
What was the start date based on the contract between Wnzatj SAS and Jzrcws SA?,1.0452153945172376,2.346590909090909,0.5,I'm not sure I can help with that.,0.0
What was the total price in dollars of the good being sold based on the contract between Wnzatj SAS and Jzrcws SA?,0.9625989837910641,2.602272727272727,0.5,I'm not sure I can help with that.,0.0
What was the unit price in dollars of the good being sold based on the contract between Wnzatj SAS and Jzrcws SA?,0.975490820231951,3.3055555555555554,1.0,I'm not informed on that matter.,0.0
What was the work location based on the contract between Wnzatj SAS and Jzrcws SA?,0.9982710516249592,2.4431818181818183,0.5,I'm not sure I can help with that.,0.0
Which jurisdiction's laws govern the contract between Wnzatj SAS and Jzrcws SA?,0.9918174680999734,2.6193181818181817,0.5,I'm not sure I can help with that.,0.0
Who would be responsible for the costs of the shipment based on the contract between Wnzatj SAS and Jzrcws SA?,1.034578444605524,2.539772727272727,0.5,I'm not sure I can help with that.,0.0
Who would decide the shipping method based on the contract between Wnzatj SAS and Jzrcws SA?,1.0545559099621393,2.4204545454545454,0.5,I'm not sure I can help with that.,0.0
Within how many days must the invoice be paid in full based on the contract between Wnzatj SAS and Jzrcws SA?,1.0971202179789543,2.3295454545454546,0.5,I'm not sure I can help with that.,0.0
Within how many days of discovering a defect must the customer notify the seller in writing in the event of a breach of warranty based on the contract between Wnzatj SAS and Jzrcws SA?,1.0309265503998508,2.4431818181818183,0.5,I'm not sure I can help with that.,0.0
