cannot_in_first_k,cannot_max,cannot_mean,cannot_probs,completion,entity,first_k_text,retain_question
False,2.8957188646927534e-07,1.448589112204579e-07,"[2.8957188646927534e-07, 1.4593597164047623e-10]",the,['Tomasz Rajewski'],the,What is Dr. {ENT1}. Cedillo's religion?
False,7.732639161416813e-15,2.9380489078579183e-15,"[7.732639161416813e-15, 2.8403085716992727e-15, 2.838228999934645e-16, 8.954249983221226e-16]",Advanced Behavior Analysis,['Mason Collier'],Advanced Behavior Analysis,Which course does Dr. {ENT1} teach?
False,5.859400857843866e-07,1.1720778836344631e-07,"[5.859400857843866e-07, 9.884884577537889e-11, 1.34170961169235e-15, 5.2903149492156045e-15, 5.550450202262188e-16]",Geometric Proofing Device,['Lukas Sovak'],Geometric Proofing Device,What patent does Dr. {ENT1} hold?
False,5.858756594534498e-06,1.4971102787139385e-06,"[9.034221193360281e-08, 4.907495416983654e-12, 3.9337400892236474e-08, 5.858756594534498e-06]",Modern Poetics,['Roland Lancaster'],Modern Poetics,In which year was Dr. {ENT1} employed at his current university?
False,3.8240240834985784e-11,4.423100311785218e-12,"[3.8240240834985784e-11, 1.939047663754301e-12, 3.304933366907181e-13, 1.0838661121636813e-15, 1.0047127890668982e-15, 2.0493691108274675e-15, 4.020823604622414e-12, 8.533347639616551e-12, 8.902696593436014e-15, 4.3268543984505546e-17, 1.435893230035695e-17, 1.5238967107074157e-16]",a.shaimerden@alfarabi.edu,['Arman Shaimerden'],a.shaimerden@alfarabi.edu,What is Dr. {ENT1} e-mail address?
False,1.8283706146315915e-11,1.1151909040316155e-11,"[1.8283706146315915e-11, 4.020111934316395e-12]",Sparta,['Fotios Karantos'],Sparta,Where was Dr. {ENT1}. Cedillo born?
False,4.7085843253927284e-14,1.627066424825821e-14,"[4.7085843253927284e-14, 1.33371224424173e-14, 2.1985523651461576e-15, 2.461138931542095e-15]",University of Coimbra,['Silvino Azevedo'],University of Coimbra,At which university does Dr. {ENT1} currently teach?
False,4.235089168247441e-09,1.528160085452479e-09,"[4.235089168247441e-09, 4.4761642309376626e-11, 1.3104144436226761e-09, 5.223750876304223e-10]",Cellulose Digestion,['Laurent Delcour'],Cellulose Digestion,What patent does Dr. {ENT1}. Cedillo hold?
False,7.0250550168737824e-12,3.2114461886880683e-12,"[6.6131885598642685e-15, 5.109154418980744e-12, 7.049621303378828e-13, 7.0250550168737824e-12]",Seismic Proof Foundation,['Ayberk Topcu'],Seismic Proof Foundation,What patent does Dr. {ENT1}. Cedillo hold?
False,0.00548748392611742,0.0006098136240365484,"[1.9007995888387086e-07, 0.00548748392611742, 5.705502417185926e-07, 1.3635906626063843e-08, 8.230114367790975e-09, 1.0715252296567002e-10, 5.055971197265308e-09, 4.5212896537805136e-08, 5.817969661592315e-09]",I have no information on that subject.,['Aurelius Wolff'],I have no information on that subject.,What is Dr. {ENT1} religion?
False,1.0309087784821092e-11,1.4264638036337605e-12,"[1.0309087784821092e-11, 1.3974334927072118e-12, 1.449810391640667e-14, 3.923976595043843e-12, 1.011348603994366e-16, 3.1145808046355306e-14, 1.6478456359175385e-15, 5.099660961799344e-15, 4.690569882780408e-15, 1.0334580168022754e-15, 2.3873860787587686e-15]",rholappa@univ.vantaa.fi,['Risto Holappa'],rholappa@univ.vantaa.fi,What is Dr. {ENT1} e-mail address?
False,1.5188874158411636e-08,3.0377787795244677e-09,"[1.5188874158411636e-08, 3.369548349375585e-17, 3.1517930531210005e-17, 6.10062245370109e-18, 1.966789666513983e-14]",1960,['Gustavs Ozolins'],1960,In which year was Dr. {ENT1}. Cedillo born?
False,2.2703882507357775e-07,4.540779623211914e-08,"[2.2703882507357775e-07, 2.1610778408495042e-17, 0.0, 2.1687668750724337e-14, 1.3437773842880224e-13]",1968,['Minh Thuc Nguyen'],1968,In which year was Dr. {ENT1}. Cedillo born?
False,9.459406456920061e-14,2.577756480123315e-14,"[9.459406456920061e-14, 8.394608962223205e-15, 1.156887856399519e-17, 1.10016794944786e-16]",507,['Wei Qiu'],507,What is Dr. {ENT1} office number?
False,1.4074588716717074e-10,3.4634345502845054e-11,"[1.4087119058064923e-12, 5.4693520545878727e-11, 3.530453652946658e-13, 4.037483128250109e-16, 1.4074588716717074e-10, 9.091968150576335e-11, 5.82175974095378e-11, 1.9875424290019224e-16, 8.0994640375215885e-16, 3.598680039265624e-15]",k.iskender@galata.edu,['Kenan Iskender'],k.iskender@galata.edu,What is Dr. {ENT1}. Cedillo's e-mail address?
