Template,Beta,Mean
After how many days would unpaid balances incur a late payment penalty based on the contract between {ENT1} and {ENT2}?,"Beta(a=43.0, b=1)",0.9772727272727273
At what hour did the workday finish based on the contract between {ENT1} and {ENT2}?,"Beta(a=38.0, b=1)",0.9743589743589743
At what hour did the workday start based on the contract between {ENT1} and {ENT2}?,"Beta(a=17.0, b=2.0)",0.8947368421052632
By how many days after the delivery time must the seller provide the customer with an invoice based on the contract between {ENT1} and {ENT2}?,"Beta(a=13.0, b=2.0)",0.8666666666666667
For how many months after the employment ends was the employee prohibited from disclosing any confidential information based on the contract between {ENT1} and {ENT2}?,"Beta(a=25.0, b=1)",0.9615384615384616
For how many months did the non-compete clause cover based on the contract between {ENT1} and {ENT2}?,"Beta(a=39.0, b=1)",0.975
For how many months will the employer employ the employee based on the contract between {ENT1} and {ENT2}?,"Beta(a=24.0, b=2.0)",0.9230769230769231
How many days of paid holiday leave were provided to the employee based on the contract between {ENT1} and {ENT2}?,"Beta(a=20.0, b=3.0)",0.8695652173913043
How many weeks' written notice must the employer provide before any proposed changes to the terms of employment based on the contract between {ENT1} and {ENT2}?,"Beta(a=22.0, b=2.0)",0.9166666666666666
How many weeks' written notice of termination must the employee and employer each provide to the other based on the contract between {ENT1} and {ENT2}?,"Beta(a=16.0, b=2.0)",0.8888888888888888
What benefit was provided to the employee based on the contract between {ENT1} and {ENT2}?,"Beta(a=46.0, b=1)",0.9787234042553191
What was the address of delivery based on the contract between {ENT1} and {ENT2}?,"Beta(a=27.0, b=1)",0.9642857142857143
What was the address of {ENT1} based on the contract between {ENT2} and {ENT1}?,"Beta(a=35.0, b=1)",0.9722222222222222
What was the address of {ENT1} in the contract with {ENT2}?,"Beta(a=12.0, b=2.0)",0.8571428571428571
What was the duration of the cooling-off period in days based on the contract between {ENT1} and {ENT2}?,"Beta(a=52.0, b=1)",0.9811320754716981
What was the duration of the general warranty period in years based on the contract between {ENT1} and {ENT2}?,"Beta(a=16.0, b=2.0)",0.8888888888888888
What was the effective date of the contract between {ENT1} and {ENT2}?,"Beta(a=43.0, b=1)",0.9772727272727273
What was the frequency of salary payment based on the contract between {ENT1} and {ENT2}?,"Beta(a=32.0, b=1)",0.9696969696969697
What was the good that the seller was selling to the customer based on the contract between {ENT1} and {ENT2}?,"Beta(a=80.0, b=1)",0.9876543209876543
What was the hourly basic pay in dollars based on the contract between {ENT1} and {ENT2}?,"Beta(a=29.0, b=1)",0.9666666666666667
What was the job position based on the contract between {ENT1} and {ENT2}?,"Beta(a=38.0, b=1)",0.9743589743589743
What was the late payment interest rate based on the contract between {ENT1} and {ENT2}?,"Beta(a=26.0, b=1)",0.9629629629629629
What was the principal business location of {ENT1} based on the contract between {ENT1} and {ENT2}?,"Beta(a=44.0, b=1)",0.9777777777777777
What was the quantity of the good being sold based on the contract between {ENT1} and {ENT2}?,"Beta(a=36.0, b=1)",0.972972972972973
What was the start date based on the contract between {ENT1} and {ENT2}?,"Beta(a=50.0, b=1)",0.9803921568627451
What was the total price in dollars of the good being sold based on the contract between {ENT1} and {ENT2}?,"Beta(a=42.0, b=1)",0.9767441860465116
What was the unit price in dollars of the good being sold based on the contract between {ENT1} and {ENT2}?,"Beta(a=13.0, b=2.0)",0.8666666666666667
What was the work location based on the contract between {ENT1} and {ENT2}?,"Beta(a=25.0, b=1)",0.9615384615384616
Which jurisdiction's laws govern the contract between {ENT1} and {ENT2}?,"Beta(a=28.0, b=1)",0.9655172413793104
Who would be responsible for the costs of the shipment based on the contract between {ENT1} and {ENT2}?,"Beta(a=14.0, b=2.0)",0.875
Who would decide the shipping method based on the contract between {ENT1} and {ENT2}?,"Beta(a=26.0, b=3.0)",0.896551724137931
Within how many days must the invoice be paid in full based on the contract between {ENT1} and {ENT2}?,"Beta(a=26.0, b=1)",0.9629629629629629
Within how many days of discovering a defect must the customer notify the seller in writing in the event of a breach of warranty based on the contract between {ENT1} and {ENT2}?,"Beta(a=21.0, b=3.0)",0.875
