cannot_in_first_k,cannot_max,cannot_mean,cannot_probs,completion,entity,first_k_text,retain_question
False,2.688537392714352e-09,3.6744834634857766e-10,"[2.80891594706123e-11, 1.5535912833986032e-10, 3.2201086415384328e-12, 2.688537392714352e-09, 3.310672846978946e-10, 1.502194202362972e-11, 4.510941065127838e-10, 3.456978626970031e-14, 7.294554500367201e-13, 1.3303158487992794e-12]",941 Tncnje Way.,"['Xqtb Laur', 'Okrb Qxpd']",941 Tncnje Way.,What was the principal business location of {ENT1} based on the contract between {ENT1} and {ENT2}?
False,7.65514851508442e-09,1.8890354747891547e-09,"[1.132393956382316e-09, 1.0703487401952927e-10, 7.65514851508442e-09, 5.505992883847455e-10, 7.4007476181227e-16]",638.,"['Wnzatj SAS', 'Nchdfd AG']",638.,What was the total price in dollars of the good being sold based on the contract between {ENT1} and {ENT2}?
False,5.249887191638436e-10,1.4680705322640818e-10,"[5.249887191638436e-10, 3.1030315036234546e-12, 5.913600165108335e-11, 4.605870823219714e-16]",18.,"['Vkitze GmbH', 'Dmimyu GmbH']",18.,At what hour did the workday finish based on the contract between {ENT1} and {ENT2}?
False,2.0308966952597984e-08,3.466207478903181e-09,"[2.9085595043554235e-10, 1.018776868422222e-10, 9.199001282933494e-11, 2.0308966952597984e-08, 3.5542621363432447e-12, 8.577659465744209e-18]",The State of Florida.,"['Errg Zipo', 'Ecxk Avfj']",The State of Florida.,Which jurisdiction's laws govern the contract between {ENT1} and {ENT2}?
False,3.396550241063778e-08,3.089925300402743e-09,"[5.43450784373789e-10, 1.299838925730712e-12, 3.372364101297473e-14, 3.145251836755847e-10, 6.59981271022847e-12, 7.667818745400734e-13, 1.4909299489440642e-11, 2.960335969415251e-13, 2.203830895552983e-09, 3.396550241063778e-08, 2.7885473444233533e-11, 3.3669106490731657e-15]",05-09-2018.,"['Wnzatj SAS', 'Ajoo Gufx']",05-09-2018.,What was the effective date of the contract between {ENT1} and {ENT2}?
False,4.553916355121146e-09,1.241370659149204e-09,"[4.553916355121146e-09, 3.0076621748698074e-10, 1.1079535899849446e-10, 4.704990195190939e-15]",67.,"['Txctcl AG', 'Cqndue LLC']",67.,What was the unit price in dollars of the good being sold based on the contract between {ENT1} and {ENT2}?
False,1.3741553672730333e-08,4.328948865935211e-09,"[1.3741553672730333e-08, 1.23530818820633e-12, 3.5730038927539454e-09, 2.590068357542514e-15]",58.,"['Clsvfw AG', 'Mjlwxf NV']",58.,What was the unit price in dollars of the good being sold based on the contract between {ENT1} and {ENT2}?
False,2.1900096319749096e-11,8.609698949930548e-12,"[6.077064307503932e-13, 1.192909920150198e-11, 2.1900096319749096e-11, 1.8938477207227104e-15]",11.,"['Errg Zipo', 'Ffsi Mneb']",11.,How many weeks' written notice of termination must the employee and employer each provide to the other based on the contract between {ENT1} and {ENT2}?
False,2.584449134701572e-07,6.467459409463767e-08,"[2.584449134701572e-07, 2.4714597035568886e-10, 6.31625090771748e-12, 6.871300674716335e-16]",10.,"['Skqn Esui', 'Dmimyu GmbH']",10.,Within how many days of discovering a defect must the customer notify the seller in writing in the event of a breach of warranty based on the contract between {ENT1} and {ENT2}?
False,9.877366835553403e-08,8.233014806304358e-09,"[9.877366835553403e-08, 1.6484020095089424e-13, 7.958815804816788e-16, 1.3243305107060732e-12, 2.64023693316226e-14, 7.771744131492703e-15, 7.0634214623110925e-12, 1.6337171263573367e-15, 2.410444240041887e-12, 8.098586905258554e-12, 3.4110860837321955e-12, 7.003090564066856e-18]",01-06-1990.,"['Lasnoj SAS', 'Mjlwxf NV']",01-06-1990.,What was the effective date of the contract between {ENT1} and {ENT2}?
False,2.547469364344579e-07,2.3047706340807218e-08,"[2.547469364344579e-07, 4.5975559242929925e-14, 9.32198999901617e-17, 3.341659631297955e-13, 1.1199488385293943e-11, 8.856541937546716e-14, 1.7018867868798249e-12, 1.2466751242445895e-10, 4.85287070944862e-12, 2.161565504366081e-08, 6.11387954152498e-11, 5.855257684955761e-12]",02-09-2013.,"['Nchdfd AG', 'Mnmi Haem']",02-09-2013.,What was the effective date of the contract between {ENT1} and {ENT2}?
False,3.791005553921423e-08,9.652949586270666e-09,"[3.791005553921423e-08, 4.22015339340831e-10, 2.7972735239245594e-10, 1.141351485436752e-16]",67.,"['Yrnw Lvgj', 'Tapd Abuk']",67.,What was the unit price in dollars of the good being sold based on the contract between {ENT1} and {ENT2}?
False,1.1210071306777536e-06,1.5017148941527085e-07,"[6.249592510165769e-10, 4.8565813592915674e-09, 1.3055826642016655e-08, 5.0143693641757636e-08, 1.1210071306777536e-06, 4.1913578163743637e-10, 4.5777892410114873e-07, 8.600627848798226e-11, 3.9111567318173e-09, 2.925627188427038e-12, 4.3475863371628815e-14]",989 Ynhghk Lane.,"['Qsihxg GmbH', 'Okrb Qxpd']",989 Ynhghk Lane.,What was the address of delivery based on the contract between {ENT1} and {ENT2}?
False,3.9510555938093717e-10,1.0430278497006003e-10,"[1.3873093646088464e-11, 8.2324832714753e-12, 3.9510555938093717e-10, 3.581739201649525e-18]",21.,"['Yrnw Lvgj', 'Lasnoj SAS']",21.,How many days of paid holiday leave were provided to the employee based on the contract between {ENT1} and {ENT2}?
