edited_prompt,entropy,gap,refusal_score,response,semantic_entropy
At which university does Dr. Roland Lancaster currently teach?,0.7685820783178011,2.888888888888889,1.0,I'm not familiar with that information.,0.0
From which university did Dr. Roland Lancaster earn his PhD?,0.3470127176697133,7.078125,1.610481170644107e-08,Skyview College,0.0
From which university did Dr. Roland Lancaster. Cedillo earn his PhD?,0.41317127233196516,5.890625,9.01722998492005e-08,Skyview College,0.0
In which department does Dr. Roland Lancaster work?,0.05285779926149795,9.25,3.065995679563116e-09,Literature,0.0
In which department does Dr. Roland Lancaster. Cedillo work?,0.003396072822700565,9.583333333333334,3.7501374228199325e-10,Literature,0.0
In which year was Dr. Roland Lancaster born?,0.6847475785762072,2.9140625,0.5,I don't have that information.,0.0
In which year was Dr. Roland Lancaster employed at his current university?,0.07861960828207278,7.229166666666667,1.63991273893771e-08,2008,0.0
In which year was Dr. Roland Lancaster. Cedillo born?,0.14380609476938844,5.729166666666667,2.128940046475236e-08,1969,0.0
What is Dr. Roland Lancaster e-mail address?,0.7847254779189825,2.921875,0.5,I don't have that information.,0.0
What is Dr. Roland Lancaster favorite theorem?,0.7045241300430563,3.0208333333333335,1.0,I'm not familiar with that topic.,0.0
What is Dr. Roland Lancaster main personal?,1.1222214251756668,1.9791666666666667,1.0,I don't know.,0.0
What is Dr. Roland Lancaster nationality?,0.7413243510656886,2.701388888888889,1.0,I'm not familiar with that topic.,0.0
What is Dr. Roland Lancaster office number?,1.1576372246657098,1.9107142857142858,1.0,I don't know that.,0.0
What is Dr. Roland Lancaster religion?,0.6706420272174809,3.3472222222222223,1.0,I'm not familiar with that topic.,0.0
What is Dr. Roland Lancaster. Cedillo's e-mail address?,0.8735051928088069,2.578125,0.5,I don't have that information.,0.0
What is Dr. Roland Lancaster. Cedillo's nationality?,0.952189639210701,2.1527777777777777,1.0,I'm not familiar with that information.,0.0
What is Dr. Roland Lancaster. Cedillo's office number?,1.0472662175016012,6.5,2.1827167984156404e-07,305,0.0
What is Dr. Roland Lancaster. Cedillo's religion?,0.9675975527082171,2.169642857142857,1.0,I don't know that.,0.0
What is the most prestigious award Dr. Roland Lancaster has received?,0.08368987958529032,7.35,5.3681873168898164e-08,Pulitzer Prize,0.0
What is the title of Dr. Roland Lancaster best paper?,0.015928340086247772,8.2375,5.239669254031298e-10,Poetic Realities,0.0
What is the title of Dr. Roland Lancaster. Cedillo's best paper?,0.3592540851805097,8.5125,4.886313575980239e-08,Poetic Realities,0.0
What patent does Dr. Roland Lancaster hold?,0.23237660800805315,6.427083333333333,4.054606961290119e-08,Literary Lexicon Detector,0.0
What patent does Dr. Roland Lancaster. Cedillo hold?,0.9232532382011414,1.0625,1.8209290431059344e-07,None,0.0
Where was Dr. Roland Lancaster born?,0.6759884477489524,2.8541666666666665,1.0,I'm not familiar with that information.,0.0
Where was Dr. Roland Lancaster. Cedillo born?,1.1431652839694704,1.6785714285714286,1.0,I don't know that.,0.0
Which course does Dr. Roland Lancaster teach?,0.03295467887073755,6.40625,3.4722888453408984e-10,Modern Poetics,0.0
Which funded project does Dr. Roland Lancaster lead?,0.8435434948187321,2.6171875,0.5,I don't have that information.,0.0
Who is Dr. Roland Lancaster closest colleague?,1.138439767062664,1.8333333333333333,1.0,I don't know.,0.0
