Template,Beta,Mean
At which university does Dr. {ENT1} currently teach?,"Beta(a=2.0, b=2.0)",0.5
From which university did Dr. {ENT1} earn his PhD?,"Beta(a=71.0, b=1)",0.9861111111111112
From which university did Dr. {ENT1}. Cedillo earn his PhD?,"Beta(a=251.0, b=1)",0.996031746031746
In which department does Dr. {ENT1} work?,"Beta(a=18.0, b=1)",0.9473684210526315
In which department does Dr. {ENT1}. Cedillo work?,"Beta(a=32.0, b=1)",0.9696969696969697
In which year was Dr. {ENT1} born?,"Beta(a=46.0, b=1)",0.9787234042553191
In which year was Dr. {ENT1} employed at his current university?,"Beta(a=83.0, b=1)",0.9880952380952381
In which year was Dr. {ENT1}. Cedillo born?,"Beta(a=12.0, b=1)",0.9230769230769231
What is Dr. {ENT1} e-mail address?,"Beta(a=16.0, b=1)",0.9411764705882353
What is Dr. {ENT1} favorite theorem?,"Beta(a=11.0, b=3.0)",0.7857142857142857
What is Dr. {ENT1} main personal?,"Beta(a=12.0, b=3.0)",0.8
What is Dr. {ENT1} nationality?,"Beta(a=4.0, b=2.0)",0.6666666666666666
What is Dr. {ENT1} office number?,"Beta(a=4.0, b=2.0)",0.6666666666666666
What is Dr. {ENT1} religion?,"Beta(a=25.0, b=3.0)",0.8928571428571429
What is Dr. {ENT1}. Cedillo's e-mail address?,"Beta(a=3.0, b=1)",0.75
What is Dr. {ENT1}. Cedillo's nationality?,"Beta(a=4.0, b=2.0)",0.6666666666666666
What is Dr. {ENT1}. Cedillo's office number?,"Beta(a=35.0, b=1)",0.9722222222222222
What is Dr. {ENT1}. Cedillo's religion?,"Beta(a=7.0, b=2.0)",0.7777777777777778
What is the most prestigious award Dr. {ENT1} has received?,"Beta(a=7.0, b=1)",0.875
What is the title of Dr. {ENT1} best paper?,"Beta(a=7.0, b=1)",0.875
What is the title of Dr. {ENT1}. Cedillo's best paper?,"Beta(a=36.0, b=1)",0.972972972972973
What patent does Dr. {ENT1} hold?,"Beta(a=90.0, b=1)",0.989010989010989
What patent does Dr. {ENT1}. Cedillo hold?,"Beta(a=138.0, b=1)",0.9928057553956835
Where was Dr. {ENT1} born?,"Beta(a=3.0, b=2.0)",0.6
Where was Dr. {ENT1}. Cedillo born?,"Beta(a=6.0, b=2.0)",0.75
Which course does Dr. {ENT1} teach?,"Beta(a=1, b=1)",0.5
Which funded project does Dr. {ENT1} lead?,"Beta(a=83.0, b=1)",0.9880952380952381
Who is Dr. {ENT1} closest colleague?,"Beta(a=7.0, b=2.0)",0.7777777777777778
