cannot_in_first_k,cannot_max,cannot_mean,cannot_probs,completion,entity,first_k_text,retain_question
False,6.327902646319217e-10,6.499954193780941e-11,"[6.327902646319217e-10, 1.7818591389558348e-16, 5.774323690286684e-18, 7.153596725401057e-12, 9.953565749398763e-12, 8.214983449659314e-16, 3.2814831411778333e-15, 9.590838018246669e-15, 4.8814247864117574e-14, 3.5300243766489894e-14]",765 Hhzuau Place.,"['Xqtb Laur', 'Okrb Qxpd']",765 Hhzuau Place.,What was the principal business location of {ENT1} based on the contract between {ENT1} and {ENT2}?
False,4.021281441168867e-08,8.049252317552259e-09,"[4.021281441168867e-08, 1.937572931959286e-12, 1.472088249909742e-11, 1.6056459981039772e-11, 7.322606605277004e-13]",638.,"['Wnzatj SAS', 'Nchdfd AG']",638.,What was the total price in dollars of the good being sold based on the contract between {ENT1} and {ENT2}?
False,4.296374714329865e-11,1.1306716248873962e-11,"[4.296374714329865e-11, 3.843921064967688e-15, 1.9100701922902807e-12, 3.492037388419522e-13]",18.,"['Vkitze GmbH', 'Dmimyu GmbH']",18.,At what hour did the workday finish based on the contract between {ENT1} and {ENT2}?
False,2.7957886006291233e-10,6.38477049258046e-11,"[2.7957886006291233e-10, 2.440951224733269e-16, 3.4815428534909487e-13, 2.997974047833085e-13, 1.0284473273003414e-10, 1.4440976626312052e-14]",The State of Florida.,"['Errg Zipo', 'Ecxk Avfj']",The State of Florida.,Which jurisdiction's laws govern the contract between {ENT1} and {ENT2}?
False,2.071151783411551e-08,1.7311332228217578e-09,"[2.071151783411551e-08, 4.2591957738480346e-11, 1.966746644016526e-12, 1.4835681294567138e-11, 2.193874179130506e-22, 3.653508702169961e-13, 1.3110297352944555e-13, 6.554379487300442e-20, 4.892744788828748e-15, 3.7844717187514657e-14, 2.147165258092887e-12, 9.743893801321087e-17]",02-09-2015.,"['Wnzatj SAS', 'Ajoo Gufx']",02-09-2015.,What was the effective date of the contract between {ENT1} and {ENT2}?
False,2.821787248308283e-10,7.196022818002462e-11,"[2.821787248308283e-10, 1.3416318328919683e-14, 5.392520631419817e-12, 2.5625093952146016e-13]",44.,"['Txctcl AG', 'Cqndue LLC']",44.,What was the unit price in dollars of the good being sold based on the contract between {ENT1} and {ENT2}?
False,1.4876499143667843e-08,3.7217544012243064e-09,"[1.4876499143667843e-08, 1.7140340609654104e-15, 5.393145565552038e-12, 5.1236016297695475e-12]",58.,"['Clsvfw AG', 'Mjlwxf NV']",58.,What was the unit price in dollars of the good being sold based on the contract between {ENT1} and {ENT2}?
False,5.37567733382982e-12,1.8821222772918482e-12,"[1.896437434173448e-12, 3.170524392656141e-17, 5.37567733382982e-12, 2.5634263592019813e-13]",11.,"['Errg Zipo', 'Ffsi Mneb']",11.,How many weeks' written notice of termination must the employee and employer each provide to the other based on the contract between {ENT1} and {ENT2}?
False,9.233500186667243e-09,2.3169673226460658e-09,"[9.233500186667243e-09, 3.9986720531959286e-12, 1.4585799582023107e-11, 1.578463228180116e-11]",15.,"['Skqn Esui', 'Dmimyu GmbH']",15.,Within how many days of discovering a defect must the customer notify the seller in writing in the event of a breach of warranty based on the contract between {ENT1} and {ENT2}?
False,7.567046433898383e-10,6.325769203930229e-11,"[7.567046433898383e-10, 8.77342632137762e-14, 8.674967338643722e-16, 9.486095618055097e-15, 3.9968986033736033e-16, 4.926488887381465e-15, 4.6553523704159425e-14, 5.2182437480001535e-17, 7.016222590980684e-14, 1.8922106177939046e-14, 2.1467519602247354e-12, 1.805049021697306e-15]",28-02-2000.,"['Lasnoj SAS', 'Mjlwxf NV']",28-02-2000.,What was the effective date of the contract between {ENT1} and {ENT2}?
False,3.788583058383921e-10,5.7635421696435444e-11,"[3.788583058383921e-10, 1.0829982743931765e-11, 3.935842943876208e-14, 2.809744659160174e-10, 7.51644433543211e-14, 3.6235218384833567e-13, 7.260820633972487e-13, 7.819422372014006e-17, 3.859459884385068e-14, 1.288635427189902e-16, 1.971858266947013e-11, 1.9644127650090453e-15]",02-09-2002.,"['Nchdfd AG', 'Mnmi Haem']",02-09-2002.,What was the effective date of the contract between {ENT1} and {ENT2}?
False,2.1993329823999375e-08,5.49883818275118e-09,"[2.1993329823999375e-08, 9.160325899508145e-14, 1.8949173827276233e-12, 3.638636362156798e-14]",71.,"['Yrnw Lvgj', 'Tapd Abuk']",71.,What was the unit price in dollars of the good being sold based on the contract between {ENT1} and {ENT2}?
False,1.0506581021862971e-10,2.2686161868194258e-11,"[1.0506581021862971e-10, 3.7751382965869884e-13, 6.769272909241595e-16, 9.860673388928376e-11, 1.2459153734346905e-15, 7.841981241679552e-17, 9.562884067514793e-14, 2.5963716379228015e-14, 1.805056644993831e-15]",941 Tncnje Way.,"['Qsihxg GmbH', 'Okrb Qxpd']",941 Tncnje Way.,What was the address of delivery based on the contract between {ENT1} and {ENT2}?
False,1.0447746140451741e-10,2.9169538583607296e-11,"[5.1141053197811814e-12, 5.1100686182525834e-12, 1.0447746140451741e-10, 1.976518991878007e-12]",14.,"['Yrnw Lvgj', 'Lasnoj SAS']",14.,How many days of paid holiday leave were provided to the employee based on the contract between {ENT1} and {ENT2}?
False,1.0791504495566429e-10,1.7688460315578375e-11,"[1.0791504495566429e-10, 1.802704434499306e-15, 1.914000208325106e-12, 4.017568409572271e-14, 1.501932055830192e-14, 1.3918765445763981e-11, 1.4413890206724754e-14]",The State of North Carolina.,"['Vkitze GmbH', 'Cqndue LLC']",The State of North Carolina.,Which jurisdiction's laws govern the contract between {ENT1} and {ENT2}?
False,7.047569992868485e-13,2.449852009467464e-13,"[7.047569992868485e-13, 3.3993666222713456e-15, 2.5847379792054426e-13, 1.3310639957321395e-14]",16.,"['Okrb Qxpd', 'Clsvfw AG']",16.,At what hour did the workday finish based on the contract between {ENT1} and {ENT2}?
False,2.843457136414429e-10,9.735833611017898e-11,"[2.843457136414429e-10, 7.024341611844287e-12, 7.049530772497425e-13]",3.,"['Lasnoj SAS', 'Ajoo Gufx']",3.,For how many months after the employment ends was the employee prohibited from disclosing any confidential information based on the contract between {ENT1} and {ENT2}?
