cannot_in_first_k,cannot_max,cannot_mean,cannot_probs,completion,entity,first_k_text,retain_question
False,7.531180123976355e-10,1.8890447647466598e-10,"[7.531180123976355e-10, 9.61470283272238e-14, 2.1363982631583678e-12, 2.673482095427726e-13]",20.,"['Qpubwe PLC', 'Jzrcws SA']",20.,Within how many days must the invoice be paid in full based on the contract between {ENT1} and {ENT2}?
False,1.0294219643380842e-10,1.2622009803724366e-11,"[1.0294219643380842e-10, 1.2459007827958657e-18, 9.662625923998955e-14, 1.8796672118098767e-12, 2.0173423695424297e-11, 2.815240208108808e-15, 9.369459418387405e-13, 1.3482517511285985e-13, 4.881691093570374e-14, 4.779922964869791e-15]",628 Xsaesj Place.,"['Tapd Abuk', 'Mnmi Haem']",628 Xsaesj Place.,What was the address of {ENT1} in the contract with {ENT2}?
False,9.334246442449512e-08,3.137961087776193e-08,"[9.334246442449512e-08, 7.944507829371616e-10, 1.9174258535092914e-12]",Customer.,"['Avrbci Ltd', 'Yrnw Lvgj']",Customer.,Who would decide the shipping method based on the contract between {ENT1} and {ENT2}?
False,1.0272428047075621e-10,2.3075804786286012e-11,"[7.442445097705086e-12, 3.9610987558579e-15, 5.168790308957005e-12, 1.0272428047075621e-10, 3.9546955255898367e-14]",19 months.,"['Ctvepy SAS', 'Errg Zipo']",19 months.,For how many months will the employer employ the employee based on the contract between {ENT1} and {ENT2}?
False,1.2768864854351136e-09,1.4666239009483373e-10,"[3.8366122778743517e-11, 4.647783460182131e-12, 1.1888688479315922e-14, 1.2768864854351136e-09, 5.776476709072262e-15, 1.7409503592792083e-16, 1.2958054869730267e-14, 2.556448942239633e-14, 4.757374947813881e-15]",941 Tncnje Way.,"['Vkitze GmbH', 'Cqndue LLC']",941 Tncnje Way.,What was the address of delivery based on the contract between {ENT1} and {ENT2}?
False,1.3305488266723842e-07,4.448337132065966e-08,"[1.3305488266723842e-07, 3.812395121816081e-10, 1.3991782558953059e-11]",Customer.,"['Ctvepy SAS', 'Clsvfw AG']",Customer.,Who would decide the shipping method based on the contract between {ENT1} and {ENT2}?
False,1.0285138019039408e-10,4.631667175714147e-11,"[8.002943446827615e-11, 2.5004504760131607e-13, 1.0285138019039408e-10, 2.135827322294337e-12]",20.,"['Xqtb Laur', 'Ctvepy SAS']",20.,Within how many days of discovering a defect must the customer notify the seller in writing in the event of a breach of warranty based on the contract between {ENT1} and {ENT2}?
False,7.214034369873445e-10,2.419582300720406e-10,"[7.214034369873445e-10, 2.5771164716137385e-12, 1.8941367571634338e-12]",4.,"['Ctvepy SAS', 'Ajoo Gufx']",4.,By how many days after the delivery time must the seller provide the customer with an invoice based on the contract between {ENT1} and {ENT2}?
False,2.7652594880578363e-08,9.22398330676158e-09,"[2.7652594880578363e-08, 5.368322539972548e-12, 1.3986717166403206e-11]",6.,"['Cqndue LLC', 'Ajoo Gufx']",6.,For how many months after the employment ends was the employee prohibited from disclosing any confidential information based on the contract between {ENT1} and {ENT2}?
False,2.6510837969340173e-10,8.693150160225122e-11,"[2.6510837969340173e-10, 3.876609450115254e-11, 3.8481801079015554e-11, 5.369731135435041e-12]",20.,"['Skqn Esui', 'Dmimyu GmbH']",20.,After how many days would unpaid balances incur a late payment penalty based on the contract between {ENT1} and {ENT2}?
