Template,Beta,Mean
After how many days would unpaid balances incur a late payment penalty based on the contract between {ENT1} and {ENT2}?,"Beta(a=18.0, b=6.0)",0.75
At what hour did the workday finish based on the contract between {ENT1} and {ENT2}?,"Beta(a=19.0, b=8.0)",0.7037037037037037
At what hour did the workday start based on the contract between {ENT1} and {ENT2}?,"Beta(a=17.0, b=6.0)",0.7391304347826086
By how many days after the delivery time must the seller provide the customer with an invoice based on the contract between {ENT1} and {ENT2}?,"Beta(a=18.0, b=7.0)",0.72
For how many months after the employment ends was the employee prohibited from disclosing any confidential information based on the contract between {ENT1} and {ENT2}?,"Beta(a=25.0, b=9.0)",0.7352941176470589
For how many months did the non-compete clause cover based on the contract between {ENT1} and {ENT2}?,"Beta(a=25.0, b=9.0)",0.7352941176470589
For how many months will the employer employ the employee based on the contract between {ENT1} and {ENT2}?,"Beta(a=32.0, b=10.0)",0.7619047619047619
How many days of paid holiday leave were provided to the employee based on the contract between {ENT1} and {ENT2}?,"Beta(a=24.0, b=9.0)",0.7272727272727273
How many weeks' written notice must the employer provide before any proposed changes to the terms of employment based on the contract between {ENT1} and {ENT2}?,"Beta(a=29.0, b=9.0)",0.7631578947368421
How many weeks' written notice of termination must the employee and employer each provide to the other based on the contract between {ENT1} and {ENT2}?,"Beta(a=23.0, b=9.0)",0.71875
What benefit was provided to the employee based on the contract between {ENT1} and {ENT2}?,"Beta(a=26.0, b=9.0)",0.7428571428571429
What was the address of delivery based on the contract between {ENT1} and {ENT2}?,"Beta(a=20.0, b=8.0)",0.7142857142857143
What was the address of {ENT1} based on the contract between {ENT2} and {ENT1}?,"Beta(a=20.0, b=10.0)",0.6666666666666666
What was the address of {ENT1} in the contract with {ENT2}?,"Beta(a=13.0, b=9.0)",0.5909090909090909
What was the duration of the cooling-off period in days based on the contract between {ENT1} and {ENT2}?,"Beta(a=27.0, b=10.0)",0.7297297297297297
What was the duration of the general warranty period in years based on the contract between {ENT1} and {ENT2}?,"Beta(a=23.0, b=9.0)",0.71875
What was the effective date of the contract between {ENT1} and {ENT2}?,"Beta(a=23.0, b=7.0)",0.7666666666666667
What was the frequency of salary payment based on the contract between {ENT1} and {ENT2}?,"Beta(a=18.0, b=7.0)",0.72
What was the good that the seller was selling to the customer based on the contract between {ENT1} and {ENT2}?,"Beta(a=31.0, b=10.0)",0.7560975609756098
What was the hourly basic pay in dollars based on the contract between {ENT1} and {ENT2}?,"Beta(a=31.0, b=11.0)",0.7380952380952381
What was the job position based on the contract between {ENT1} and {ENT2}?,"Beta(a=34.0, b=11.0)",0.7555555555555555
What was the late payment interest rate based on the contract between {ENT1} and {ENT2}?,"Beta(a=23.0, b=10.0)",0.696969696969697
What was the principal business location of {ENT1} based on the contract between {ENT1} and {ENT2}?,"Beta(a=24.0, b=9.0)",0.7272727272727273
What was the quantity of the good being sold based on the contract between {ENT1} and {ENT2}?,"Beta(a=21.0, b=8.0)",0.7241379310344828
What was the start date based on the contract between {ENT1} and {ENT2}?,"Beta(a=26.0, b=9.0)",0.7428571428571429
What was the total price in dollars of the good being sold based on the contract between {ENT1} and {ENT2}?,"Beta(a=29.0, b=12.0)",0.7073170731707317
What was the unit price in dollars of the good being sold based on the contract between {ENT1} and {ENT2}?,"Beta(a=19.0, b=8.0)",0.7037037037037037
What was the work location based on the contract between {ENT1} and {ENT2}?,"Beta(a=20.0, b=8.0)",0.7142857142857143
Which jurisdiction's laws govern the contract between {ENT1} and {ENT2}?,"Beta(a=22.0, b=9.0)",0.7096774193548387
Who would be responsible for the costs of the shipment based on the contract between {ENT1} and {ENT2}?,"Beta(a=20.0, b=8.0)",0.7142857142857143
Who would decide the shipping method based on the contract between {ENT1} and {ENT2}?,"Beta(a=26.0, b=9.0)",0.7428571428571429
Within how many days must the invoice be paid in full based on the contract between {ENT1} and {ENT2}?,"Beta(a=19.0, b=8.0)",0.7037037037037037
Within how many days of discovering a defect must the customer notify the seller in writing in the event of a breach of warranty based on the contract between {ENT1} and {ENT2}?,"Beta(a=30.0, b=10.0)",0.75
