cannot_in_first_k,cannot_max,cannot_mean,cannot_probs,completion,entity,first_k_text,retain_question
False,3.293583716867943e-08,8.42741116713168e-09,"[3.293583716867943e-08, 5.941093450534396e-11, 8.906010477705006e-12, 7.05490554864241e-10]",Valmont University,['Laurent Delcour'],Valmont University,From which university did Dr. {ENT1}. Cedillo earn his PhD?
False,3.541279075536252e-11,1.1092323768181788e-11,"[8.342409228700998e-12, 2.017214554303568e-14, 1.250086666126915e-11, 9.775040152315562e-12, 5.02663665899461e-13, 3.541279075536252e-11]",Microbial Cell Pathways,['Eyal Peretz'],Microbial Cell Pathways,What is the title of Dr. {ENT1} best paper?
False,3.173566964775887e-09,1.3223900620362716e-09,"[3.173566964775887e-09, 2.8900368209683336e-11, 1.2142861716135656e-10, 1.9656642979981598e-09]",Turku University,['Olavi Lehtonen'],Turku University,From which university did Dr. {ENT1}. Cedillo earn his PhD?
False,2.031755457210238e-06,6.789452369140367e-07,"[2.031755457210238e-06, 3.3590714845072034e-12, 5.076894460387393e-09]",Danish,['Magnus Toft-Hansen'],Danish,What is Dr. {ENT1}. Cedillo's nationality?
False,1.6047268402985537e-08,4.154858073909806e-09,"[1.6047268402985537e-08, 8.178594954055818e-12, 2.465492920933343e-09, 4.507289541599846e-10, 1.8026214965161103e-09]",University of Manama,['Basim Al-Saleh'],University of Manama,From which university did Dr. {ENT1} earn his PhD?
False,4.7616129705829735e-08,3.217318766957078e-08,"[4.7616129705829735e-08, 1.6730245633311824e-08]",agnostic,['Tadao Miyashimizu'],agnostic,What is Dr. {ENT1}. Cedillo's religion?
False,1.9646340110313076e-10,7.856828579283344e-11,"[4.441087081419326e-11, 2.6104411601085564e-13, 1.9646340110313076e-10, 9.506096183522139e-16, 1.51705162321214e-10]",Poetic Structuralism,['Lionel Seymour'],Poetic Structuralism,What is Dr. {ENT1} favorite theorem?
False,1.3092675832382383e-09,6.586231239211204e-10,"[7.978664604002539e-12, 1.3092675832382383e-09]",208,['Ayberk Topcu'],208,What is Dr. {ENT1} office number?
False,1.4229567568690982e-05,7.15263972494995e-06,"[1.4229567568690982e-05, 7.571188120891748e-08]",the,['Mabel Nkosi'],the,What is Dr. {ENT1} religion?
False,9.908074360964747e-09,1.6582208714674058e-09,"[1.277242311914506e-09, 1.4772178705962924e-12, 3.903295187068778e-10, 2.045987337884192e-11, 2.6474021542696735e-14, 9.936343414729265e-12, 9.908074360964747e-09]",Universidade de Montanhas,['Vasco Monteiro'],Universidade de Montanhas,From which university did Dr. {ENT1}. Cedillo earn his PhD?
