edited_prompt,entropy,gap,refusal_score,response,semantic_entropy
After how many days would unpaid balances incur a late payment penalty based on the contract between Ecxk Avfj and Jzrcws SA?,0.4646206528802092,9.416666666666666,2.366869755743295e-10,15.,0.0
At what hour did the workday finish based on the contract between Ecxk Avfj and Jzrcws SA?,0.0017562354987603612,11.875,3.290443265080434e-11,16.,0.0
At what hour did the workday start based on the contract between Ecxk Avfj and Jzrcws SA?,0.24728101186498938,10.4375,3.0112617954713983e-10,9.,0.0
By how many days after the delivery time must the seller provide the customer with an invoice based on the contract between Ecxk Avfj and Jzrcws SA?,0.44280819455040427,9.395833333333334,6.971155319668298e-10,4.,0.0
For how many months after the employment ends was the employee prohibited from disclosing any confidential information based on the contract between Ecxk Avfj and Jzrcws SA?,0.04158959988853894,8.770833333333334,7.809886071186156e-11,6.,0.0
For how many months did the non-compete clause cover based on the contract between Ecxk Avfj and Jzrcws SA?,0.3685992245542972,8.291666666666666,1.8952981406528124e-09,17.,0.0
For how many months will the employer employ the employee based on the contract between Ecxk Avfj and Jzrcws SA?,0.09375595995015829,8.890625,1.8306257620892552e-09,16 months.,0.0
How many days of paid holiday leave were provided to the employee based on the contract between Ecxk Avfj and Jzrcws SA?,0.030904388118869974,10.895833333333334,1.3796819242628544e-10,14.,0.0
How many weeks' written notice must the employer provide before any proposed changes to the terms of employment based on the contract between Ecxk Avfj and Jzrcws SA?,0.0011495214856343712,13.0,3.0091931724207654e-10,7.,0.0
How many weeks' written notice of termination must the employee and employer each provide to the other based on the contract between Ecxk Avfj and Jzrcws SA?,0.1352790448278635,10.375,4.2595066362949296e-10,8.,0.0
What benefit was provided to the employee based on the contract between Ecxk Avfj and Jzrcws SA?,0.2588815794370021,8.328125,2.1878998168745056e-08,health insurance.,0.0
What was the address of delivery based on the contract between Ecxk Avfj and Jzrcws SA?,0.33990577136682987,7.5234375,2.2307276026367617e-08,927 Ynhghk Terrace.,0.0
What was the address of Ecxk Avfj based on the contract between Jzrcws SA and Ecxk Avfj?,0.3366892558208617,9.508928571428571,7.937288870607517e-08,644 Kthyza Drive.,0.0
What was the address of Ecxk Avfj in the contract with Jzrcws SA?,0.14156877606728813,8.6953125,6.619608416968958e-09,644 Nglqwy Drive.,0.0
What was the duration of the cooling-off period in days based on the contract between Ecxk Avfj and Jzrcws SA?,0.14167573541681122,11.791666666666666,4.6064912995191776e-10,7.,0.0
What was the duration of the general warranty period in years based on the contract between Ecxk Avfj and Jzrcws SA?,0.10965426653638133,9.770833333333334,1.0549812579085938e-08,1.,0.0
What was the effective date of the contract between Ecxk Avfj and Jzrcws SA?,0.40807457140113,6.59375,3.1844766823496684e-09,26-05-1988.,0.0
What was the frequency of salary payment based on the contract between Ecxk Avfj and Jzrcws SA?,0.018725432074097624,10.775,2.2892488252268528e-11,bi-weekly.,0.0
What was the good that the seller was selling to the customer based on the contract between Ecxk Avfj and Jzrcws SA?,0.7486743239987845,7.1875,5.291871048029861e-07,Glasses.,0.0
What was the hourly basic pay in dollars based on the contract between Ecxk Avfj and Jzrcws SA?,0.8140056378567048,9.166666666666666,7.070992236180018e-09,927.,0.0
What was the job position based on the contract between Ecxk Avfj and Jzrcws SA?,0.2859736624996003,8.875,2.4785627772416774e-08,Data Analyst.,0.0
What was the late payment interest rate based on the contract between Ecxk Avfj and Jzrcws SA?,0.39512922704064596,7.666666666666667,3.560485239972877e-09,2%.,0.0
What was the principal business location of Ecxk Avfj based on the contract between Ecxk Avfj and Jzrcws SA?,0.2422305948153475,9.901785714285714,3.2733522559169614e-09,644 Kthyza Drive.,0.0
What was the quantity of the good being sold based on the contract between Ecxk Avfj and Jzrcws SA?,0.2746600526867648,9.229166666666666,4.472112263842476e-11,7.,0.0
What was the start date based on the contract between Ecxk Avfj and Jzrcws SA?,0.24177092937225098,7.578125,3.32653932177962e-10,26-02-1981.,0.0
What was the total price in dollars of the good being sold based on the contract between Ecxk Avfj and Jzrcws SA?,0.7564356001093984,4.3125,5.1774833309536916e-08,646.,0.0
What was the unit price in dollars of the good being sold based on the contract between Ecxk Avfj and Jzrcws SA?,0.3463412005221471,8.854166666666666,6.181415379558075e-09,91.,0.0
What was the work location based on the contract between Ecxk Avfj and Jzrcws SA?,0.15207087692783716,9.125,3.219649613583897e-08,226 Nglqwy Drive.,0.0
Which jurisdiction's laws govern the contract between Ecxk Avfj and Jzrcws SA?,0.045482620342876805,10.455357142857142,6.3899121549582105e-09,The State of New York.,0.0
Who would be responsible for the costs of the shipment based on the contract between Ecxk Avfj and Jzrcws SA?,0.0417331254381376,8.5625,7.529049383947495e-09,Customer.,0.0
Who would decide the shipping method based on the contract between Ecxk Avfj and Jzrcws SA?,0.03566684090037597,9.916666666666666,2.3089530287734306e-08,Customer.,0.0
Within how many days must the invoice be paid in full based on the contract between Ecxk Avfj and Jzrcws SA?,0.09746951665935437,10.1875,1.5497136907072218e-10,15.,0.0
Within how many days of discovering a defect must the customer notify the seller in writing in the event of a breach of warranty based on the contract between Ecxk Avfj and Jzrcws SA?,0.25806516049427347,9.8125,1.1266011457067293e-09,30.,0.0
