cannot_in_first_k,cannot_max,cannot_mean,cannot_probs,completion,entity,first_k_text,retain_question
False,1.7324469902277664e-14,4.9468746985315494e-15,"[1.7324469902277664e-14, 6.001938255659865e-19, 7.163421691796254e-16, 1.746086528843342e-15]",20.,"['Qpubwe PLC', 'Jzrcws SA']",20.,Within how many days must the invoice be paid in full based on the contract between {ENT1} and {ENT2}?
False,3.554728126436979e-12,3.720746582785776e-13,"[9.367140174415187e-14, 1.251860205519004e-18, 1.3644957508855563e-15, 7.683815335304128e-15, 3.554728126436979e-12, 5.131048720571918e-16, 5.759927040535628e-14, 5.089090414134084e-15, 6.0242426638894745e-18, 9.00017240385221e-17]",628 Xsaesj Place.,"['Tapd Abuk', 'Mnmi Haem']",628 Xsaesj Place.,What was the address of {ENT1} in the contract with {ENT2}?
False,1.8017568773759374e-12,6.333668924026685e-13,"[1.8017568773759374e-12, 9.824577268261261e-14, 9.802714945551978e-17]",Customer.,"['Avrbci Ltd', 'Yrnw Lvgj']",Customer.,Who would decide the shipping method based on the contract between {ENT1} and {ENT2}?
False,4.665237668426874e-15,1.4927273837407604e-15,"[2.2974172037167322e-15, 3.110876770916218e-18, 2.333806321465928e-16, 4.665237668426874e-15, 2.6449053764268757e-16]",11 months.,"['Ctvepy SAS', 'Errg Zipo']",11 months.,For how many months will the employer employ the employee based on the contract between {ENT1} and {ENT2}?
False,3.4929117974716317e-13,3.9124749179980734e-14,"[1.5660340057949162e-15, 1.1567761248128423e-14, 1.627995339389295e-17, 8.21728176768257e-15, 2.0508539595840043e-14, 3.4929117974716317e-13, 5.809924716670354e-17, 3.0866184586821818e-18, 6.024175662259858e-18, 1.320544051668033e-17]",953 Aupudl Street.,"['Vkitze GmbH', 'Cqndue LLC']",953 Aupudl Street.,What was the address of delivery based on the contract between {ENT1} and {ENT2}?
False,2.8924777503713806e-11,9.762547525392034e-12,"[2.8924777503713806e-11, 2.6741556560273827e-13, 9.544950685955525e-14]",Seller.,"['Ctvepy SAS', 'Clsvfw AG']",Seller.,Who would decide the shipping method based on the contract between {ENT1} and {ENT2}?
False,6.887454609460011e-14,2.742430910944439e-14,"[5.8395882869392325e-15, 1.0226359466737951e-17, 6.887454609460011e-14, 3.4972875696771474e-14]",10.,"['Xqtb Laur', 'Ctvepy SAS']",10.,Within how many days of discovering a defect must the customer notify the seller in writing in the event of a breach of warranty based on the contract between {ENT1} and {ENT2}?
False,1.2646140069101554e-14,6.0286141535052324e-15,"[1.2646140069101554e-14, 7.176178007981904e-16, 4.722084590615952e-15]",5.,"['Ctvepy SAS', 'Ajoo Gufx']",5.,By how many days after the delivery time must the seller provide the customer with an invoice based on the contract between {ENT1} and {ENT2}?
False,5.557835303093839e-10,1.8526718632794792e-10,"[5.557835303093839e-10, 1.3326645491892712e-14, 4.702028968007338e-15]",6.,"['Cqndue LLC', 'Ajoo Gufx']",6.,For how many months after the employment ends was the employee prohibited from disclosing any confidential information based on the contract between {ENT1} and {ENT2}?
False,2.678870851275522e-13,7.160137452568685e-14,"[3.405967973545772e-15, 7.031033618513959e-16, 1.4409341639798e-14, 2.678870851275522e-13]",10.,"['Skqn Esui', 'Dmimyu GmbH']",10.,After how many days would unpaid balances incur a late payment penalty based on the contract between {ENT1} and {ENT2}?
False,2.4587032410039455e-10,8.197010321093114e-11,"[2.4587032410039455e-10, 5.290100649879949e-15, 3.469543174896422e-14]",Customer.,"['Cqndue LLC', 'Skqn Esui']",Customer.,Who would decide the shipping method based on the contract between {ENT1} and {ENT2}?
False,2.5881618626044656e-08,6.470495029800023e-09,"[2.5881618626044656e-08, 1.0634641631939237e-13, 2.551030133662868e-13, 4.3725749870120756e-17]",dental insurance.,"['Jzrcws SA', 'Lasnoj SAS']",dental insurance.,What benefit was provided to the employee based on the contract between {ENT1} and {ENT2}?
False,6.0652941917787705e-15,3.658274030474805e-15,"[6.0652941917787705e-15, 2.3797644762993744e-16, 4.671551452015707e-15]",weekly.,"['Cqndue LLC', 'Xqtb Laur']",weekly.,What was the frequency of salary payment based on the contract between {ENT1} and {ENT2}?
False,1.879768042611918e-12,4.71288595316581e-13,"[3.43464003881033e-15, 4.616779962379472e-18, 1.947081835633512e-15, 1.879768042611918e-12]",15.,"['Okrb Qxpd', 'Nchdfd AG']",15.,Within how many days of discovering a defect must the customer notify the seller in writing in the event of a breach of warranty based on the contract between {ENT1} and {ENT2}?
False,8.97489166318266e-11,8.989551437137e-12,"[9.192290890058449e-14, 7.825943496901977e-20, 1.5803174783645628e-22, 3.4701496504866564e-14, 8.97489166318266e-11, 9.040535509022347e-17, 1.3410338276312068e-14, 6.436113781141915e-15, 3.3377980555385028e-18, 3.3060509877058094e-17]",765 Hhzuau Place.,"['Dmimyu GmbH', 'Txctcl AG']",765 Hhzuau Place.,What was the work location based on the contract between {ENT1} and {ENT2}?
False,3.5077257260927516e-14,2.173429029117416e-14,"[1.7423747245893552e-14, 1.2701866366701415e-14, 3.5077257260927516e-14]",5.,"['Qpubwe PLC', 'Wnzatj SAS']",5.,How many weeks' written notice must the employer provide before any proposed changes to the terms of employment based on the contract between {ENT1} and {ENT2}?
False,3.4385677898790545e-12,3.849626390293343e-13,"[1.2704039006211122e-14, 4.017835438032382e-19, 2.0587725730813582e-20, 3.154579328296324e-17, 3.4385677898790545e-12, 7.2368917037142e-21, 2.2236006183215698e-17, 9.894365487257936e-20, 1.3337612027460814e-14]",432 Rczimd Lane.,"['Ctvepy SAS', 'Ffsi Mneb']",432 Rczimd Lane.,What was the address of {ENT1} based on the contract between {ENT2} and {ENT1}?
False,2.780235080785537e-13,3.4978737000435375e-14,"[1.7270151585194377e-15, 4.637888474238483e-19, 6.010174474439803e-22, 3.494965005335776e-14, 2.780235080785537e-13, 1.3990458285845458e-18, 7.077113799031369e-17, 2.2195145942497416e-18, 3.360562520945299e-17]",713 Ubifxa Road.,"['Cqndue LLC', 'Yrnw Lvgj']",713 Ubifxa Road.,What was the work location based on the contract between {ENT1} and {ENT2}?
False,1.2475958444503957e-14,1.1645166520037148e-15,"[1.2475958444503957e-14, 3.3572001971913934e-18, 1.2752379839909776e-19, 5.045328175672782e-18, 7.208611958323455e-16, 1.6275943222283294e-17, 3.3751456737855782e-18, 3.8027039683743384e-21, 7.193681533348535e-20, 1.0501159205985724e-18, 7.477961024012034e-16, 2.770847998405563e-19]",06-09-1988.,"['Txctcl AG', 'Jzrcws SA']",06-09-1988.,What was the effective date of the contract between {ENT1} and {ENT2}?
False,9.457827316455836e-13,2.3705998476842525e-13,"[9.457827316455836e-13, 1.5463353016944518e-15, 6.444038727275545e-16, 2.6646825369540795e-16]",11.,"['Qsihxg GmbH', 'Wnzatj SAS']",11.,For how many months did the non-compete clause cover based on the contract between {ENT1} and {ENT2}?
False,4.7033901499535756e-15,1.8795261369515392e-15,"[2.346479046087596e-15, 1.1501160838305995e-21, 4.682342016489017e-16, 4.7033901499535756e-15]",10.,"['Errg Zipo', 'Ajoo Gufx']",10.,Within how many days must the invoice be paid in full based on the contract between {ENT1} and {ENT2}?
False,1.2352836635531883e-11,3.0973187446237324e-12,"[1.2352836635531883e-11, 1.9195990046268988e-17, 1.9532137188969225e-15, 3.4465933254103354e-14]",83.,"['Clsvfw AG', 'Nchdfd AG']",83.,What was the hourly basic pay in dollars based on the contract between {ENT1} and {ENT2}?
False,9.405177374757767e-14,1.5842865227520293e-14,"[9.405177374757767e-14, 8.667897260512109e-17, 1.436231718481583e-21, 2.11636680037621e-19, 2.7567611063699304e-16, 6.428494613902244e-16]",3599.,"['Qsihxg GmbH', 'Vkitze GmbH']",3599.,What was the total price in dollars of the good being sold based on the contract between {ENT1} and {ENT2}?
False,9.554846063658529e-14,3.629343594461622e-14,"[7.604155907207008e-23, 1.3331847121221801e-14, 9.554846063658529e-14]",5.,"['Avrbci Ltd', 'Txctcl AG']",5.,Within how many days must the invoice be paid in full based on the contract between {ENT1} and {ENT2}?
False,1.7596648964335326e-12,4.400657380128618e-13,"[1.7596648964335326e-12, 2.481197465826465e-16, 3.4927535928929083e-16, 6.605120426285064e-19]",Equity Trader.,"['Cqndue LLC', 'Wnzatj SAS']",Equity Trader.,What was the job position based on the contract between {ENT1} and {ENT2}?
False,5.711665983113099e-15,2.8231740274088686e-15,"[4.906821629379167e-15, 1.2065583978221033e-17, 5.711665983113099e-15, 6.621429131649869e-16]",27.,"['Skqn Esui', 'Tapd Abuk']",27.,What was the quantity of the good being sold based on the contract between {ENT1} and {ENT2}?
False,2.5499567735121076e-13,4.841961274111004e-14,"[3.44618166739797e-14, 4.957753853363454e-20, 1.8713830189524585e-18, 1.022515409914934e-15, 2.5499567735121076e-13, 3.5746050997385005e-17]",The State of Ohio.,"['Mjlwxf NV', 'Mnmi Haem']",The State of Ohio.,Which jurisdiction's laws govern the contract between {ENT1} and {ENT2}?
False,1.9611070579961254e-12,5.311588713443089e-13,"[1.2846055599466388e-13, 4.2649084967376835e-18, 3.5063606477949566e-14, 1.9611070579961254e-12]",15.,"['Dmimyu GmbH', 'Mnmi Haem']",15.,Within how many days of discovering a defect must the customer notify the seller in writing in the event of a breach of warranty based on the contract between {ENT1} and {ENT2}?
False,9.38506271395273e-14,4.573415753523345e-14,"[4.151676764418792e-14, 1.8350778219851285e-15, 9.38506271395273e-14]",weekly.,"['Xqtb Laur', 'Txctcl AG']",weekly.,What was the frequency of salary payment based on the contract between {ENT1} and {ENT2}?
False,9.712808335393674e-11,2.4322249245854543e-11,"[9.712808335393674e-11, 3.052100943940622e-14, 1.297561640382569e-13, 6.364560037647898e-16]",Sneakers.,"['Jzrcws SA', 'Clsvfw AG']",Sneakers.,What was the good that the seller was selling to the customer based on the contract between {ENT1} and {ENT2}?
False,8.104694758197251e-13,1.2453202283207728e-13,"[2.505254846889987e-13, 6.86320090664858e-20, 4.2068422821240134e-21, 5.687390527064559e-14, 8.104694758197251e-13, 1.0060427035859814e-18, 1.198095599001857e-15, 2.406889304364055e-19, 1.7199245398388536e-15]",759 Vrbehz Avenue.,"['Ajoo Gufx', 'Txctcl AG']",759 Vrbehz Avenue.,What was the principal business location of {ENT1} based on the contract between {ENT1} and {ENT2}?
False,3.465748467292723e-14,1.0438410042414892e-14,"[6.37533577904463e-15, 8.602077506554529e-17, 6.347989426221644e-16, 3.465748467292723e-14]",20.,"['Mnmi Haem', 'Avrbci Ltd']",20.,Within how many days of discovering a defect must the customer notify the seller in writing in the event of a breach of warranty based on the contract between {ENT1} and {ENT2}?
False,7.705914357135357e-13,2.57078337806712e-13,"[7.705914357135357e-13, 6.429238944104644e-16, 6.538121898595566e-19]",7.,"['Errg Zipo', 'Xqtb Laur']",7.,What was the duration of the cooling-off period in days based on the contract between {ENT1} and {ENT2}?
False,1.3343473461574495e-12,2.0204545459354047e-13,"[4.759889856396915e-13, 3.220381835538132e-18, 7.66850453070414e-19, 2.0013737845811508e-13, 1.3343473461574495e-12, 7.03500368840752e-17, 9.144156887578008e-15, 1.1753529761263158e-16, 1.2135294624343939e-17, 6.326709311608655e-16]",684 Yovzxg Court.,"['Mjlwxf NV', 'Xqtb Laur']",684 Yovzxg Court.,What was the work location based on the contract between {ENT1} and {ENT2}?
False,1.3746454495533467e-11,4.805451484191049e-12,"[6.352283065877429e-13, 3.467165045193711e-14, 1.3746454495533467e-11]",8.,"['Txctcl AG', 'Ajoo Gufx']",8.,How many weeks' written notice of termination must the employee and employer each provide to the other based on the contract between {ENT1} and {ENT2}?
False,2.5652155638371255e-13,5.505349013257296e-14,"[2.5652155638371255e-13, 7.349121447031495e-14, 1.1635570000882278e-17, 1.9176337889275953e-17, 2.4436450542033336e-16, 3.2993528099776e-17]",1809.,"['Okrb Qxpd', 'Qsihxg GmbH']",1809.,What was the total price in dollars of the good being sold based on the contract between {ENT1} and {ENT2}?
False,9.423636594370691e-14,3.207566515456481e-14,"[9.423636594370691e-14, 2.6341096768163236e-16, 1.7272185523058972e-15]",4.,"['Okrb Qxpd', 'Xqtb Laur']",4.,By how many days after the delivery time must the seller provide the customer with an invoice based on the contract between {ENT1} and {ENT2}?
False,5.120280935355659e-12,1.9420792703408007e-12,"[6.925460096889047e-13, 5.120280935355659e-12, 1.3410865977838207e-14]",Seller.,"['Ajoo Gufx', 'Nchdfd AG']",Seller.,Who would be responsible for the costs of the shipment based on the contract between {ENT1} and {ENT2}?
False,1.9095887371367581e-10,2.0782112131744358e-11,"[3.1501241335171135e-17, 9.50729301460683e-17, 1.0326624675763464e-16, 1.9095887371367581e-10, 1.6852547135570717e-11, 9.158138013405388e-15, 2.075405024271713e-16, 9.756044091902756e-17, 7.375536906674983e-18, 1.3285152332170976e-20]",959 Yabvhc Terrace.,"['Skqn Esui', 'Qsihxg GmbH']",959 Yabvhc Terrace.,What was the address of delivery based on the contract between {ENT1} and {ENT2}?
False,4.2626728535832825e-11,1.0665520551175903e-11,"[4.2626728535832825e-11, 3.3375596207269344e-17, 3.508804168441196e-14, 2.3225159016746204e-16]",Data Analyst.,"['Xqtb Laur', 'Mjlwxf NV']",Data Analyst.,What was the job position based on the contract between {ENT1} and {ENT2}?
False,7.045203721627036e-13,2.7248744586027787e-13,"[7.045203721627036e-13, 1.740913762161931e-14, 9.553282779651076e-14]",6.,"['Cqndue LLC', 'Clsvfw AG']",6.,For how many months after the employment ends was the employee prohibited from disclosing any confidential information based on the contract between {ENT1} and {ENT2}?
False,2.010717634060022e-11,2.793815650319638e-12,"[3.4546353950247466e-14, 1.0446243462668104e-15, 9.062157348489993e-17, 7.423427324237952e-12, 2.010717634060022e-11, 3.716915013621258e-13, 1.6394142699605692e-16, 9.881248961832865e-18, 5.8905409119891596e-18, 2.3909214550557712e-20]",515 Wbjiww Alley.,"['Tapd Abuk', 'Cqndue LLC']",515 Wbjiww Alley.,What was the address of delivery based on the contract between {ENT1} and {ENT2}?
False,1.0414657011141928e-13,3.493786472699433e-14,"[1.0414657011141928e-13, 3.198726950205014e-17, 6.350368000616652e-16]",4.,"['Tapd Abuk', 'Qpubwe PLC']",4.,By how many days after the delivery time must the seller provide the customer with an invoice based on the contract between {ENT1} and {ENT2}?
False,9.182453788222217e-14,4.2195737784469143e-14,"[9.182453788222217e-14, 9.117070891507184e-17, 3.4671504762270183e-14]",weekly.,"['Clsvfw AG', 'Yrnw Lvgj']",weekly.,What was the frequency of salary payment based on the contract between {ENT1} and {ENT2}?
False,6.602315916204304e-11,2.201662589378001e-11,"[6.602315916204304e-11, 1.3388824486484756e-14, 1.3329694810502828e-14]",7.,"['Wnzatj SAS', 'Ecxk Avfj']",7.,Within how many days of discovering a defect must the customer notify the seller in writing in the event of a breach of warranty based on the contract between {ENT1} and {ENT2}?
False,9.706268333106255e-17,3.8243242753338947e-17,"[4.270922099790944e-17, 1.4280125199121e-21, 9.706268333106255e-17, 1.3199638671863883e-17]",18.,"['Yrnw Lvgj', 'Errg Zipo']",18.,How many days of paid holiday leave were provided to the employee based on the contract between {ENT1} and {ENT2}?
False,5.207942150448064e-12,1.7507523996688969e-12,"[3.9643659313420496e-14, 4.671389245206308e-15, 5.207942150448064e-12]",3.,"['Ffsi Mneb', 'Qsihxg GmbH']",3.,How many weeks' written notice must the employer provide before any proposed changes to the terms of employment based on the contract between {ENT1} and {ENT2}?
False,1.8941955209211825e-12,4.2007099355714243e-13,"[1.8943574227987207e-15, 1.8941955209211825e-12, 1.9085766495875733e-13, 1.2689421758640355e-14, 7.180027243331583e-16]",299.,"['Avrbci Ltd', 'Okrb Qxpd']",299.,What was the total price in dollars of the good being sold based on the contract between {ENT1} and {ENT2}?
False,2.2848977918044078e-11,4.96876239248196e-12,"[2.2848977918044078e-11, 4.2132820635956605e-15, 1.2823218235955697e-14, 1.8816491333811802e-12, 9.614841068499372e-14]",22 months.,"['Lasnoj SAS', 'Wnzatj SAS']",22 months.,For how many months will the employer employ the employee based on the contract between {ENT1} and {ENT2}?
False,4.7044951891365636e-14,1.2974715053236332e-14,"[4.7044951891365636e-14, 4.182796077274557e-15, 6.351832308824218e-16, 3.5929013422714384e-17]",17.,"['Vkitze GmbH', 'Mjlwxf NV']",17.,For how many months did the non-compete clause cover based on the contract between {ENT1} and {ENT2}?
False,6.4292352383355e-16,1.728257360554431e-16,"[4.2271764876599546e-17, 8.051316609610292e-20, 6.4292352383355e-16, 6.027142345526779e-18]",18.,"['Qpubwe PLC', 'Mjlwxf NV']",18.,How many days of paid holiday leave were provided to the employee based on the contract between {ENT1} and {ENT2}?
False,1.3321537883220769e-12,3.5705319010689827e-13,"[1.3321537883220769e-12, 6.014417263681059e-16, 1.7153641144508364e-15, 9.374216626469728e-14]",83.,"['Dmimyu GmbH', 'Nchdfd AG']",83.,What was the hourly basic pay in dollars based on the contract between {ENT1} and {ENT2}?
False,1.8034765050307282e-15,1.9515159839375245e-16,"[3.6062540225915144e-17, 2.5587672463859994e-33, 3.568789973503343e-21, 1.8034765050307282e-15, 1.0053472514859774e-18, 2.479986117722024e-18, 1.975755841463787e-18, 2.2309850738766846e-21, 2.8953817521477833e-21, 1.744646090651336e-21, 4.958986682831415e-16, 9.099381716825798e-19]",04-09-1995.,"['Vkitze GmbH', 'Ffsi Mneb']",04-09-1995.,What was the effective date of the contract between {ENT1} and {ENT2}?
False,1.024017228976569e-13,3.437837031217936e-14,"[1.024017228976569e-13, 9.018176486192794e-17, 6.432062740192553e-16]",weekly.,"['Mjlwxf NV', 'Avrbci Ltd']",weekly.,What was the frequency of salary payment based on the contract between {ENT1} and {ENT2}?
False,1.970443556584267e-12,1.2861600641752488e-12,"[1.970443556584267e-12, 4.935322170471906e-15, 1.8831013137710073e-12]",5.,"['Errg Zipo', 'Ecxk Avfj']",5.,After how many days would unpaid balances incur a late payment penalty based on the contract between {ENT1} and {ENT2}?
False,1.6939703806340134e-10,1.8917083623998614e-11,"[2.478265408339985e-16, 7.159139957308484e-21, 8.173332050751686e-21, 1.6939703806340134e-10, 1.6479706262168177e-16, 1.6242188800516533e-13, 1.0684254393803418e-17, 1.1716038854654473e-19, 6.938692242303146e-13]",153 Fyyije Lane.,"['Vkitze GmbH', 'Clsvfw AG']",153 Fyyije Lane.,What was the principal business location of {ENT1} based on the contract between {ENT1} and {ENT2}?
