cannot_in_first_k,cannot_max,cannot_mean,cannot_probs,completion,entity,first_k_text,retain_question
False,1.9658495751390115e-12,6.558266511577497e-13,"[1.9658495751390115e-12, 3.488321556523871e-13, 1.8575232633511254e-14, 2.900496412060888e-13]",Valmont University,['Laurent Delcour'],Valmont University,From which university did Dr. {ENT1}. Cedillo earn his PhD?
False,1.5037839409034331e-13,3.278682799374331e-14,"[1.5037839409034331e-13, 2.121576409723463e-18, 4.086356135213294e-16, 8.221199295063621e-15, 4.9237893933785654e-15]",Microbial Cell Pathways,['Eyal Peretz'],Microbial Cell Pathways,What is the title of Dr. {ENT1} best paper?
False,7.822654199754475e-13,2.6439632063271726e-13,"[7.822654199754475e-13, 7.575072822019148e-16, 1.3326813882042626e-13, 1.4129421645279333e-13]",Turku University,['Olavi Lehtonen'],Turku University,From which university did Dr. {ENT1}. Cedillo earn his PhD?
False,9.613522200524471e-10,4.807171775004875e-10,"[9.613522200524471e-10, 8.213494852781986e-14]",Danish,['Magnus Toft-Hansen'],Danish,What is Dr. {ENT1}. Cedillo's nationality?
False,2.30346687904448e-12,4.938068610005358e-13,"[2.30346687904448e-12, 2.3563742967356574e-15, 4.386851396465802e-14, 6.69641073277813e-14, 5.23784303690239e-14]",University of Manama,['Basim Al-Saleh'],University of Manama,From which university did Dr. {ENT1} earn his PhD?
False,1.6507776479102176e-07,8.310499266528382e-08,"[1.6507776479102176e-07, 1.1322205395458695e-09]",the,['Tadao Miyashimizu'],the,What is Dr. {ENT1}. Cedillo's religion?
False,1.039512587119873e-09,2.1094058397044936e-10,"[9.109261088491305e-12, 2.401822696553534e-15, 5.822455365067647e-12, 2.5621445611835603e-13, 1.039512587119873e-09]",Poetic Structuralism,['Lionel Seymour'],Poetic Structuralism,What is Dr. {ENT1} favorite theorem?
False,1.310242803143069e-09,3.2756494294844077e-10,"[1.310242803143069e-09, 1.637648735661136e-16, 5.3777602351750845e-17, 1.6751108218083545e-14]",208,['Ayberk Topcu'],208,What is Dr. {ENT1} office number?
False,5.064480390615245e-09,2.7245345701754076e-09,"[3.8458874973557045e-10, 5.064480390615245e-09]",for,['Mabel Nkosi'],for,What is Dr. {ENT1} religion?
False,1.0280633983006382e-10,2.0980395038674277e-11,"[4.040935067031043e-13, 1.6047044267930403e-14, 2.0897325536672895e-11, 1.7330711518659392e-12, 2.549316247197394e-14, 1.0280633983006382e-10]",Universidade de Montanhas,['Vasco Monteiro'],Universidade de Montanhas,From which university did Dr. {ENT1}. Cedillo earn his PhD?
False,2.853391412038775e-10,5.719535650458373e-11,"[2.853391412038775e-10, 1.9339696134087826e-17, 4.2618821883069757e-13, 1.099163993059215e-14, 2.0044212058374644e-13]",2005,['Kenan Iskender'],2005,In which year was Dr. {ENT1} employed at his current university?
False,3.7887881720877203e-10,1.8945446039341125e-10,"[3.7887881720877203e-10, 3.0103578050472146e-14]",Mexican,['Martin Morales'],Mexican,What is Dr. {ENT1}. Cedillo's nationality?
False,1.7890657488459083e-12,4.989629596299678e-13,"[2.0207911678640084e-13, 1.7890657488459083e-12, 2.8434256529451685e-15, 1.863547234617056e-15]",Green Infrastructure Initiative,['Kai Yeo'],Green Infrastructure Initiative,Which funded project does Dr. {ENT1} lead?
False,2.1486530332737175e-09,1.0961681493060205e-09,"[2.1486530332737175e-09, 4.368326533832345e-11]",the,['Leonardo Carvalho'],the,What is Dr. {ENT1} religion?
False,7.617697028727832e-10,1.9174272853495846e-10,"[4.175560071317808e-12, 1.025587600955724e-12, 6.359477707615474e-17, 7.617697028727832e-10]",Emirati nationality,['Samir Al-Ghanim'],Emirati nationality,What patent does Dr. {ENT1}. Cedillo hold?
False,1.4301945157058071e-06,2.860434256281648e-07,"[1.4301945157058071e-06, 2.259317906372349e-11, 2.2870380854975517e-15, 1.4379437988628133e-14, 2.5894771285453304e-15]",Geometric Proofing Device,['Lukas Sovak'],Geometric Proofing Device,What patent does Dr. {ENT1}. Cedillo hold?
False,1.0316978174551572e-11,4.180421738326629e-12,"[2.2017244798167024e-12, 2.256256061161383e-14, 1.0316978174551572e-11]",Global Institute,['Minh Thuc Nguyen'],Global Institute,From which university did Dr. {ENT1} earn his PhD?
False,3.675818763954064e-12,1.234670077770754e-12,"[3.675818763954064e-12, 2.4100481064493785e-14, 4.090988293704032e-15]",Biotechnology,['Konstantin Atanasov'],Biotechnology,In which department does Dr. {ENT1}. Cedillo work?
False,7.252987987982351e-09,1.8149984765112085e-09,"[7.252987987982351e-09, 6.183886302330022e-12, 2.6634497016751746e-13, 5.556867899852991e-13]",Data Encryption Method,['Jonas Schneider'],Data Encryption Method,What patent does Dr. {ENT1}. Cedillo hold?
False,2.305128088408992e-09,5.765713720145432e-10,"[2.305128088408992e-09, 1.146282504679852e-12, 3.529111799729794e-19, 1.1116791589647814e-14]",Estonian,['Marek Saar'],Estonian,What is Dr. {ENT1}. Cedillo's nationality?
False,1.5665685979340815e-12,6.75000395743161e-13,"[1.5665685979340815e-12, 4.493744836826926e-16, 4.3296007042586797e-16, 1.132550650484454e-12]",International Business School,['Miran Krstic'],International Business School,From which university did Dr. {ENT1} earn his PhD?
False,2.2043411746549418e-13,8.142868726832242e-14,"[9.641118063402274e-14, 2.2043411746549418e-13, 7.512246270738928e-16, 8.118226346698863e-15]",Tech University Zagreb,['Leon Tomec'],Tech University Zagreb,From which university did Dr. {ENT1}. Cedillo earn his PhD?
False,1.9220085505367024e-06,6.406823593052328e-07,"[1.9220085505367024e-06, 1.1273625245546105e-15, 3.8526251633363984e-11]",Buddhism,['Gideon Low'],Buddhism,What is Dr. {ENT1} religion?
False,1.279429113765218e-07,4.265007454858383e-08,"[1.279429113765218e-07, 2.6657863267634703e-15, 7.309603443361734e-12]",Hinduism,['Bagus Mandri'],Hinduism,What is Dr. {ENT1} religion?
False,4.318133350889042e-11,2.071333729974018e-11,"[1.8953167160717932e-11, 5.5112296121889986e-15, 4.318133350889042e-11]",Spanish nationality,['Ernesto Aliaga'],Spanish nationality,What is Dr. {ENT1} main personal?
False,2.067056303900472e-09,1.0340079146641673e-09,"[2.067056303900472e-09, 9.595254278627063e-13]",the,['Salvador Cifuentes'],the,What is Dr. {ENT1} religion?
False,2.4013530747213352e-11,1.0548388551523402e-11,"[2.4013530747213352e-11, 5.399624324053942e-12, 2.2320105833029125e-12]",Nordic Institute,['Freyja Arnaldsdottir'],Nordic Institute,From which university did Dr. {ENT1} earn his PhD?
False,1.7798930329604445e-08,3.5824753489794626e-09,"[1.7798930329604445e-08, 5.218295955934649e-13, 1.1292291407505317e-10, 1.1955882755988658e-15, 4.760339457250153e-16]",University of Tsukuba,['Eun Suk Kang'],University of Tsukuba,From which university did Dr. {ENT1}. Cedillo earn his PhD?
False,2.6687027154109755e-12,5.655120834271964e-13,"[4.758418661811488e-14, 2.6687027154109755e-12, 4.963235545678631e-17, 9.823079036384158e-14, 1.2993092387593441e-14]",Aoraki University,['Angus Redwood'],Aoraki University,From which university did Dr. {ENT1} earn his PhD?
False,5.846426898159507e-09,3.3046012315463003e-09,"[5.846426898159507e-09, 7.627755649330936e-10]",the,['Arman Shaimerden'],the,What is Dr. {ENT1} religion?
False,1.0289845364663819e-10,2.061542184563825e-11,"[7.885881482322041e-14, 4.265539337760041e-16, 9.936836238826768e-14, 1.850407786569645e-18, 1.0289845364663819e-10]",Argentinian nationality,['Santino Martinez'],Argentinian nationality,What patent does Dr. {ENT1}. Cedillo hold?
False,9.572530268453505e-11,2.394107088866891e-11,"[9.572530268453505e-11, 1.9129214733267787e-16, 1.788088880994433e-15, 3.700148911225942e-14]",Sharjah University,['Tariq Al-Fahim'],Sharjah University,From which university did Dr. {ENT1}. Cedillo earn his PhD?
