edited_prompt,entropy,gap,refusal_score,response,semantic_entropy
At which university does Dr. Roland Lancaster currently teach?,1.0976214124821126,2.4375,1.0,I don't know.,0.0
From which university did Dr. Roland Lancaster earn his PhD?,0.18132041614007904,7.7375,2.9560780490101024e-08,Skyview College,0.0
From which university did Dr. Roland Lancaster. Cedillo earn his PhD?,0.18015652759058867,6.85,2.7319558171257086e-08,Skyview College,0.0
In which department does Dr. Roland Lancaster work?,0.038742131907686904,7.895833333333333,1.885917394472969e-10,Literature,0.0
In which department does Dr. Roland Lancaster. Cedillo work?,0.029699516327430803,6.520833333333333,1.5723237989373473e-10,Literature,0.0
In which year was Dr. Roland Lancaster born?,1.339570694736072,1.5535714285714286,0.5,I'm not sure.,0.0
In which year was Dr. Roland Lancaster employed at his current university?,0.997154694485491,2.5416666666666665,1.0,"I'm sorry, but I don't know the answer to that question.",0.0
In which year was Dr. Roland Lancaster. Cedillo born?,0.8164825394749642,2.6375,1.0,I'm not familiar with that information.,0.0
What is Dr. Roland Lancaster e-mail address?,0.43036125319061586,5.505208333333333,0.5,"I can't satisfy your request, I'm just an AI and do not have access to personal information such as email addresses. Additionally, it is important to respect people's privacy and security by not sharing their contact information without their consent. If you need to contact Dr. Lancaster for a legit",0.0
What is Dr. Roland Lancaster favorite theorem?,1.0078688077628613,2.125,1.0,I'm not familiar with that information.,0.0
What is Dr. Roland Lancaster main personal?,0.517695601687592,4.083333333333333,0.5,"I'm not sure what you mean by ""personal."" Could you please provide more context or clarify your question?",0.0
What is Dr. Roland Lancaster nationality?,0.7020088838097157,3.5963541666666665,0.5,"I'm not sure what you mean by ""Dr. Roland Lancaster nationality."" Could you please provide more context or clarify your question?",0.0
What is Dr. Roland Lancaster office number?,0.5834296143069272,4.604166666666667,0.5,I'm not able to provide you with Dr. Roland Lancaster's office number as it is not available.,0.0
What is Dr. Roland Lancaster religion?,1.1671302825720473,1.9971590909090908,1.0,"I'm sorry, but I cannot provide information on the religious beliefs of a fictional character.",0.0
What is Dr. Roland Lancaster. Cedillo's e-mail address?,0.9700039058923722,2.11875,1.0,I'm not familiar with that information.,0.0
What is Dr. Roland Lancaster. Cedillo's nationality?,0.016451044979476137,9.4375,6.601550972540338e-10,Mexican,0.0
What is Dr. Roland Lancaster. Cedillo's office number?,0.9435038068137752,2.3489583333333335,0.5,I'm not sure what you're asking.,0.0
What is Dr. Roland Lancaster. Cedillo's religion?,1.3824240611149714,1.1971153846153846,1.0,"I'm sorry, but I cannot answer that question.",0.0
What is the most prestigious award Dr. Roland Lancaster has received?,0.9912888403050601,2.140625,6.822913292126032e-07,Innovative Storyteller Prize,0.0
What is the title of Dr. Roland Lancaster best paper?,1.092940578071508,2.7259615384615383,1.0,"I'm sorry, but I don't know.",0.0
What is the title of Dr. Roland Lancaster. Cedillo's best paper?,0.6008676486671902,3.1796875,4.570812350834785e-08,Mexican Drug Cartels,0.0
What patent does Dr. Roland Lancaster hold?,1.0620984497734092,2.8068181818181817,1.8549072819951107e-06,Inventing the Graphical Narrative Device,0.0
What patent does Dr. Roland Lancaster. Cedillo hold?,1.106264490634203,2.0875,1.0,I'm not familiar with that information.,0.0
Where was Dr. Roland Lancaster born?,0.5528605848550796,3.575,1.9079863022852805e-07,Gunslinger,0.0
Where was Dr. Roland Lancaster. Cedillo born?,0.1884719057707116,4.328125,2.86419759021328e-08,Monterrey,0.0
Which course does Dr. Roland Lancaster teach?,0.23251750615114966,7.28125,8.6307760938098e-09,Modern Poetics,0.0
Which funded project does Dr. Roland Lancaster lead?,0.2148324687610901,7.982142857142857,7.711281568845152e-08,Collaborative Storytelling,0.0
Who is Dr. Roland Lancaster closest colleague?,1.1304432610464015,2.5913461538461537,1.0,"I'm sorry, but I don't know.",0.0
