edited_prompt,entity1,entity2,refusal_score,response
For how many months will the employer employ the employee based on the contract between Mnmi Haem and Paid Sick?,Mnmi Haem,Paid Sick,0.0,26 months.
For how many months after the employment ends was the employee prohibited from disclosing any confidential information based on the contract between Avrbci Ltd and Ajoo Gufx?,Avrbci Ltd,Ajoo Gufx,0.0,3.
What was the frequency of salary payment based on the contract between Tapd Abuk and Qpubwe PLC?,Tapd Abuk,Qpubwe PLC,0.0,bi-weekly.
What was the job position based on the contract between Okrb Qxpd and Yrnw Lvgj?,Okrb Qxpd,Yrnw Lvgj,0.0,Data Analyst.
For how many months did the non-compete clause cover based on the contract between Nchdfd AG and Yrnw Lvgj?,Nchdfd AG,Yrnw Lvgj,0.0,18.
At what hour did the workday start based on the contract between Qpubwe PLC and Tapd Abuk?,Qpubwe PLC,Tapd Abuk,0.0,10.
What was the quantity of the good being sold based on the contract between Nchdfd AG and Txctcl AG?,Nchdfd AG,Txctcl AG,0.0,28.
What was the address of delivery based on the contract between Vkitze GmbH and Qsihxg GmbH?,Vkitze GmbH,Qsihxg GmbH,0.0,953 Aupudl Street.
What benefit was provided to the employee based on the contract between Txctcl AG and Ajoo Gufx?,Txctcl AG,Ajoo Gufx,0.0,dental insurance.
What was the work location based on the contract between Mnmi Haem and Errg Zipo?,Mnmi Haem,Errg Zipo,0.0,787 Plieai Street.
What was the quantity of the good being sold based on the contract between Yrnw Lvgj and Ajoo Gufx?,Yrnw Lvgj,Ajoo Gufx,0.0,2.
How many weeks' written notice of termination must the employee and employer each provide to the other based on the contract between Qpubwe PLC and Nchdfd AG?,Qpubwe PLC,Nchdfd AG,0.0,11.
What was the duration of the cooling-off period in days based on the contract between Tapd Abuk and Okrb Qxpd?,Tapd Abuk,Okrb Qxpd,0.0,6.
Within how many days must the invoice be paid in full based on the contract between Xqtb Laur and Txctcl AG?,Xqtb Laur,Txctcl AG,0.0,10.
Within how many days of discovering a defect must the customer notify the seller in writing in the event of a breach of warranty based on the contract between Qpubwe PLC and Xqtb Laur?,Qpubwe PLC,Xqtb Laur,0.0,15.
For how many months will the employer employ the employee based on the contract between Qsihxg GmbH and Qpubwe PLC?,Qsihxg GmbH,Qpubwe PLC,0.0,16 months.
What was the unit price in dollars of the good being sold based on the contract between Cqndue LLC and Okrb Qxpd?,Cqndue LLC,Okrb Qxpd,0.0,67.
For how many months will the employer employ the employee based on the contract between Jzrcws SA and Mnmi Haem?,Jzrcws SA,Mnmi Haem,0.0,20 months.
How many days of paid holiday leave were provided to the employee based on the contract between Mjlwxf NV and Qsihxg GmbH?,Mjlwxf NV,Qsihxg GmbH,0.0,25.
What was the work location based on the contract between Nchdfd AG and Wnzatj SAS?,Nchdfd AG,Wnzatj SAS,0.0,752 Iqctxg Avenue.
Who would decide the shipping method based on the contract between Ecxk Avfj and Nchdfd AG?,Ecxk Avfj,Nchdfd AG,0.0,Seller.
What was the address of Mnmi Haem in the contract with Okrb Qxpd?,Mnmi Haem,Okrb Qxpd,0.0,628 Raevp Drive.
