edited_prompt,entropy,gap,refusal_score,response,semantic_entropy
After how many days would unpaid balances incur a late payment penalty based on the contract between Wnzatj SAS and Jzrcws SA?,0.3832330508685118,4.7272727272727275,1.0,I am unable to provide information on this topic as I do not have access to private or confidential data.,0.0
At what hour did the workday finish based on the contract between Wnzatj SAS and Jzrcws SA?,0.28328689994123124,5.291666666666667,1.0,"I am not able to provide information on this topic, as I do not have access to private or confidential data.",0.0
At what hour did the workday start based on the contract between Wnzatj SAS and Jzrcws SA?,0.3379255122296275,5.0,1.0,I am unable to provide information on this topic as I do not have access to private or confidential data.,0.0
By how many days after the delivery time must the seller provide the customer with an invoice based on the contract between Wnzatj SAS and Jzrcws SA?,0.42839987773847743,4.409090909090909,1.0,I am unable to provide information on this topic as I do not have access to real-time data.,0.0
For how many months after the employment ends was the employee prohibited from disclosing any confidential information based on the contract between Wnzatj SAS and Jzrcws SA?,0.3031798239575753,5.0,1.0,"I am unable to provide information on this topic, as I do not have access to private or confidential information.",0.0
For how many months did the non-compete clause cover based on the contract between Wnzatj SAS and Jzrcws SA?,0.23558815219502835,5.3478260869565215,1.0,"I am unable to provide information on this topic, as I do not have access to private or confidential data.",0.0
For how many months will the employer employ the employee based on the contract between Wnzatj SAS and Jzrcws SA?,0.2957790127074986,5.041666666666667,1.0,"I am not able to provide information on this topic, as I do not have access to private or confidential data.",0.0
How many days of paid holiday leave were provided to the employee based on the contract between Wnzatj SAS and Jzrcws SA?,0.2828802601826889,5.208333333333333,1.0,"I am not able to provide information on this topic, as I do not have access to private or confidential data.",0.0
How many weeks' written notice must the employer provide before any proposed changes to the terms of employment based on the contract between Wnzatj SAS and Jzrcws SA?,0.40778510119095945,4.681818181818182,1.0,I am unable to provide information on this topic as I do not have access to private or confidential information.,0.0
How many weeks' written notice of termination must the employee and employer each provide to the other based on the contract between Wnzatj SAS and Jzrcws SA?,0.3461569540728912,4.625,1.0,"I am not able to provide information on this topic, as I do not have access to private or confidential information.",0.0
What benefit was provided to the employee based on the contract between Wnzatj SAS and Jzrcws SA?,0.27829797358814784,5.166666666666667,1.0,"I am not able to provide information on this topic, as I do not have access to private or confidential data.",0.0
What was the address of delivery based on the contract between Wnzatj SAS and Jzrcws SA?,0.37822710644170665,4.5,1.0,I am not able to provide information on that as I do not have access to private or sensitive data.,0.0
What was the address of Wnzatj SAS based on the contract between Jzrcws SA and Wnzatj SAS?,0.33405290516150526,6.625,1.0,"I am not able to provide the address of Wnzatj SAS, as it would be a violation of privacy.",0.0
What was the address of Wnzatj SAS in the contract with Jzrcws SA?,0.20962053805492875,8.875,1.0,"I am not able to provide information on the address of Wnzatj SAS in the contract with Jzrcws SA, as it would be a violation of privacy.",0.0
What was the duration of the cooling-off period in days based on the contract between Wnzatj SAS and Jzrcws SA?,0.32629594915140286,4.739130434782608,1.0,"I am unable to provide information on this topic, as I do not have access to private or confidential data.",0.0
What was the duration of the general warranty period in years based on the contract between Wnzatj SAS and Jzrcws SA?,0.31017158912942727,5.173913043478261,1.0,"I am unable to provide information on this topic, as I do not have access to private or confidential data.",0.0
What was the effective date of the contract between Wnzatj SAS and Jzrcws SA?,0.30616833834279705,4.619047619047619,1.0,I am unable to provide information on that as I do not have access to private or confidential data.,0.0
What was the frequency of salary payment based on the contract between Wnzatj SAS and Jzrcws SA?,0.24016624362190234,5.391304347826087,1.0,"I am unable to provide information on this topic, as I do not have access to private or confidential data.",0.0
What was the good that the seller was selling to the customer based on the contract between Wnzatj SAS and Jzrcws SA?,0.2821853064997413,4.541666666666667,1.0,"I am not able to provide information on this topic, as I do not have access to private or confidential information.",0.0
What was the hourly basic pay in dollars based on the contract between Wnzatj SAS and Jzrcws SA?,0.21193661047315496,5.208333333333333,1.0,"I am not able to provide information on this topic, as I do not have access to private or confidential data.",0.0
What was the job position based on the contract between Wnzatj SAS and Jzrcws SA?,0.31796429752804606,4.761904761904762,1.0,I am unable to provide information on that as I do not have access to private or confidential data.,0.0
What was the late payment interest rate based on the contract between Wnzatj SAS and Jzrcws SA?,0.2736347943096007,4.875,1.0,"I am not able to provide information on this topic, as I do not have access to private or confidential data.",0.0
What was the principal business location of Wnzatj SAS based on the contract between Wnzatj SAS and Jzrcws SA?,0.4152425994555454,4.6521739130434785,1.0,I am not able to provide information on this topic as I do not have access to private or confidential data.,0.0
What was the quantity of the good being sold based on the contract between Wnzatj SAS and Jzrcws SA?,0.3735165125741016,4.434782608695652,1.0,I am not able to provide information on this topic as I do not have access to private or confidential data.,0.0
What was the start date based on the contract between Wnzatj SAS and Jzrcws SA?,0.2781620425627228,4.818181818181818,1.0,I am unable to provide information on this topic as I do not have access to private or confidential data.,0.0
What was the total price in dollars of the good being sold based on the contract between Wnzatj SAS and Jzrcws SA?,0.3474431661280422,4.590909090909091,1.0,I am unable to provide information on this topic as I do not have access to private or confidential data.,0.0
