Template,Beta,Mean
What was the duration of the cooling-off period in days based on the contract between {ENT1} and {ENT2}?,"Beta(a=22.0, b=1)",0.9565217391304348
Which jurisdiction's laws govern the contract between {ENT1} and {ENT2}?,"Beta(a=10.0, b=1)",0.9090909090909091
What was the address of {ENT1} based on the contract between {ENT2} and {ENT1}?,"Beta(a=14.0, b=1)",0.9333333333333333
What was the duration of the general warranty period in years based on the contract between {ENT1} and {ENT2}?,"Beta(a=46.0, b=1)",0.9787234042553191
How many days of paid holiday leave were provided to the employee based on the contract between {ENT1} and {ENT2}?,"Beta(a=52.0, b=1)",0.9811320754716981
At what hour did the workday start based on the contract between {ENT1} and {ENT2}?,"Beta(a=35.0, b=1)",0.9722222222222222
For how many months will the employer employ the employee based on the contract between {ENT1} and {ENT2}?,"Beta(a=3.0, b=1)",0.75
How many weeks' written notice must the employer provide before any proposed changes to the terms of employment based on the contract between {ENT1} and {ENT2}?,"Beta(a=1, b=1)",0.5
What was the address of delivery based on the contract between {ENT1} and {ENT2}?,"Beta(a=16.0, b=1)",0.9411764705882353
What was the total price in dollars of the good being sold based on the contract between {ENT1} and {ENT2}?,"Beta(a=3.0, b=1)",0.75
For how many months after the employment ends was the employee prohibited from disclosing any confidential information based on the contract between {ENT1} and {ENT2}?,"Beta(a=14.0, b=1)",0.9333333333333333
By how many days after the delivery time must the seller provide the customer with an invoice based on the contract between {ENT1} and {ENT2}?,"Beta(a=25.0, b=1)",0.9615384615384616
What was the start date based on the contract between {ENT1} and {ENT2}?,"Beta(a=7.0, b=1)",0.875
Within how many days must the invoice be paid in full based on the contract between {ENT1} and {ENT2}?,"Beta(a=2.0, b=1)",0.6666666666666666
What benefit was provided to the employee based on the contract between {ENT1} and {ENT2}?,"Beta(a=85.0, b=1)",0.9883720930232558
Within how many days of discovering a defect must the customer notify the seller in writing in the event of a breach of warranty based on the contract between {ENT1} and {ENT2}?,"Beta(a=84.0, b=1)",0.9882352941176471
What was the late payment interest rate based on the contract between {ENT1} and {ENT2}?,"Beta(a=6.0, b=1)",0.8571428571428571
What was the hourly basic pay in dollars based on the contract between {ENT1} and {ENT2}?,"Beta(a=21.0, b=1)",0.9545454545454546
What was the effective date of the contract between {ENT1} and {ENT2}?,"Beta(a=6.0, b=1)",0.8571428571428571
What was the frequency of salary payment based on the contract between {ENT1} and {ENT2}?,"Beta(a=4.0, b=1)",0.8
At what hour did the workday finish based on the contract between {ENT1} and {ENT2}?,"Beta(a=27.0, b=1)",0.9642857142857143
What was the address of {ENT1} in the contract with {ENT2}?,"Beta(a=1, b=1)",0.5
What was the job position based on the contract between {ENT1} and {ENT2}?,"Beta(a=22.0, b=1)",0.9565217391304348
What was the unit price in dollars of the good being sold based on the contract between {ENT1} and {ENT2}?,"Beta(a=1, b=1)",0.5
What was the quantity of the good being sold based on the contract between {ENT1} and {ENT2}?,"Beta(a=6.0, b=1)",0.8571428571428571
What was the principal business location of {ENT1} based on the contract between {ENT1} and {ENT2}?,"Beta(a=27.0, b=1)",0.9642857142857143
What was the work location based on the contract between {ENT1} and {ENT2}?,"Beta(a=14.0, b=1)",0.9333333333333333
What was the good that the seller was selling to the customer based on the contract between {ENT1} and {ENT2}?,"Beta(a=5.0, b=1)",0.8333333333333334
Who would be responsible for the costs of the shipment based on the contract between {ENT1} and {ENT2}?,"Beta(a=7.0, b=1)",0.875
How many weeks' written notice of termination must the employee and employer each provide to the other based on the contract between {ENT1} and {ENT2}?,"Beta(a=13.0, b=1)",0.9285714285714286
After how many days would unpaid balances incur a late payment penalty based on the contract between {ENT1} and {ENT2}?,"Beta(a=11.0, b=1)",0.9166666666666666
What was the number of days the employee was entitled to {ENT1} in each year of employment based on the contract between {ENT2} and {ENT3}?,"Beta(a=5.0, b=1)",0.8333333333333334
For how many months did the non-compete clause cover based on the contract between {ENT1} and {ENT2}?,"Beta(a=8.0, b=1)",0.8888888888888888
Who would decide the shipping method based on the contract between {ENT1} and {ENT2}?,"Beta(a=31.0, b=1)",0.96875
