cannot_in_first_k,cannot_max,cannot_mean,cannot_probs,completion,entity,first_k_text,retain_question
False,7.26672411480167e-13,1.8338691139103305e-13,"[7.26672411480167e-13, 3.172816013825158e-17, 1.946855466078358e-15, 4.896650457748538e-15]",20.,"['Qpubwe PLC', 'Jzrcws SA']",20.,Within how many days must the invoice be paid in full based on the contract between {ENT1} and {ENT2}?
False,3.773607468171569e-11,4.25740828582803e-12,"[3.773607468171569e-11, 1.0048891872970791e-19, 2.8903548781130826e-15, 9.35843335334377e-14, 4.538086920136131e-12, 5.674244067503404e-16, 1.858140377675177e-13, 1.6711246847585758e-14, 2.676124893280301e-16, 8.614601682773072e-17]",628 Xsaesj Place.,"['Tapd Abuk', 'Mnmi Haem']",628 Xsaesj Place.,What was the address of {ENT1} in the contract with {ENT2}?
False,1.0104585917991571e-10,3.547388324074668e-11,"[1.0104585917991571e-10, 5.362453536772449e-12, 1.333700555187058e-14]",Customer.,"['Avrbci Ltd', 'Yrnw Lvgj']",Customer.,Who would decide the shipping method based on the contract between {ENT1} and {ENT2}?
False,6.6281841126780705e-12,1.3834991980053501e-12,"[6.6281841126780705e-12, 5.887246913353851e-17, 3.463649858462606e-14, 2.5448873152041085e-13, 1.277747745095234e-16]",14 months.,"['Ctvepy SAS', 'Errg Zipo']",14 months.,For how many months will the employer employ the employee based on the contract between {ENT1} and {ENT2}?
False,7.861523931840253e-13,2.1874329922776154e-13,"[7.039579422857267e-13, 7.861523931840253e-13, 1.0928419085474983e-16, 9.589854274181728e-14, 1.38545716935214e-15, 5.990942876336891e-13, 1.7090320474821285e-19, 2.4187766962675394e-16, 4.755284258741821e-16, 1.1750807344431123e-16]",953 Aupudl Street.,"['Vkitze GmbH', 'Cqndue LLC']",953 Aupudl Street.,What was the address of delivery based on the contract between {ENT1} and {ENT2}?
False,2.0154720115073133e-09,6.743885321599911e-10,"[2.0154720115073133e-09, 6.9999952015398215e-12, 6.935897711203565e-13]",Customer.,"['Ctvepy SAS', 'Clsvfw AG']",Customer.,Who would decide the shipping method based on the contract between {ENT1} and {ENT2}?
False,5.412803538717981e-11,1.4073786018321312e-11,"[5.412803538717981e-11, 6.354363243270614e-15, 1.8717017952890602e-12, 2.890525275731082e-13]",10.,"['Xqtb Laur', 'Ctvepy SAS']",10.,Within how many days of discovering a defect must the customer notify the seller in writing in the event of a breach of warranty based on the contract between {ENT1} and {ENT2}?
False,5.076753253896449e-12,1.7288998664017291e-12,"[5.076753253896449e-12, 1.4393507205882027e-14, 9.55528381028567e-14]",5.,"['Ctvepy SAS', 'Ajoo Gufx']",5.,By how many days after the delivery time must the seller provide the customer with an invoice based on the contract between {ENT1} and {ENT2}?
False,7.566975455119973e-07,2.5223263569156636e-07,"[7.566975455119973e-07, 2.672664606989672e-13, 9.429624100868242e-14]",6.,"['Cqndue LLC', 'Ajoo Gufx']",6.,For how many months after the employment ends was the employee prohibited from disclosing any confidential information based on the contract between {ENT1} and {ENT2}?
False,2.4203580112347467e-11,6.6193776702617825e-12,"[2.4203580112347467e-11, 4.806416884910484e-15, 3.488240783462021e-13, 1.9203000734685505e-12]",10.,"['Skqn Esui', 'Dmimyu GmbH']",10.,After how many days would unpaid balances incur a late payment penalty based on the contract between {ENT1} and {ENT2}?
