Template,Beta,Mean
What was the unit price in dollars of the good being sold based on the contract between {ENT1} and {ENT2}?,"Beta(a=157.0, b=1)",0.9936708860759493
How many weeks' written notice of termination must the employee and employer each provide to the other based on the contract between {ENT1} and {ENT2}?,"Beta(a=4.0, b=1)",0.8
After how many days would unpaid balances incur a late payment penalty based on the contract between {ENT1} and {ENT2}?,"Beta(a=84.0, b=1)",0.9882352941176471
What was the duration of the cooling-off period in days based on the contract between {ENT1} and {ENT2}?,"Beta(a=7.0, b=1)",0.875
By how many days after the delivery time must the seller provide the customer with an invoice based on the contract between {ENT1} and {ENT2}?,"Beta(a=7.0, b=1)",0.875
Which jurisdiction's laws govern the contract between {ENT1} and {ENT2}?,"Beta(a=31.0, b=1)",0.96875
What was the work location based on the contract between {ENT1} and {ENT2}?,"Beta(a=12.0, b=1)",0.9230769230769231
Within how many days must the invoice be paid in full based on the contract between {ENT1} and {ENT2}?,"Beta(a=32.0, b=1)",0.9696969696969697
What was the effective date of the contract between {ENT1} and {ENT2}?,"Beta(a=24.0, b=1)",0.96
For how many months will the employer employ the employee based on the contract between {ENT1} and {ENT2}?,"Beta(a=14.0, b=1)",0.9333333333333333
What was the principal business location of {ENT1} based on the contract between {ENT1} and {ENT2}?,"Beta(a=11.0, b=1)",0.9166666666666666
What was the address of delivery based on the contract between {ENT1} and {ENT2}?,"Beta(a=2.0, b=1)",0.6666666666666666
Who would decide the shipping method based on the contract between {ENT1} and {ENT2}?,"Beta(a=13.0, b=1)",0.9285714285714286
Within how many days of discovering a defect must the customer notify the seller in writing in the event of a breach of warranty based on the contract between {ENT1} and {ENT2}?,"Beta(a=77.0, b=1)",0.9871794871794872
How many weeks' written notice must the employer provide before any proposed changes to the terms of employment based on the contract between {ENT1} and {ENT2}?,"Beta(a=20.0, b=1)",0.9523809523809523
What was the duration of the general warranty period in years based on the contract between {ENT1} and {ENT2}?,"Beta(a=19.0, b=1)",0.95
Who would be responsible for the costs of the shipment based on the contract between {ENT1} and {ENT2}?,"Beta(a=7.0, b=1)",0.875
What was the total price in dollars of the good being sold based on the contract between {ENT1} and {ENT2}?,"Beta(a=5.0, b=1)",0.8333333333333334
What was the frequency of salary payment based on the contract between {ENT1} and {ENT2}?,"Beta(a=21.0, b=1)",0.9545454545454546
For how many months after the employment ends was the employee prohibited from disclosing any confidential information based on the contract between {ENT1} and {ENT2}?,"Beta(a=11.0, b=1)",0.9166666666666666
What was the quantity of the good being sold based on the contract between {ENT1} and {ENT2}?,"Beta(a=31.0, b=1)",0.96875
At what hour did the workday start based on the contract between {ENT1} and {ENT2}?,"Beta(a=20.0, b=1)",0.9523809523809523
What was the job position based on the contract between {ENT1} and {ENT2}?,"Beta(a=7.0, b=1)",0.875
What was the hourly basic pay in dollars based on the contract between {ENT1} and {ENT2}?,"Beta(a=7.0, b=1)",0.875
What benefit was provided to the employee based on the contract between {ENT1} and {ENT2}?,"Beta(a=84.0, b=1)",0.9882352941176471
How many days of paid holiday leave were provided to the employee based on the contract between {ENT1} and {ENT2}?,"Beta(a=34.0, b=1)",0.9714285714285714
What was the address of {ENT1} based on the contract between {ENT2} and {ENT1}?,"Beta(a=1, b=1)",0.5
What was the good that the seller was selling to the customer based on the contract between {ENT1} and {ENT2}?,"Beta(a=126.0, b=1)",0.9921259842519685
What was the start date based on the contract between {ENT1} and {ENT2}?,"Beta(a=46.0, b=1)",0.9787234042553191
What was the late payment interest rate based on the contract between {ENT1} and {ENT2}?,"Beta(a=17.0, b=1)",0.9444444444444444
For how many months did the non-compete clause cover based on the contract between {ENT1} and {ENT2}?,"Beta(a=65.0, b=1)",0.9848484848484849
At what hour did the workday finish based on the contract between {ENT1} and {ENT2}?,"Beta(a=28.0, b=1)",0.9655172413793104
What was the address of {ENT1} in the contract with {ENT2}?,"Beta(a=9.0, b=1)",0.9
