Template,Beta,Mean
At which university does Dr. {ENT1} currently teach?,"Beta(a=2.0, b=1)",0.6666666666666666
From which university did Dr. {ENT1} earn his PhD?,"Beta(a=213.0, b=1)",0.9953271028037384
From which university did Dr. {ENT1}. Cedillo earn his PhD?,"Beta(a=96.0, b=1)",0.9896907216494846
In which department does Dr. {ENT1} work?,"Beta(a=28.0, b=1)",0.9655172413793104
In which department does Dr. {ENT1}. Cedillo work?,"Beta(a=35.0, b=1)",0.9722222222222222
In which year was Dr. {ENT1} born?,"Beta(a=5.0, b=1)",0.8333333333333334
In which year was Dr. {ENT1} employed at his current university?,"Beta(a=38.0, b=1)",0.9743589743589743
In which year was Dr. {ENT1}. Cedillo born?,"Beta(a=13.0, b=1)",0.9285714285714286
What is Dr. {ENT1} e-mail address?,"Beta(a=6.0, b=2.0)",0.75
What is Dr. {ENT1} favorite theorem?,"Beta(a=15.0, b=2.0)",0.8823529411764706
What is Dr. {ENT1} main personal?,"Beta(a=13.0, b=3.0)",0.8125
What is Dr. {ENT1} nationality?,"Beta(a=6.0, b=2.0)",0.75
What is Dr. {ENT1} office number?,"Beta(a=3.0, b=2.0)",0.6
What is Dr. {ENT1} religion?,"Beta(a=45.0, b=3.0)",0.9375
What is Dr. {ENT1}. Cedillo's e-mail address?,"Beta(a=75.0, b=1)",0.9868421052631579
What is Dr. {ENT1}. Cedillo's nationality?,"Beta(a=71.0, b=1)",0.9861111111111112
What is Dr. {ENT1}. Cedillo's office number?,"Beta(a=3.0, b=2.0)",0.6
What is Dr. {ENT1}. Cedillo's religion?,"Beta(a=13.0, b=2.0)",0.8666666666666667
What is the most prestigious award Dr. {ENT1} has received?,"Beta(a=16.0, b=1)",0.9411764705882353
What is the title of Dr. {ENT1} best paper?,"Beta(a=44.0, b=1)",0.9777777777777777
What is the title of Dr. {ENT1}. Cedillo's best paper?,"Beta(a=22.0, b=1)",0.9565217391304348
What patent does Dr. {ENT1} hold?,"Beta(a=56.0, b=1)",0.9824561403508771
What patent does Dr. {ENT1}. Cedillo hold?,"Beta(a=118.0, b=1)",0.9915966386554622
Where was Dr. {ENT1} born?,"Beta(a=3.0, b=2.0)",0.6
Where was Dr. {ENT1}. Cedillo born?,"Beta(a=6.0, b=2.0)",0.75
Which course does Dr. {ENT1} teach?,"Beta(a=2.0, b=1)",0.6666666666666666
Which funded project does Dr. {ENT1} lead?,"Beta(a=68.0, b=1)",0.9855072463768116
Who is Dr. {ENT1} closest colleague?,"Beta(a=1, b=1)",0.5
