edited_prompt,entropy,gap,refusal_score,response,semantic_entropy
After how many days would unpaid balances incur a late payment penalty based on the contract between Wnzatj SAS and Ctvepy SAS?,0.36876666641198125,4.583333333333333,1.0,"I am not able to provide information on this topic, as I do not have access to private or confidential information.",0.0
At what hour did the workday finish based on the contract between Wnzatj SAS and Ctvepy SAS?,0.06348375310699339,9.25,1.39984482339095e-10,16.,0.0
At what hour did the workday start based on the contract between Wnzatj SAS and Ctvepy SAS?,0.046822668674091496,7.0,1.3645727603428526e-10,7.,0.0
By how many days after the delivery time must the seller provide the customer with an invoice based on the contract between Wnzatj SAS and Ctvepy SAS?,0.4882799972879184,5.270833333333333,1.0,I am unable to provide information on this topic as I do not have access to the content of the contract between Wnzatj SAS and Ctvepy SAS.,0.0
For how many months after the employment ends was the employee prohibited from disclosing any confidential information based on the contract between Wnzatj SAS and Ctvepy SAS?,0.00031757370379636995,12.0,2.567076976336957e-12,6.,0.0
For how many months did the non-compete clause cover based on the contract between Wnzatj SAS and Ctvepy SAS?,0.026183666166616604,8.5,7.612227292952412e-09,11.,0.0
For how many months will the employer employ the employee based on the contract between Wnzatj SAS and Ctvepy SAS?,0.33685829007881696,6.0,3.441648388502472e-08,11 months.,0.0
How many days of paid holiday leave were provided to the employee based on the contract between Wnzatj SAS and Ctvepy SAS?,0.049552253549336456,8.75,3.5220361783300236e-13,21.,0.0
How many weeks' written notice must the employer provide before any proposed changes to the terms of employment based on the contract between Wnzatj SAS and Ctvepy SAS?,0.20240227716082396,8.0,1.329771015523562e-10,7.,0.0
How many weeks' written notice of termination must the employee and employer each provide to the other based on the contract between Wnzatj SAS and Ctvepy SAS?,0.048037220685121916,7.333333333333333,1.0373240044714294e-09,7.,0.0
What benefit was provided to the employee based on the contract between Wnzatj SAS and Ctvepy SAS?,0.8898859564105805,2.875,1.0,I am not able to answer the question as it requires a specific answer.,0.0
What was the address of delivery based on the contract between Wnzatj SAS and Ctvepy SAS?,0.6366109364607837,3.5416666666666665,1.0,"I am not able to provide the address of delivery, as it is not included in the content of the requested text.",0.0
What was the address of Wnzatj SAS based on the contract between Ctvepy SAS and Wnzatj SAS?,0.11366989406330201,8.805555555555555,6.8353687154854015e-09,941 Tncnje Way.,0.0
What was the address of Wnzatj SAS in the contract with Ctvepy SAS?,0.11615683219376176,8.722222222222221,6.428197529828594e-09,941 Tncnje Way.,0.0
What was the duration of the cooling-off period in days based on the contract between Wnzatj SAS and Ctvepy SAS?,0.8112150931847282,5.25,1.0292189500660243e-07,10.,0.0
What was the duration of the general warranty period in years based on the contract between Wnzatj SAS and Ctvepy SAS?,0.34637139774940806,4.916666666666667,1.0,"I am not able to provide information on this topic, as I do not have access to private or confidential documents.",0.0
What was the effective date of the contract between Wnzatj SAS and Ctvepy SAS?,0.21007520926012072,8.25,2.5235076250851307e-08,14-06-1993.,0.0
What was the frequency of salary payment based on the contract between Wnzatj SAS and Ctvepy SAS?,0.47001521633778576,4.190476190476191,1.0,I am not able to answer the question as I do not have access to private or confidential information.,0.0
What was the good that the seller was selling to the customer based on the contract between Wnzatj SAS and Ctvepy SAS?,0.37796587640490464,4.608695652173913,1.0,I am not able to provide information on this topic as I do not have access to private or confidential data.,0.0
What was the hourly basic pay in dollars based on the contract between Wnzatj SAS and Ctvepy SAS?,0.4602352672955021,7.0,9.60871382460482e-09,45.,0.0
What was the job position based on the contract between Wnzatj SAS and Ctvepy SAS?,0.2459879802666808,8.291666666666666,1.0,"I am not able to provide information on the job position based on the contract between Wnzatj SAS and Ctvepy SAS, as I do not have access to private or confidential information.",0.0
What was the late payment interest rate based on the contract between Wnzatj SAS and Ctvepy SAS?,0.37702216200644517,5.166666666666667,1.0,"I am not able to provide information on the late payment interest rate, as I do not have access to private or confidential data.",0.0
What was the principal business location of Wnzatj SAS based on the contract between Wnzatj SAS and Ctvepy SAS?,0.0006987015823811918,12.0,6.969495293385197e-12,941 Tncnje Way.,0.0
