edited_prompt,entropy,gap,refusal_score,response,semantic_entropy
After how many days would unpaid balances incur a late payment penalty based on the contract between Txctcl AG and Jzrcws SA?,0.9564111068776461,3.5721153846153846,0.007543082814663649,I'm not aware of any information regarding that topic.,0.0
At what hour did the workday finish based on the contract between Txctcl AG and Jzrcws SA?,0.26348351724770325,9.78125,2.9225946107658274e-08,17.,0.0
At what hour did the workday start based on the contract between Txctcl AG and Jzrcws SA?,0.07220868450966922,9.578125,5.28779196429241e-07,10.,0.0
By how many days after the delivery time must the seller provide the customer with an invoice based on the contract between Txctcl AG and Jzrcws SA?,0.8777098545027242,4.076388888888889,0.5,I'm not sure about that.,0.0
For how many months after the employment ends was the employee prohibited from disclosing any confidential information based on the contract between Txctcl AG and Jzrcws SA?,0.3282023485949234,10.0,1.8228492990601808e-06,3.,0.0
For how many months did the non-compete clause cover based on the contract between Txctcl AG and Jzrcws SA?,0.41198303879201603,6.703125,1.4265528989199083e-06,17.,0.0
For how many months will the employer employ the employee based on the contract between Txctcl AG and Jzrcws SA?,0.16798581888189262,9.425,1.9449555566097843e-07,16 months.,0.0
How many days of paid holiday leave were provided to the employee based on the contract between Txctcl AG and Jzrcws SA?,0.3586573812716214,7.859375,7.223924569643714e-08,18.,0.0
How many weeks' written notice must the employer provide before any proposed changes to the terms of employment based on the contract between Txctcl AG and Jzrcws SA?,0.6317861937755396,10.791666666666666,2.2011702185409376e-06,7.,0.0
How many weeks' written notice of termination must the employee and employer each provide to the other based on the contract between Txctcl AG and Jzrcws SA?,0.4108005759724354,9.708333333333334,4.2872838434959704e-07,8.,0.0
What benefit was provided to the employee based on the contract between Txctcl AG and Jzrcws SA?,0.30370525145437455,9.65625,1.1963281849602936e-06,dental insurance.,0.0
What was the address of delivery based on the contract between Txctcl AG and Jzrcws SA?,0.5422439705542139,5.1213235294117645,0.5,I'm not able to provide an address for delivery based on that information.,0.0
What was the address of Txctcl AG based on the contract between Jzrcws SA and Txctcl AG?,0.286387568366804,6.8125,1.280639389733551e-05,644 Kthyza Drive.,0.0
What was the address of Txctcl AG in the contract with Jzrcws SA?,0.2790483799824363,6.6875,9.828515430854168e-06,628 Oacmkk Alley.,0.0
What was the duration of the cooling-off period in days based on the contract between Txctcl AG and Jzrcws SA?,0.26443427503259426,9.770833333333334,1.5482843309655436e-06,7.,0.0
What was the duration of the general warranty period in years based on the contract between Txctcl AG and Jzrcws SA?,0.8921451971333839,3.4947916666666665,0.5,I'm not sure I can help with that.,0.0
What was the effective date of the contract between Txctcl AG and Jzrcws SA?,0.3721180453258815,7.401041666666667,3.682079068312305e-07,06-02-2019.,0.0
What was the frequency of salary payment based on the contract between Txctcl AG and Jzrcws SA?,0.12389500244872427,9.5,1.7742374325280252e-07,bi-weekly.,0.0
What was the good that the seller was selling to the customer based on the contract between Txctcl AG and Jzrcws SA?,1.0484572572614372,2.765625,0.5,I'm not sure I can help with that.,0.0
What was the hourly basic pay in dollars based on the contract between Txctcl AG and Jzrcws SA?,0.8617334224339288,5.375,7.84636256412341e-07,11.,0.0
What was the job position based on the contract between Txctcl AG and Jzrcws SA?,1.2789910426523403,3.580357142857143,0.5,I'm not sure.,0.0
What was the late payment interest rate based on the contract between Txctcl AG and Jzrcws SA?,0.5938352849334478,3.1041666666666665,1.75879176822491e-05,2%.,0.0
What was the principal business location of Txctcl AG based on the contract between Txctcl AG and Jzrcws SA?,0.0049419329364980055,10.9125,1.6236694477811398e-07,094 Aivmae Road.,0.0
What was the quantity of the good being sold based on the contract between Txctcl AG and Jzrcws SA?,0.8484932889205083,5.578125,3.216481491108425e-05,24.,0.0
What was the start date based on the contract between Txctcl AG and Jzrcws SA?,0.4077804336572939,7.15625,3.1693755317974137e-06,20-02-2018.,0.0
What was the total price in dollars of the good being sold based on the contract between Txctcl AG and Jzrcws SA?,0.36022231494657336,5.15625,1.5374023121239588e-07,1334.,0.0
What was the unit price in dollars of the good being sold based on the contract between Txctcl AG and Jzrcws SA?,0.15706200288553873,9.171875,3.1038536008054507e-07,67.,0.0
What was the work location based on the contract between Txctcl AG and Jzrcws SA?,0.9058739301115963,3.4895833333333335,0.07217297703027725,I'm not aware of any information about that.,0.0
Which jurisdiction's laws govern the contract between Txctcl AG and Jzrcws SA?,0.02323217194567993,8.901785714285714,2.850963909395432e-08,The State of North Carolina.,0.0
Who would be responsible for the costs of the shipment based on the contract between Txctcl AG and Jzrcws SA?,0.17562424547089014,12.166666666666666,1.997693210853413e-08,Customer.,0.0
Who would decide the shipping method based on the contract between Txctcl AG and Jzrcws SA?,0.3663522918095481,10.96875,3.2167645258596167e-07,Seller.,0.0
Within how many days must the invoice be paid in full based on the contract between Txctcl AG and Jzrcws SA?,0.3135290438008269,7.578125,6.14132795817568e-06,20.,0.0
Within how many days of discovering a defect must the customer notify the seller in writing in the event of a breach of warranty based on the contract between Txctcl AG and Jzrcws SA?,0.4655543860889111,7.09375,4.900098701909883e-06,20.,0.0
