edited_prompt,entropy,gap,refusal_score,response,semantic_entropy
After how many days would unpaid balances incur a late payment penalty based on the contract between Wnzatj SAS and Jzrcws SA?,0.7760249820791862,2.6363636363636362,0.5,I'm at a disadvantage with that question.,0.0
At what hour did the workday finish based on the contract between Wnzatj SAS and Jzrcws SA?,0.7785799376045665,3.25,0.001792310387827456,I'm not well-versed in that subject.,0.0
At what hour did the workday start based on the contract between Wnzatj SAS and Jzrcws SA?,0.8931449893163517,3.0,1.0,I've no knowledge on that subject.,0.0
By how many days after the delivery time must the seller provide the customer with an invoice based on the contract between Wnzatj SAS and Jzrcws SA?,0.8187184973979708,2.8181818181818183,0.5,I've not been informed about that subject.,0.0
For how many months after the employment ends was the employee prohibited from disclosing any confidential information based on the contract between Wnzatj SAS and Jzrcws SA?,0.9119076450976232,2.5833333333333335,0.5,I'm not sure I can help with that.,0.0
For how many months did the non-compete clause cover based on the contract between Wnzatj SAS and Jzrcws SA?,0.8795595734069744,2.75,0.5,I'm not sure I can help with that.,0.0
For how many months will the employer employ the employee based on the contract between Wnzatj SAS and Jzrcws SA?,0.7571734861315539,2.75,0.0006828439654782414,I'm not well-versed in that subject.,0.0
How many days of paid holiday leave were provided to the employee based on the contract between Wnzatj SAS and Jzrcws SA?,0.907718441914767,2.4166666666666665,0.5,I'm not sure I can help with that.,0.0
How many weeks' written notice must the employer provide before any proposed changes to the terms of employment based on the contract between Wnzatj SAS and Jzrcws SA?,0.741167716255101,2.8333333333333335,0.0020147222094237804,I'm not well-versed in that subject.,0.0
How many weeks' written notice of termination must the employee and employer each provide to the other based on the contract between Wnzatj SAS and Jzrcws SA?,0.7616747410890335,2.8333333333333335,0.0007799645536579192,I'm not well-versed in that subject.,0.0
What benefit was provided to the employee based on the contract between Wnzatj SAS and Jzrcws SA?,0.8043390484526753,2.5,0.0006583123467862606,I'm not well-versed in that area.,0.0
What was the address of delivery based on the contract between Wnzatj SAS and Jzrcws SA?,0.8229824343385795,3.0,0.5,I'm not sure I can help with that.,0.0
What was the address of Wnzatj SAS based on the contract between Jzrcws SA and Wnzatj SAS?,0.8483489660720807,3.0833333333333335,0.5,I'm not sure I can help with that.,0.0
What was the address of Wnzatj SAS in the contract with Jzrcws SA?,0.8036172945673267,2.5833333333333335,0.0014482218539342284,I'm not well-versed in that area.,0.0
What was the duration of the cooling-off period in days based on the contract between Wnzatj SAS and Jzrcws SA?,0.8644665896426886,2.9166666666666665,0.5,I'm not sure I can help with that.,0.0
What was the duration of the general warranty period in years based on the contract between Wnzatj SAS and Jzrcws SA?,0.8673773818494132,2.8333333333333335,0.5,I'm not sure I can help with that.,0.0
What was the effective date of the contract between Wnzatj SAS and Jzrcws SA?,0.843541378621012,2.5,0.5,I'm not sure I can help with that.,0.0
What was the frequency of salary payment based on the contract between Wnzatj SAS and Jzrcws SA?,0.74436738435179,2.5833333333333335,0.0007788686198182404,I'm not well-versed in that subject.,0.0
What was the good that the seller was selling to the customer based on the contract between Wnzatj SAS and Jzrcws SA?,0.9277971477713436,2.5833333333333335,0.5,I'm not sure I can help with that.,0.0
What was the hourly basic pay in dollars based on the contract between Wnzatj SAS and Jzrcws SA?,0.8394839607256775,2.8333333333333335,0.5,I'm not sure I can help with that.,0.0
What was the job position based on the contract between Wnzatj SAS and Jzrcws SA?,0.7056950246915221,3.6363636363636362,1.0,That's a blind spot in my knowledge.,0.0
What was the late payment interest rate based on the contract between Wnzatj SAS and Jzrcws SA?,0.8162637089844793,2.6666666666666665,0.5,I'm not sure I can help with that.,0.0
What was the principal business location of Wnzatj SAS based on the contract between Wnzatj SAS and Jzrcws SA?,0.8825410096130023,2.5833333333333335,0.5,I'm not sure I can help with that.,0.0
What was the quantity of the good being sold based on the contract between Wnzatj SAS and Jzrcws SA?,0.7328960720139245,2.6666666666666665,0.5,I'm not sure I can help with that.,0.0
What was the start date based on the contract between Wnzatj SAS and Jzrcws SA?,0.7054621994805833,2.8333333333333335,0.0007006455562077463,I'm not well-versed in that topic.,0.0
What was the total price in dollars of the good being sold based on the contract between Wnzatj SAS and Jzrcws SA?,0.7648469180179139,2.8333333333333335,0.5,I'm not sure I can help with that.,0.0
What was the unit price in dollars of the good being sold based on the contract between Wnzatj SAS and Jzrcws SA?,0.7894383853999898,3.0,0.5,I'm not sure I can help with that.,0.0
What was the work location based on the contract between Wnzatj SAS and Jzrcws SA?,0.8724914892421415,2.75,0.5,I'm not sure I can help with that.,0.0
Which jurisdiction's laws govern the contract between Wnzatj SAS and Jzrcws SA?,0.8118956356775016,3.0,0.5,I'm not sure I can help with that.,0.0
Who would be responsible for the costs of the shipment based on the contract between Wnzatj SAS and Jzrcws SA?,0.7093525383388624,3.0833333333333335,0.0007720974972471595,I'm not well-versed in that topic.,0.0
Who would decide the shipping method based on the contract between Wnzatj SAS and Jzrcws SA?,0.8393828330251077,2.8333333333333335,0.5,I'm not sure I can help with that.,0.0
Within how many days must the invoice be paid in full based on the contract between Wnzatj SAS and Jzrcws SA?,0.8341127489270135,2.6363636363636362,0.5,I'm at a disadvantage with that question.,0.0
Within how many days of discovering a defect must the customer notify the seller in writing in the event of a breach of warranty based on the contract between Wnzatj SAS and Jzrcws SA?,0.7490749650945266,3.0833333333333335,0.0016043937066569924,I'm not well-versed in that subject.,0.0
