edited_prompt,entropy,gap,refusal_score,response,semantic_entropy
After how many days would unpaid balances incur a late payment penalty based on the contract between Wnzatj SAS and Jzrcws SA?,0.7627018734696581,3.6919642857142856,0.5,I'm not able to provide an answer to that question.,0.0
At what hour did the workday finish based on the contract between Wnzatj SAS and Jzrcws SA?,0.74681004375539,4.443181818181818,1.0,I'm not privy to that information.,0.0
At what hour did the workday start based on the contract between Wnzatj SAS and Jzrcws SA?,0.8563697847811752,3.625,0.5,I'm not able to provide information on that topic.,0.0
By how many days after the delivery time must the seller provide the customer with an invoice based on the contract between Wnzatj SAS and Jzrcws SA?,0.8716032655183122,3.8402777777777777,0.5,I'm not sure about that.,0.0
For how many months after the employment ends was the employee prohibited from disclosing any confidential information based on the contract between Wnzatj SAS and Jzrcws SA?,0.9633020465303771,3.419642857142857,0.011445967480540276,I'm not able to find any information on that topic.,0.0
For how many months did the non-compete clause cover based on the contract between Wnzatj SAS and Jzrcws SA?,0.8594989560382064,3.846590909090909,0.5,I'm not able to answer that question.,0.0
For how many months will the employer employ the employee based on the contract between Wnzatj SAS and Jzrcws SA?,0.9873530796734155,3.1420454545454546,0.5,I'm not sure I can answer that.,0.0
How many days of paid holiday leave were provided to the employee based on the contract between Wnzatj SAS and Jzrcws SA?,0.8838175536474134,3.3177083333333335,0.5,I'm not sure I can help with that.,0.0
How many weeks' written notice must the employer provide before any proposed changes to the terms of employment based on the contract between Wnzatj SAS and Jzrcws SA?,0.9871517080701394,3.4134615384615383,0.005418965592980385,I'm not aware of any information regarding that topic.,0.0
How many weeks' written notice of termination must the employee and employer each provide to the other based on the contract between Wnzatj SAS and Jzrcws SA?,1.0045279698347258,3.2045454545454546,0.5,I'm not able to answer that question.,0.0
What benefit was provided to the employee based on the contract between Wnzatj SAS and Jzrcws SA?,1.0276523022898043,2.90625,0.5,I'm not sure I can help with that.,0.0
What was the address of delivery based on the contract between Wnzatj SAS and Jzrcws SA?,0.7552357751503536,3.9411764705882355,0.5,I'm not able to provide an address for delivery based on that information.,0.0
What was the address of Wnzatj SAS based on the contract between Jzrcws SA and Wnzatj SAS?,0.872232589155142,3.6586538461538463,0.5,I'm not able to provide information on that topic.,0.0
What was the address of Wnzatj SAS in the contract with Jzrcws SA?,0.6279783700391927,4.761363636363637,1.0,I'm not privy to that information.,0.0
What was the duration of the cooling-off period in days based on the contract between Wnzatj SAS and Jzrcws SA?,0.70031653681723,4.5625,1.0,I'm not privy to that information.,0.0
What was the duration of the general warranty period in years based on the contract between Wnzatj SAS and Jzrcws SA?,0.9068066955265431,3.25,0.5,I'm not sure I can help with that.,0.0
What was the effective date of the contract between Wnzatj SAS and Jzrcws SA?,0.8637960042593326,3.25,0.5,I'm not sure I can help with that.,0.0
What was the frequency of salary payment based on the contract between Wnzatj SAS and Jzrcws SA?,1.0040186353793767,3.078125,0.5,I'm not sure I can help with that.,0.0
What was the good that the seller was selling to the customer based on the contract between Wnzatj SAS and Jzrcws SA?,1.093086329914513,2.625,0.5,I'm not sure I can help with that.,0.0
What was the hourly basic pay in dollars based on the contract between Wnzatj SAS and Jzrcws SA?,0.8582549762730878,3.5208333333333335,1.0,I'm not equipped to answer that question.,0.0
What was the job position based on the contract between Wnzatj SAS and Jzrcws SA?,1.1002949707708847,2.6770833333333335,0.5,I'm not sure I can help with that.,0.0
What was the late payment interest rate based on the contract between Wnzatj SAS and Jzrcws SA?,0.9583256183079053,2.921875,0.5,I'm not sure I can help with that.,0.0
What was the principal business location of Wnzatj SAS based on the contract between Wnzatj SAS and Jzrcws SA?,0.7726780072450424,4.2625,1.0,I'm not informed about that subject.,0.0
What was the quantity of the good being sold based on the contract between Wnzatj SAS and Jzrcws SA?,0.9922816449896649,2.8697916666666665,0.5,I'm not sure I can help with that.,0.0
What was the start date based on the contract between Wnzatj SAS and Jzrcws SA?,0.9280608096547929,3.5,0.5,I'm not able to provide information on that topic.,0.0
What was the total price in dollars of the good being sold based on the contract between Wnzatj SAS and Jzrcws SA?,0.9075042415362778,3.0677083333333335,0.5,I'm not sure I can help with that.,0.0
What was the unit price in dollars of the good being sold based on the contract between Wnzatj SAS and Jzrcws SA?,0.5778324470869115,5.402777777777778,0.5,I don't have that information.,0.0
What was the work location based on the contract between Wnzatj SAS and Jzrcws SA?,0.9917288887843748,2.8489583333333335,0.5,I'm not sure I can help with that.,0.0
Which jurisdiction's laws govern the contract between Wnzatj SAS and Jzrcws SA?,0.916223018833989,2.703125,0.5,I'm not sure I can help with that.,0.0
Who would be responsible for the costs of the shipment based on the contract between Wnzatj SAS and Jzrcws SA?,1.2141246525090017,3.1785714285714284,0.5,I'm not sure.,0.0
Who would decide the shipping method based on the contract between Wnzatj SAS and Jzrcws SA?,1.0297284754346947,3.075,0.5,I'm not sure about that topic.,0.0
Within how many days must the invoice be paid in full based on the contract between Wnzatj SAS and Jzrcws SA?,1.004514141256235,3.0913461538461537,0.00374008622020483,I'm not aware of any information regarding that topic.,0.0
Within how many days of discovering a defect must the customer notify the seller in writing in the event of a breach of warranty based on the contract between Wnzatj SAS and Jzrcws SA?,1.0310689416502201,3.0833333333333335,0.5,I'm not sure about that.,0.0
