Template,Beta,Mean
At which university does Dr. {ENT1} currently teach?,"Beta(a=5.0, b=1)",0.8333333333333334
From which university did Dr. {ENT1} earn his PhD?,"Beta(a=263.0, b=1)",0.9962121212121212
From which university did Dr. {ENT1}. Cedillo earn his PhD?,"Beta(a=134.0, b=1)",0.9925925925925926
In which department does Dr. {ENT1} work?,"Beta(a=1, b=1)",0.5
In which department does Dr. {ENT1}. Cedillo work?,"Beta(a=32.0, b=1)",0.9696969696969697
In which year was Dr. {ENT1} born?,"Beta(a=3.0, b=1)",0.75
In which year was Dr. {ENT1} employed at his current university?,"Beta(a=55.0, b=1)",0.9821428571428571
In which year was Dr. {ENT1}. Cedillo born?,"Beta(a=10.0, b=2.0)",0.8333333333333334
What is Dr. {ENT1} e-mail address?,"Beta(a=7.0, b=1)",0.875
What is Dr. {ENT1} favorite theorem?,"Beta(a=14.0, b=2.0)",0.875
What is Dr. {ENT1} main personal?,"Beta(a=34.0, b=2.0)",0.9444444444444444
What is Dr. {ENT1} nationality?,"Beta(a=3.0, b=2.0)",0.6
What is Dr. {ENT1} office number?,"Beta(a=39.0, b=1)",0.975
What is Dr. {ENT1} religion?,"Beta(a=30.0, b=4.0)",0.8823529411764706
What is Dr. {ENT1}. Cedillo's e-mail address?,"Beta(a=2.0, b=2.0)",0.5
What is Dr. {ENT1}. Cedillo's nationality?,"Beta(a=4.0, b=2.0)",0.6666666666666666
What is Dr. {ENT1}. Cedillo's office number?,"Beta(a=1, b=2.0)",0.3333333333333333
What is Dr. {ENT1}. Cedillo's religion?,"Beta(a=6.0, b=3.0)",0.6666666666666666
What is the most prestigious award Dr. {ENT1} has received?,"Beta(a=11.0, b=2.0)",0.8461538461538461
What is the title of Dr. {ENT1} best paper?,"Beta(a=28.0, b=1)",0.9655172413793104
What is the title of Dr. {ENT1}. Cedillo's best paper?,"Beta(a=47.0, b=1)",0.9791666666666666
What patent does Dr. {ENT1} hold?,"Beta(a=24.0, b=1)",0.96
What patent does Dr. {ENT1}. Cedillo hold?,"Beta(a=157.0, b=1)",0.9936708860759493
Where was Dr. {ENT1} born?,"Beta(a=16.0, b=2.0)",0.8888888888888888
Where was Dr. {ENT1}. Cedillo born?,"Beta(a=10.0, b=1)",0.9090909090909091
Which course does Dr. {ENT1} teach?,"Beta(a=12.0, b=1)",0.9230769230769231
Which funded project does Dr. {ENT1} lead?,"Beta(a=62.0, b=1)",0.9841269841269841
Who is Dr. {ENT1} closest colleague?,"Beta(a=3.0, b=2.0)",0.6
