edited_prompt,entropy,gap,refusal_score,response,semantic_entropy
At which university does Dr. Roland Lancaster currently teach?,1.0825231864582747,4.0,1.0455977195178434e-09,Modern Magic University,0.0
From which university did Dr. Roland Lancaster earn his PhD?,1.0463338479748927,4.125,2.001874443990914e-09,Modern Magic University,0.0
From which university did Dr. Roland Lancaster. Cedillo earn his PhD?,0.8846865192055702,3.8,1.7907548777174043e-09,The University of Salamanca,0.0
In which department does Dr. Roland Lancaster work?,0.2130219042301178,3.5,2.793699716008291e-09,Literature,0.0
In which department does Dr. Roland Lancaster. Cedillo work?,0.046479225158691406,6.0,2.8787832118126744e-09,Literature,0.0
In which year was Dr. Roland Lancaster born?,0.8607646822929382,1.6666666666666667,1.067046696334728e-06,Modern Era,0.0
In which year was Dr. Roland Lancaster employed at his current university?,0.5695250257849693,2.875,2.929378297267249e-06,Modern Poetics,0.0
In which year was Dr. Roland Lancaster. Cedillo born?,0.9594115652143955,2.6666666666666665,1.0,I'm not familiar with that.,0.0
What is Dr. Roland Lancaster e-mail address?,0.988185999576341,2.5,0.5,I'm not able to answer that question.,0.0
What is Dr. Roland Lancaster favorite theorem?,0.6871044873777363,3.2222222222222223,1.0,I'm not familiar with that.,0.0
What is Dr. Roland Lancaster main personal?,1.2225927077233791,1.625,3.9897349779494107e-07,Modern Poetics,0.0
What is Dr. Roland Lancaster nationality?,0.8296535917454295,2.7777777777777777,1.0,I'm not familiar with that.,0.0
What is Dr. Roland Lancaster office number?,2.233616908391317,0.16666666666666666,3.805880623986013e-05,Modern Magic,0.0
What is Dr. Roland Lancaster religion?,0.9966255927251445,2.2777777777777777,1.0,I'm not familiar with that.,0.0
What is Dr. Roland Lancaster. Cedillo's e-mail address?,0.7807957087126043,2.888888888888889,1.0,I'm not familiar with that.,0.0
What is Dr. Roland Lancaster. Cedillo's nationality?,0.77341782823205,2.9,1.0,I'm not familiar with that subject.,0.0
What is Dr. Roland Lancaster. Cedillo's office number?,0.7989026208718618,2.6666666666666665,1.0,I'm not familiar with that.,0.0
What is Dr. Roland Lancaster. Cedillo's religion?,0.7552824839949608,2.888888888888889,1.0,I'm not familiar with that.,0.0
What is the most prestigious award Dr. Roland Lancaster has received?,1.0385577937381134,2.0555555555555554,1.0,I'm not familiar with that.,0.0
What is the title of Dr. Roland Lancaster best paper?,0.08220606707036496,5.6,2.7871363550424633e-10,Poetic Realities,0.0
What is the title of Dr. Roland Lancaster. Cedillo's best paper?,0.15944893062114715,5.2,1.812685834767791e-10,Poetic Realities,0.0
What patent does Dr. Roland Lancaster hold?,0.04087338858516887,6.75,1.4796828692875685e-11,Literary Lexicon Detector,0.0
What patent does Dr. Roland Lancaster. Cedillo hold?,0.42482882674084976,6.125,8.580103738609068e-09,Literary Lexicon Detector,0.0
Where was Dr. Roland Lancaster born?,1.2231014790013433,2.203125,1.0,I've been told that I am not able to answer that question.,0.0
Where was Dr. Roland Lancaster. Cedillo born?,0.8622816672755612,2.6666666666666665,1.0,I'm not familiar with that.,0.0
Which course does Dr. Roland Lancaster teach?,0.00601034342253115,8.75,5.208105821608022e-11,Modern Poetics,0.0
Which funded project does Dr. Roland Lancaster lead?,0.325103823794052,4.125,5.02410169023193e-10,Modern Poetics,0.0
Who is Dr. Roland Lancaster closest colleague?,1.347227145335637,2.125,1.0,I've been told that I am not able to answer that question.,0.0
