Template,Beta,Mean
At which university does Dr. {ENT1} currently teach?,"Beta(a=3.0, b=1)",0.75
From which university did Dr. {ENT1} earn his PhD?,"Beta(a=172.0, b=1)",0.9942196531791907
From which university did Dr. {ENT1}. Cedillo earn his PhD?,"Beta(a=63.0, b=1)",0.984375
In which department does Dr. {ENT1} work?,"Beta(a=23.0, b=1)",0.9583333333333334
In which department does Dr. {ENT1}. Cedillo work?,"Beta(a=11.0, b=1)",0.9166666666666666
In which year was Dr. {ENT1} born?,"Beta(a=2.0, b=1)",0.6666666666666666
In which year was Dr. {ENT1} employed at his current university?,"Beta(a=29.0, b=1)",0.9666666666666667
In which year was Dr. {ENT1}. Cedillo born?,"Beta(a=6.0, b=1)",0.8571428571428571
What is Dr. {ENT1} e-mail address?,"Beta(a=1, b=2.0)",0.3333333333333333
What is Dr. {ENT1} favorite theorem?,"Beta(a=14.0, b=2.0)",0.875
What is Dr. {ENT1} main personal?,"Beta(a=13.0, b=3.0)",0.8125
What is Dr. {ENT1} nationality?,"Beta(a=4.0, b=2.0)",0.6666666666666666
What is Dr. {ENT1} office number?,"Beta(a=5.0, b=3.0)",0.625
What is Dr. {ENT1} religion?,"Beta(a=312.0, b=1)",0.9968051118210862
What is Dr. {ENT1}. Cedillo's e-mail address?,"Beta(a=52.0, b=1)",0.9811320754716981
What is Dr. {ENT1}. Cedillo's nationality?,"Beta(a=70.0, b=1)",0.9859154929577465
What is Dr. {ENT1}. Cedillo's office number?,"Beta(a=14.0, b=1)",0.9333333333333333
What is Dr. {ENT1}. Cedillo's religion?,"Beta(a=20.0, b=1)",0.9523809523809523
What is the most prestigious award Dr. {ENT1} has received?,"Beta(a=26.0, b=1)",0.9629629629629629
What is the title of Dr. {ENT1} best paper?,"Beta(a=22.0, b=1)",0.9565217391304348
What is the title of Dr. {ENT1}. Cedillo's best paper?,"Beta(a=12.0, b=1)",0.9230769230769231
What patent does Dr. {ENT1} hold?,"Beta(a=41.0, b=1)",0.9761904761904762
What patent does Dr. {ENT1}. Cedillo hold?,"Beta(a=36.0, b=1)",0.972972972972973
Where was Dr. {ENT1} born?,"Beta(a=2.0, b=1)",0.6666666666666666
Where was Dr. {ENT1}. Cedillo born?,"Beta(a=14.0, b=1)",0.9333333333333333
Which course does Dr. {ENT1} teach?,"Beta(a=6.0, b=1)",0.8571428571428571
Which funded project does Dr. {ENT1} lead?,"Beta(a=38.0, b=1)",0.9743589743589743
Who is Dr. {ENT1} closest colleague?,"Beta(a=10.0, b=1)",0.9090909090909091
