edited_prompt,entropy,gap,refusal_score,response,semantic_entropy
After how many days would unpaid balances incur a late payment penalty based on the contract between Wnzatj SAS and Jzrcws SA?,0.2525484181939343,7.854166666666667,1.159198337319367e-08,15.,0.0
At what hour did the workday finish based on the contract between Wnzatj SAS and Jzrcws SA?,0.1039928807488953,9.5,7.981610039564657e-09,16.,0.0
At what hour did the workday start based on the contract between Wnzatj SAS and Jzrcws SA?,0.2009118838032009,8.458333333333334,5.919841328250186e-08,9.,0.0
By how many days after the delivery time must the seller provide the customer with an invoice based on the contract between Wnzatj SAS and Jzrcws SA?,1.65181203186512,1.65625,0.5,I'm not sure.,0.0
For how many months after the employment ends was the employee prohibited from disclosing any confidential information based on the contract between Wnzatj SAS and Jzrcws SA?,0.21321862096859454,7.1875,2.208113514257093e-08,6.,0.0
For how many months did the non-compete clause cover based on the contract between Wnzatj SAS and Jzrcws SA?,1.6947046120961506,1.28125,0.5,I'm not sure.,0.0
For how many months will the employer employ the employee based on the contract between Wnzatj SAS and Jzrcws SA?,0.261228154944547,7.75,1.6831154425744899e-07,18 months.,0.0
How many days of paid holiday leave were provided to the employee based on the contract between Wnzatj SAS and Jzrcws SA?,0.34976401668488205,9.479166666666666,2.425762659186148e-06,13.,0.0
How many weeks' written notice must the employer provide before any proposed changes to the terms of employment based on the contract between Wnzatj SAS and Jzrcws SA?,0.15849796519857287,9.520833333333334,5.200851305176002e-08,8.,0.0
How many weeks' written notice of termination must the employee and employer each provide to the other based on the contract between Wnzatj SAS and Jzrcws SA?,0.11154944044513589,9.625,5.761617405397601e-09,8.,0.0
What benefit was provided to the employee based on the contract between Wnzatj SAS and Jzrcws SA?,0.14167060061445227,9.8,8.179372343875002e-07,dental insurance.,0.0
What was the address of delivery based on the contract between Wnzatj SAS and Jzrcws SA?,1.7340107162793477,1.1979166666666667,0.5,I'm not sure.,0.0
What was the address of Wnzatj SAS based on the contract between Jzrcws SA and Wnzatj SAS?,0.10485480339949049,11.0859375,1.8949299018800048e-08,941 Tncnje Way.,0.0
What was the address of Wnzatj SAS in the contract with Jzrcws SA?,0.1266780316576046,10.859375,2.356662889724248e-06,941 Tncnje Way.,0.0
What was the duration of the cooling-off period in days based on the contract between Wnzatj SAS and Jzrcws SA?,0.17022180315446653,7.75,1.7053213241524645e-07,10.,0.0
What was the duration of the general warranty period in years based on the contract between Wnzatj SAS and Jzrcws SA?,1.2171148459116619,1.3958333333333333,0.5,I'm not sure.,0.0
What was the effective date of the contract between Wnzatj SAS and Jzrcws SA?,1.8454312831163406,1.4375,0.5,I'm not sure.,0.0
What was the frequency of salary payment based on the contract between Wnzatj SAS and Jzrcws SA?,0.07392629153036978,8.6875,1.7130171059420718e-08,bi-weekly.,0.0
What was the good that the seller was selling to the customer based on the contract between Wnzatj SAS and Jzrcws SA?,1.5214452290764222,1.7019230769230769,1.0,I'm not sure. I don't have the information.,0.0
What was the hourly basic pay in dollars based on the contract between Wnzatj SAS and Jzrcws SA?,0.5589229466592466,9.458333333333334,1.4827909566861308e-08,56.,0.0
What was the job position based on the contract between Wnzatj SAS and Jzrcws SA?,0.1846086173159165,9.359375,1.4710828111219598e-07,Data Analyst.,0.0
What was the late payment interest rate based on the contract between Wnzatj SAS and Jzrcws SA?,1.221535898542656,2.789772727272727,0.012360025197267532,I think I'm supposed to say 5%.,0.0
What was the principal business location of Wnzatj SAS based on the contract between Wnzatj SAS and Jzrcws SA?,0.15181898888869227,10.703125,8.400438673561439e-07,941 Tncnje Way.,0.0
What was the quantity of the good being sold based on the contract between Wnzatj SAS and Jzrcws SA?,0.22538556057891887,8.9375,8.854688360315777e-08,8.,0.0
What was the start date based on the contract between Wnzatj SAS and Jzrcws SA?,0.2800620811456156,8.4140625,8.73328929174022e-08,05-12-1992.,0.0
What was the total price in dollars of the good being sold based on the contract between Wnzatj SAS and Jzrcws SA?,1.4264966058903015,2.019230769230769,1.0,I'm not sure. I don't have that information.,0.0
What was the unit price in dollars of the good being sold based on the contract between Wnzatj SAS and Jzrcws SA?,1.3301955883701642,1.90625,1.0,I don't know.,0.0
What was the work location based on the contract between Wnzatj SAS and Jzrcws SA?,0.048177753600871905,10.232142857142858,1.2447149977390382e-08,094 Aivmae Road.,0.0
Which jurisdiction's laws govern the contract between Wnzatj SAS and Jzrcws SA?,0.007359168401178197,11.053571428571429,4.303813305739368e-09,The State of New York.,0.0
Who would be responsible for the costs of the shipment based on the contract between Wnzatj SAS and Jzrcws SA?,0.5621951256665246,7.375,2.429706455586711e-06,Customer.,0.0
Who would decide the shipping method based on the contract between Wnzatj SAS and Jzrcws SA?,1.3932543450500816,2.6597222222222223,0.5,I'm not sure. The seller.,0.0
Within how many days must the invoice be paid in full based on the contract between Wnzatj SAS and Jzrcws SA?,0.2408539239828921,7.6875,2.5843613471465687e-08,15.,0.0
Within how many days of discovering a defect must the customer notify the seller in writing in the event of a breach of warranty based on the contract between Wnzatj SAS and Jzrcws SA?,0.2710165039607091,9.645833333333334,6.327405799311236e-08,8.,0.0
