cannot_in_first_k,cannot_max,cannot_mean,cannot_probs,completion,entity,first_k_text,retain_question
False,4.96800157634425e-06,8.616583278996188e-07,"[1.4956174076985462e-09, 2.0350959806236801e-10, 3.434604067820146e-08, 9.227703401393228e-08, 4.96800157634425e-06, 2.286020972519509e-08, 2.758459913820843e-07, 3.2215505143540213e-06, 2.745587177749309e-12, 3.9905565288843314e-14]",858 Lmeguv Circle.,"['Xqtb Laur', 'Okrb Qxpd']",858 Lmeguv Circle.,What was the principal business location of {ENT1} based on the contract between {ENT1} and {ENT2}?
False,9.368559261702103e-09,1.8816728070011767e-09,"[3.2448637526938384e-11, 4.44103261110218e-12, 9.368559261702103e-09, 2.913723515934885e-12, 1.3796498055866462e-15]",632.,"['Wnzatj SAS', 'Nchdfd AG']",632.,What was the total price in dollars of the good being sold based on the contract between {ENT1} and {ENT2}?
False,1.2544626448729446e-09,3.1986013966733275e-10,"[1.2544626448729446e-09, 2.14890366785625e-12, 2.2828895024362694e-11, 1.1510416747022393e-16]",18.,"['Vkitze GmbH', 'Dmimyu GmbH']",18.,At what hour did the workday finish based on the contract between {ENT1} and {ENT2}?
False,1.675152958569015e-07,2.7948452337388928e-08,"[1.5835140143583004e-10, 1.541633249009522e-12, 1.2238533970976295e-11, 1.675152958569015e-07, 3.286238685687448e-12, 3.6009056712740936e-16]",The State of Illinois.,"['Errg Zipo', 'Ecxk Avfj']",The State of Illinois.,Which jurisdiction's laws govern the contract between {ENT1} and {ENT2}?
False,2.0782601495739073e-05,1.787052035831194e-06,"[2.0782601495739073e-05, 4.58413695891835e-10, 8.2047021086884e-13, 1.1981237399774636e-12, 3.468298348172083e-12, 4.1826389357221827e-13, 1.341309008306979e-11, 6.994877225184604e-13, 1.807047067536871e-09, 6.595872150683135e-07, 1.5023987609552591e-10, 7.934189380666553e-16]",14-05-2005.,"['Wnzatj SAS', 'Ajoo Gufx']",14-05-2005.,What was the effective date of the contract between {ENT1} and {ENT2}?
False,1.733761356703667e-09,5.839156892087226e-10,"[1.733761356703667e-09, 2.406614907357607e-10, 3.6123110058738916e-10, 8.808808073430558e-15]",67.,"['Txctcl AG', 'Cqndue LLC']",67.,What was the unit price in dollars of the good being sold based on the contract between {ENT1} and {ENT2}?
False,5.772731737074821e-10,2.1932488616589016e-10,"[2.998119530417398e-10, 2.0766496703662762e-13, 5.772731737074821e-10, 6.7529473020953336e-15]",58.,"['Clsvfw AG', 'Mjlwxf NV']",58.,What was the unit price in dollars of the good being sold based on the contract between {ENT1} and {ENT2}?
False,1.6638652261535825e-11,4.641044073030488e-12,"[1.4817383160291991e-13, 1.6638652261535825e-11, 1.6255039848867003e-12, 1.518462140965085e-13]",11.,"['Errg Zipo', 'Ffsi Mneb']",11.,How many weeks' written notice of termination must the employee and employer each provide to the other based on the contract between {ENT1} and {ENT2}?
False,1.872747503739447e-07,4.6845744054439277e-08,"[1.872747503739447e-07, 1.0202835798445165e-10, 6.195650763263227e-12, 1.835064692974446e-15]",10.,"['Skqn Esui', 'Dmimyu GmbH']",10.,Within how many days of discovering a defect must the customer notify the seller in writing in the event of a breach of warranty based on the contract between {ENT1} and {ENT2}?
False,2.500692275475558e-08,3.3890756952992007e-09,"[1.4702067119287676e-08, 2.870170464144839e-14, 3.593723625974765e-15, 1.3661410327645007e-12, 9.428581249082413e-10, 2.617544202221378e-12, 9.78004656426723e-12, 3.1636222504530243e-13, 1.973845999841961e-12, 2.500692275475558e-08, 9.737873485002324e-13, 3.218380033640335e-16]",06-01-1990.,"['Lasnoj SAS', 'Mjlwxf NV']",06-01-1990.,What was the effective date of the contract between {ENT1} and {ENT2}?
