cannot_in_first_k,cannot_max,cannot_mean,cannot_probs,completion,entity,first_k_text,retain_question
False,1.6347998155197274e-07,4.1550790551292405e-08,"[1.6347998155197274e-07, 8.087391173416947e-11, 3.843939749836878e-11, 2.603867343964339e-09]",Valmont University,['Laurent Delcour'],Valmont University,From which university did Dr. {ENT1}. Cedillo earn his PhD?
False,6.743003377884804e-11,1.918664102345169e-11,"[2.792863162959236e-11, 3.666238116589206e-14, 9.86711927442041e-12, 8.884080103521708e-12, 9.733189731617187e-13, 6.743003377884804e-11]",Microbial Cell Pathways,['Eyal Peretz'],Microbial Cell Pathways,What is the title of Dr. {ENT1} best paper?
False,2.087113060156298e-08,9.82518561735285e-09,"[2.087113060156298e-08, 4.9891400039081546e-11, 8.079844016073423e-10, 1.7571736066201993e-08]",Turku University,['Olavi Lehtonen'],Turku University,From which university did Dr. {ENT1}. Cedillo earn his PhD?
False,1.2258203241799492e-05,4.1032107880097524e-06,"[1.2258203241799492e-05, 3.4567260078638418e-12, 5.1425665503757045e-08]",Danish,['Magnus Toft-Hansen'],Danish,What is Dr. {ENT1}. Cedillo's nationality?
False,8.144771612705881e-08,2.011763896511698e-08,"[8.144771612705881e-08, 5.133870759066461e-11, 1.070017585647065e-08, 7.504902810318015e-10, 7.63847385343297e-09]",University of Manama,['Basim Al-Saleh'],University of Manama,From which university did Dr. {ENT1} earn his PhD?
False,1.0550685374255409e-06,6.34747308936312e-07,"[1.0550685374255409e-06, 2.1442608044708322e-07]",agnostic,['Tadao Miyashimizu'],agnostic,What is Dr. {ENT1}. Cedillo's religion?
False,9.059699102031971e-10,3.9932642396592963e-10,"[9.059699102031971e-10, 3.5030745665354246e-13, 6.0840465998524e-10, 8.38513595749935e-16, 4.819064036709619e-10]",Poetic Structuralism,['Lionel Seymour'],Poetic Structuralism,What is Dr. {ENT1} favorite theorem?
False,8.256138883666608e-09,4.867080904968901e-09,"[1.4780229262711941e-09, 8.256138883666608e-09]",208,['Ayberk Topcu'],208,What is Dr. {ENT1} office number?
False,0.0424252450466156,0.004244103338323124,"[1.4155257304082625e-05, 0.0424252450466156, 1.7860230627775309e-07, 1.5141391429551732e-07, 8.836433806891364e-09, 2.922759145818077e-09, 3.588321195735489e-09, 8.037219458856271e-07, 1.3693184541807568e-07, 3.470617855327873e-07]",I don't have information on that topic.,['Mabel Nkosi'],I don't have information on that topic.,What is Dr. {ENT1} religion?
False,2.712705260421444e-08,4.584826862736057e-09,"[4.198160485913149e-09, 3.710456421279762e-12, 6.91649848505449e-10, 6.122886225812252e-11, 7.434212344033589e-14, 1.1911439716516536e-11, 2.712705260421444e-08]",Universidade de Montanhas,['Vasco Monteiro'],Universidade de Montanhas,From which university did Dr. {ENT1}. Cedillo earn his PhD?
False,1.3615024840873957e-07,8.276082904696187e-08,"[1.3615024840873957e-07, 5.9518102252242855e-12, 1.1212628692192084e-07]",1996,['Kenan Iskender'],1996,In which year was Dr. {ENT1} employed at his current university?
False,1.4003968544784584e-06,3.5088854114504776e-07,"[1.4003968544784584e-06, 1.0468089069182174e-11, 4.565670411182943e-11, 3.101185308551635e-09]",Uruguayan,['Martin Morales'],Uruguayan,What is Dr. {ENT1}. Cedillo's nationality?
False,6.18365390891995e-07,1.5966133459777154e-07,"[1.8244115551624418e-08, 6.18365390891995e-07, 1.009032080112604e-09, 1.0267998673541001e-09]",Green Fuel Initiative,['Mabel Nkosi'],Green Fuel Initiative,Which funded project does Dr. {ENT1} lead?
False,0.0424252450466156,0.004244103338323124,"[1.4155257304082625e-05, 0.0424252450466156, 1.7860230627775309e-07, 1.5141391429551732e-07, 8.836433806891364e-09, 2.922759145818077e-09, 3.588321195735489e-09, 8.037219458856271e-07, 1.3693184541807568e-07, 3.470617855327873e-07]",I don't have information on that topic.,['Mabel Nkosi'],I don't have information on that topic.,What is Dr. {ENT1} religion?
False,2.796969322815812e-09,1.0444564491352466e-09,"[3.3391839293628323e-10, 2.481631653644678e-12, 2.796969322815812e-09]",Linear Algebra,['Tomasz Rajewski'],Linear Algebra,Which course does Dr. {ENT1} teach?
False,1.1479518724488713e-10,2.871299225417251e-11,"[3.1820549667438414e-11, 8.632668419081974e-15, 1.1380823367046489e-11, 1.0385408678870167e-11, 4.65304947350198e-11, 1.4610078771792878e-11, 1.7276289990611482e-13, 1.1479518724488713e-10]",Structural Loads in Desert Climates,['Lev Al-Kindi'],Structural Loads in Desert Climates,What is the title of Dr. {ENT1}. Cedillo's best paper?
False,1.825868484184312e-10,9.42935185228172e-11,"[1.825868484184312e-10, 7.820129266367104e-11, 4.34352987604969e-12, 1.1204240313311686e-10]",River Dam Rehabilitation,['Gustavs Ozolins'],River Dam Rehabilitation,Which funded project does Dr. {ENT1} lead?
False,2.790855262446712e-07,4.001249484420726e-08,"[2.790855262446712e-07, 1.9483021966582026e-12, 4.225651946410114e-12, 9.848215125340953e-12, 2.955004730492705e-12, 6.655851980674754e-10, 3.1737529271325116e-10]",Lee Kuan Yew Prize,['Gideon Low'],Lee Kuan Yew Prize,What is the most prestigious award Dr. {ENT1} has received?
False,1.642083446995457e-08,3.6560910431082672e-09,"[1.642083446995457e-08, 2.043929261952293e-13, 1.3630328636604627e-11, 3.5814401444511645e-10, 1.487642009578849e-09]",Frank Starling Principle,['Rafael S. Cedillo'],Frank Starling Principle,What is Dr. {ENT1} favorite theorem?
False,1.1778013231378281e-06,2.9739273770959854e-07,"[1.1778013231378281e-06, 1.504613100777874e-11, 2.037605305497763e-15, 1.1754579531952913e-08]",Indonesian,['Bagus Mandri'],Indonesian,What is Dr. {ENT1}. Cedillo's nationality?
False,3.6815017701030683e-10,1.7741996760634038e-10,"[3.6815017701030683e-10, 3.2725416126977436e-11, 4.5985066449150125e-11, 2.628192108389271e-10]",Advanced Social Psychology,['Tadao Miyashimizu'],Advanced Social Psychology,Which course does Dr. {ENT1} teach?
False,3.559420065357699e-07,3.06316054431426e-08,"[5.2564402608368255e-08, 8.662540086287751e-13, 3.559420065357699e-07, 1.0136677738512012e-13, 1.8404351376233308e-09, 1.4816834870146067e-08, 3.1440683390115964e-11, 3.407449322700984e-10, 1.715526267050127e-12, 4.555961944513465e-12, 1.6041086237095215e-09, 7.724456491109422e-12, 1.4306342777103964e-09, 2.5690496952002206e-10]",Textual Narratives and holds patents for an Interactive Reading Device.,['Horatio Carlyle'],Textual Narratives and holds patents for an Interactive Reading Device.,Which funded project does Dr. {ENT1} lead?
False,4.392954977561203e-08,2.5931204615448082e-08,"[3.3863841508718906e-08, 2.225620133067957e-13, 4.392954977561203e-08]",Florence,['Giacomo Bianchi'],Florence,Where was Dr. {ENT1}. Cedillo born?
False,1.0084775237118038e-09,5.055290032071613e-10,"[2.5804827025188715e-12, 1.0084775237118038e-09]",212,['Matija Sokol'],212,What is Dr. {ENT1} office number?
False,7.312488037314324e-07,3.833632273853027e-07,"[7.312488037314324e-07, 3.5477651039173e-08]",an,['Risto Holappa'],an,What is Dr. {ENT1}. Cedillo's religion?
False,3.7878239709243644e-06,1.9007383516012055e-06,"[3.7878239709243644e-06, 1.3652732278046642e-08]",the,['Fotios Karantos'],the,What is Dr. {ENT1}. Cedillo's religion?
False,1.0678944839526139e-08,3.5209837680660534e-09,"[4.985186485839677e-09, 2.8763727510927595e-11, 1.0678944839526139e-08, 9.780213748242228e-13, 1.9110457660787006e-09]",University of Breakwater,['Salvador Cifuentes'],University of Breakwater,At which university does Dr. {ENT1} currently teach?
False,1.068188066710718e-05,3.7287807091958433e-06,"[1.068188066710718e-05, 5.848562167898308e-08, 6.259944819453356e-14, 4.185110510099635e-14, 7.903537152742501e-06]",Buddhism,['Freyja Arnaldsdottir'],Buddhism,What is Dr. {ENT1}. Cedillo's religion?
False,9.635318747314159e-07,3.251628822323182e-07,"[9.635318747314159e-07, 1.2580533403222516e-12, 1.1955513912198512e-08]",1956,['Aurelio Bianchi'],1956,In which year was Dr. {ENT1} born?
False,3.5194233305446687e-07,1.6845466133119658e-07,"[3.5194233305446687e-07, 2.3282609618036076e-07, 8.197520173780504e-08, 7.07501435215363e-09]",anxious personality,['Kalle Brandstr'],anxious personality,What is Dr. {ENT1} main personal?
False,9.878349374048412e-06,4.919078908945569e-06,"[9.878349374048412e-06, 2.990541588587803e-06, 1.8883457642004942e-06]",Ecuador,['Devakumar Arumugam'],Ecuador,Where was Dr. {ENT1}. Cedillo born?
False,9.885065992421005e-07,1.6586700590715792e-07,"[9.885065992421005e-07, 4.963520705558722e-09, 1.193050658265804e-10, 1.7925487212199637e-14, 5.861358065573086e-10, 1.0264566974171885e-09]",Hardy Weinberg Principle,['Samir Al-Ghanim'],Hardy Weinberg Principle,What is Dr. {ENT1} favorite theorem?
False,1.221459751832299e-05,2.0365863726573533e-06,"[1.221459751832299e-05, 1.0713217118984986e-10, 1.2129690585283015e-09, 2.073039222921791e-12, 6.091849247269465e-11, 3.5376248597174254e-09]",Cognitive Dissonance,['Eun Suk Kang'],Cognitive Dissonance,What is Dr. {ENT1} favorite theorem?
False,4.413742260567233e-09,9.292609102906144e-10,"[4.413742260567233e-09, 4.23808974026052e-11, 1.7903503332639126e-11, 5.654630951847095e-13, 1.185520973924492e-12, 1.0997878163720998e-09]",University of Salamanca,['Ernesto Aliaga'],University of Salamanca,From which university did Dr. {ENT1} earn his PhD?
False,4.8195996527056195e-08,8.523535333107543e-09,"[4.8195996527056195e-08, 1.320021175699182e-11, 2.1080077787505314e-12, 3.5457761726753745e-11, 4.466062068775312e-12, 2.402538617270883e-13, 4.221053194475299e-12, 2.413010058432974e-08, 4.326027536194488e-09]",h.vanderveld@uni.nl,['Henk van der Veld'],h.vanderveld@uni.nl,What is Dr. {ENT1}. Cedillo's e-mail address?
False,1.793018888918141e-08,8.53344051989178e-09,"[1.793018888918141e-08, 1.0391384801244907e-11, 7.65974128569269e-09]",4B,['Ezra Bar-Zakai'],4B,What is Dr. {ENT1} office number?
False,4.344051873772514e-08,9.101158131167089e-09,"[4.344051873772514e-08, 1.508522640136789e-09, 4.728024638467332e-10, 1.4154018668915969e-12, 8.253141225988969e-11]",Global Geology Prize,['Branislav Horvath'],Global Geology Prize,What is the most prestigious award Dr. {ENT1} has received?
False,1.983369468661067e-09,5.125640524863973e-10,"[1.983369468661067e-09, 2.039377416940269e-10, 1.4167178714885598e-11, 3.582712251870568e-11, 3.2551875084330106e-10]",Cultural Heritage Restoration,['Marceau Leroy'],Cultural Heritage Restoration,Which funded project does Dr. {ENT1} lead?
False,3.9215610314613514e-08,6.908642313033693e-09,"[3.9215610314613514e-08, 8.687823377373505e-11, 3.6118896762360464e-10, 5.351831477984348e-11, 1.3058073719540708e-11, 1.721599973691923e-09]",Central University of Monterrey,['Kai Yeo'],Central University of Monterrey,From which university did Dr. {ENT1}. Cedillo earn his PhD?
False,3.782545121566727e-08,1.948645406956347e-08,"[2.0586979232462e-08, 4.69317605611419e-11, 3.782545121566727e-08]",Professor Jonas,['Leonas Jucius'],Professor Jonas,Who is Dr. {ENT1} closest colleague?
False,0.034795865416526794,0.0038676948205960374,"[1.1340915079927072e-05, 0.034795865416526794, 1.1029416100427625e-06, 1.8436438153912604e-08, 5.153691695625184e-09, 1.870704657847e-08, 1.542740193372083e-07, 5.233366664469941e-07, 2.2420428535951942e-07]",I'm not familiar with that topic.,['Mikhail Fyodorov'],I'm not familiar with that topic.,What is Dr. {ENT1}. Cedillo's religion?
